league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
ligue1,2014,asmonaco,monaco,86,True
ligue1,2014,assaintetienne,saintetienne,92,True
ligue1,2014,eaguingamp,guingamp,89,True
ligue1,2014,fcevianthonongaillard,evian,38,False
ligue1,2014,fcgbordeaux,bordeaux,84,True
ligue1,2014,fclorient,fclorient,100,True
ligue1,2014,fcmetz,fcmetz,100,True
ligue1,2014,fcnantes,nantes,86,True
ligue1,2014,fcparissaintgermain,psg,27,False
ligue1,2014,fctoulouse,toulouse,89,True
ligue1,2014,losclille,lille,71,True
ligue1,2014,montpellierhsc,montpellier,88,True
ligue1,2014,ogcnice,nice,73,True
ligue1,2014,olympiquelyon,lyon,47,False
ligue1,2014,olympiquemarselha,marselha,64,False
ligue1,2014,rclens,lens,80,True
ligue1,2014,scbastia,scbastia,100,True
ligue1,2014,smcaen,smcaen,100,True
ligue1,2014,stadereims,reims,67,False
ligue1,2014,staderennaisfc,rennes,50,False
