position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,FC Barcelona,38,30,6,2,95:21,74,96,https://www.transfermarkt.com.br/fc-barcelona/spielplan/verein/131/saison_id/2010
2,Real Madrid CF,38,29,5,4,102:33,69,92,https://www.transfermarkt.com.br/real-madrid/spielplan/verein/418/saison_id/2010
3,Valencia CF,38,21,8,9,64:44,20,71,https://www.transfermarkt.com.br/fc-valencia/spielplan/verein/1049/saison_id/2010
4,FC Villarreal,38,18,8,12,54:44,10,62,https://www.transfermarkt.com.br/fc-villarreal/spielplan/verein/1050/saison_id/2010
5,Sevilla FC,38,17,7,14,62:61,1,58,https://www.transfermarkt.com.br/fc-sevilla/spielplan/verein/368/saison_id/2010
6,Athletic Bilbao,38,18,4,16,59:55,4,58,https://www.transfermarkt.com.br/athletic-bilbao/spielplan/verein/621/saison_id/2010
7,Atlético de Madrid,38,17,7,14,62:53,9,58,https://www.transfermarkt.com.br/atletico-madrid/spielplan/verein/13/saison_id/2010
8,RCD Espanyol,38,15,4,19,46:55,-9,49,https://www.transfermarkt.com.br/espanyol-barcelona/spielplan/verein/714/saison_id/2010
9,CA Osasuna,38,13,8,17,45:46,-1,47,https://www.transfermarkt.com.br/ca-osasuna/spielplan/verein/331/saison_id/2010
10,Real Sporting de Gijón,38,11,14,13,35:42,-7,47,https://www.transfermarkt.com.br/sporting-gijon/spielplan/verein/2448/saison_id/2010
11,Málaga CF,38,13,7,18,54:68,-14,46,https://www.transfermarkt.com.br/fc-malaga/spielplan/verein/1084/saison_id/2010
12,Racing Santander,38,12,10,16,41:56,-15,46,https://www.transfermarkt.com.br/racing-santander/spielplan/verein/630/saison_id/2010
13,Real Zaragoza,38,12,9,17,40:53,-13,45,https://www.transfermarkt.com.br/real-saragossa/spielplan/verein/142/saison_id/2010
14,Levante UD,38,12,9,17,41:52,-11,45,https://www.transfermarkt.com.br/ud-levante/spielplan/verein/3368/saison_id/2010
15,Real Sociedad,38,14,3,21,49:66,-17,45,https://www.transfermarkt.com.br/real-sociedad-san-sebastian/spielplan/verein/681/saison_id/2010
16,Getafe CF,38,12,8,18,49:60,-11,44,https://www.transfermarkt.com.br/fc-getafe/spielplan/verein/3709/saison_id/2010
17,RCD Mallorca,38,12,8,18,41:56,-15,44,https://www.transfermarkt.com.br/rcd-mallorca/spielplan/verein/237/saison_id/2010
18,RC Deportivo de Corunha,38,10,13,15,31:47,-16,43,https://www.transfermarkt.com.br/deportivo-la-coruna/spielplan/verein/897/saison_id/2010
19,Hércules CF,38,9,8,21,36:60,-24,35,https://www.transfermarkt.com.br/hercules-alicante/spielplan/verein/7971/saison_id/2010
20,UD Almería,38,6,12,20,36:70,-34,30,https://www.transfermarkt.com.br/ud-almeria/spielplan/verein/3302/saison_id/2010
