league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
campeonatobrasileiroseriea,-0.24914675767918087,1796.0,0.07604911153193376,1.1189058553655187,18,266,293
ligaportugal2,-0.24381625441696114,1913.0,0.044195803384022146,1.3546189671597342,20,262,283
j1league,-0.22988505747126436,2558.5,0.05846030838450254,1.2331388980217826,26,254,348
saudiproleague,0.22950819672131148,595.0,0.31510203128384184,0.5015487971670977,12,84,122
championship,-0.2129032258064516,3673.0,0.09852601635306193,1.0064490764395242,22,422,465
laliga,0.18042813455657492,4070.0,0.16826094876563547,0.7740166665762479,20,344,327
jupilerproleague,0.14450867052023122,1286.5,0.5017517647313756,0.29951109136314613,13,178,173
ligue2,-0.11814345991561181,5045.5,0.2836363598826809,0.5472380968872954,28,410,474
laliga2,0.11594202898550725,4063.0,0.27628252661420605,0.5586465810081878,23,311,414
ligaportugal,0.10975609756097561,7210.0,0.2418260664937072,0.6164968882385388,35,368,492
campeonatobrasileiroserieb,0.10606060606060606,1997.0,0.5060230374982359,0.2958297107676926,16,227,264
premierleague,0.08091603053435115,11342.5,0.3851048047193929,0.41442106291426617,39,537,655
challengerproleague,0.07547169811320754,1318.5,0.5003491108618773,0.3007268676351864,15,159,212
ligue1,0.07020280811232449,11814.5,0.5750975916440026,0.2402584511084307,40,561,641
2bundesliga,0.05263157894736842,12618.0,0.6557129203886851,0.18328625876412885,53,459,722
j2league,0.0117096018735363,3051.5,0.9854602822278606,0.006360874740066235,23,266,427
bundesliga,-0.001579778830963665,11082.5,0.8637127546741726,0.0636306670136815,44,496,633
