league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
saudiproleague,-0.543859649122807,226.0,0.0020670303842175467,2.684653139434138,12,84,114
jupilerproleague,-0.516245487364621,929.0,0.00016246472978971628,3.78924090742524,21,178,277
campeonatobrasileiroserieb,-0.2490974729241877,1482.0,0.1108256417491725,0.9553597451870539,17,227,277
j1league,-0.18811881188118812,3183.5,0.14055722871171206,0.8521468141698193,30,254,404
ligaportugal,-0.12217194570135746,5030.0,0.2739763240652541,0.5622869655448676,31,368,442
superlig,-0.1076923076923077,148.5,0.5824091681061295,0.23477179711094923,4,89,65
laliga2,0.10091743119266056,2960.5,0.6812435472239847,0.1666975983568257,18,311,327
bundesliga,-0.0888468809073724,8536.5,0.3324904479324482,0.4782208269618314,38,496,529
serieb,-0.08415841584158416,4595.0,0.7404315549834537,0.13051508118983685,24,399,404
ligue2,-0.08203125,5631.0,0.44004026146569153,0.3565075859400651,30,410,512
premierleague,0.0671462829736211,14323.5,0.433122103940061,0.3633896519334241,50,537,834
championship,-0.05928853754940711,2418.0,0.7909023317886912,0.10187714404231793,12,422,253
2bundesliga,0.05401844532279315,13404.0,0.5993372613691705,0.22232872096199888,56,459,759
campeonatobrasileiroseriea,0.0421455938697318,2261.0,0.6753949635161651,0.1704421822633748,16,266,261
j2league,-0.03349282296650718,1606.5,0.9706874367021622,0.012920591274439947,12,266,209
challengerproleague,-0.03225806451612903,1348.5,0.6902009552899336,0.1610244439479517,18,159,248
seriea,0.02973977695167286,8038.5,0.7191875445410789,0.14315784266515066,34,456,538
ligue1,0.019830028328611898,12899.5,0.8064611352920217,0.09341655714658356,45,561,706
ligaportugal2,-0.015873015873015872,2711.5,0.6454962293428161,0.19010629031528517,22,262,315
laliga,-0.011235955056179775,2654.0,0.8103992344403133,0.09130097791246572,16,344,267
