position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Al-Ittihad Club,34,26,5,3,79:35,44,83,https://www.transfermarkt.com.br/al-ittihad-dschidda/spielplan/verein/8023/saison_id/2024
2,Al-Hilal SFC,34,23,6,5,95:41,54,75,https://www.transfermarkt.com.br/al-hilal-riad/spielplan/verein/1114/saison_id/2024
3,Al-Nassr FC,34,21,7,6,80:38,42,70,https://www.transfermarkt.com.br/al-nasr-riad/spielplan/verein/18544/saison_id/2024
4,Al-Qadsiah FC,34,21,5,8,53:31,22,68,https://www.transfermarkt.com.br/al-qadisiyah-fc/spielplan/verein/26069/saison_id/2024
5,Al-Ahli SFC,34,21,4,9,69:36,33,67,https://www.transfermarkt.com.br/al-ahli-dschidda/spielplan/verein/18487/saison_id/2024
6,Al-Shabab FC,34,18,6,10,65:41,24,60,https://www.transfermarkt.com.br/al-shabab-riad/spielplan/verein/9840/saison_id/2024
7,Al-Ettifaq FC,34,14,8,12,44:45,-1,50,https://www.transfermarkt.com.br/al-ettifaq/spielplan/verein/7732/saison_id/2024
8,Al-Taawoun FC,34,12,9,13,40:39,1,45,https://www.transfermarkt.com.br/al-taawoun-fc/spielplan/verein/28844/saison_id/2024
9,Al-Kholood Club,34,12,4,18,42:64,-22,40,https://www.transfermarkt.com.br/al-kholood/spielplan/verein/91427/saison_id/2024
10,Al-Fateh SC,34,11,6,17,47:61,-14,39,https://www.transfermarkt.com.br/al-fateh/spielplan/verein/27221/saison_id/2024
11,Al-Riyadh SC,34,10,8,16,37:52,-15,38,https://www.transfermarkt.com.br/al-riad/spielplan/verein/31008/saison_id/2024
12,Al-Khaleej FC,34,10,7,17,40:57,-17,37,https://www.transfermarkt.com.br/al-khaleej/spielplan/verein/6070/saison_id/2024
13,Al-Fayha FC,34,8,12,14,27:49,-22,36,https://www.transfermarkt.com.br/al-fayha-fc/spielplan/verein/50531/saison_id/2024
14,Damac FC,34,9,8,17,37:50,-13,35,https://www.transfermarkt.com.br/damac-fc/spielplan/verein/50532/saison_id/2024
15,Al-Okhdood Club,34,9,7,18,33:56,-23,34,https://www.transfermarkt.com.br/al-akhdoud-club/spielplan/verein/71665/saison_id/2024
16,Al-Wehda FC,34,9,6,19,42:67,-25,33,https://www.transfermarkt.com.br/al-wahda-mekka/spielplan/verein/17209/saison_id/2024
17,Al-Orobah FC,34,9,3,22,31:74,-43,30,https://www.transfermarkt.com.br/al-orubah/spielplan/verein/39536/saison_id/2024
18,Al-Raed SFC,34,6,3,25,41:66,-25,21,https://www.transfermarkt.com.br/al-raed/spielplan/verein/22381/saison_id/2024
