comparison,threshold_label,n_season_league_combinations,mean_n_test,mean_n_control,mean_delta,median_delta,std_delta,min_delta,max_delta,n_positive_delta,pct_positive_delta,n_negative_delta,pct_negative_delta,effect_size_interpretation,n_negligible_effect,n_small_effect,n_medium_effect,n_large_effect
G- vs G0,G: 0.250,324,2.9135802469135803,13.62037037037037,-0.04231848110104139,-0.06066176470588235,0.42918675205598966,-1.0,1.0,134,41.358024691358025,173,53.39506172839506,negligible,89,78,65,92
G+ vs G0,G: 0.250,330,2.8636363636363638,13.67878787878788,0.005690954561052602,0.0,0.4356139304011821,-1.0,1.0,157,47.57575757575758,159,48.18181818181818,negligible,86,71,79,94
