position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Inter de Milão,38,25,9,4,70:32,38,84,https://www.transfermarkt.com.br/inter-mailand/spielplan/verein/46/saison_id/2008
2,Juventus FC,38,21,11,6,69:37,32,74,https://www.transfermarkt.com.br/juventus-turin/spielplan/verein/506/saison_id/2008
3,AC Milan,38,22,8,8,70:35,35,74,https://www.transfermarkt.com.br/ac-mailand/spielplan/verein/5/saison_id/2008
4,ACF Fiorentina,38,21,5,12,53:38,15,68,https://www.transfermarkt.com.br/ac-florenz/spielplan/verein/430/saison_id/2008
5,Genoa,38,19,11,8,56:39,17,68,https://www.transfermarkt.com.br/genua-cfc/spielplan/verein/252/saison_id/2008
6,AS Roma,38,18,9,11,64:61,3,63,https://www.transfermarkt.com.br/as-rom/spielplan/verein/12/saison_id/2008
7,Udinese Calcio,38,16,10,12,61:50,11,58,https://www.transfermarkt.com.br/udinese-calcio/spielplan/verein/410/saison_id/2008
8,US Palermo,38,17,6,15,57:50,7,57,https://www.transfermarkt.com.br/palermo-fc/spielplan/verein/458/saison_id/2008
9,Cagliari Calcio,38,15,8,15,49:50,-1,53,https://www.transfermarkt.com.br/cagliari-calcio/spielplan/verein/1390/saison_id/2008
10,SS Lazio,38,15,5,18,46:55,-9,50,https://www.transfermarkt.com.br/lazio-rom/spielplan/verein/398/saison_id/2008
11,Atalanta BC,38,13,8,17,45:48,-3,47,https://www.transfermarkt.com.br/atalanta-bergamo/spielplan/verein/800/saison_id/2008
12,SSC Napoli,38,12,10,16,43:45,-2,46,https://www.transfermarkt.com.br/ssc-neapel/spielplan/verein/6195/saison_id/2008
13,UC Sampdoria,38,11,13,14,49:52,-3,46,https://www.transfermarkt.com.br/sampdoria-genua/spielplan/verein/1038/saison_id/2008
14,AC Siena,38,12,8,18,33:44,-11,44,https://www.transfermarkt.com.br/acn-siena-1904/spielplan/verein/1387/saison_id/2008
15,Catania Calcio,38,12,7,19,41:51,-10,43,https://www.transfermarkt.com.br/catania-calcio/spielplan/verein/1627/saison_id/2008
16,Chievo Verona,38,8,14,16,35:49,-14,38,https://www.transfermarkt.com.br/chievo-verona/spielplan/verein/862/saison_id/2008
17,Bologna,38,9,10,19,43:62,-19,37,https://www.transfermarkt.com.br/fc-bologna/spielplan/verein/1025/saison_id/2008
18,Torino FC,38,8,10,20,37:61,-24,34,https://www.transfermarkt.com.br/fc-turin/spielplan/verein/416/saison_id/2008
19,Reggina Calcio,38,6,13,19,30:62,-32,31,https://www.transfermarkt.com.br/reggina-1914/spielplan/verein/1386/saison_id/2008
20,US Lecce,38,5,15,18,37:67,-30,30,https://www.transfermarkt.com.br/us-lecce/spielplan/verein/1005/saison_id/2008
