round,g_type,n_samples,mean_occupancy,std_occupancy,ci_lower,ci_upper
1,balanced,2971,0.6787683334248862,0.2584701916592098,0.6694740650157045,0.6880626018340679
1,unbalanced_weak,130,0.6672487559896986,0.2718995863912591,0.6205083003023179,0.7139892116770793
1,unbalanced_strong,141,0.7036190512654189,0.2289530025864395,0.6658276619168438,0.741410440613994
2,balanced,2933,0.6615170013197823,0.2574000917422449,0.652201446257037,0.6708325563825276
2,unbalanced_weak,166,0.6155016241661172,0.26338179997330946,0.5754345353540073,0.655568712978227
2,unbalanced_strong,146,0.7226396639020364,0.24132449095231706,0.6834942362259195,0.7617850915781532
3,balanced,2981,0.6466355900717212,0.25349427193007995,0.6375355514901878,0.6557356286532546
3,unbalanced_weak,122,0.6111313871774179,0.2795367864241824,0.5615275670271445,0.6607352073276913
3,unbalanced_strong,140,0.6444566334332327,0.2422707485876824,0.6043244272560647,0.6845888396104006
4,balanced,2941,0.645650153572132,0.25820671005779916,0.6363181244962672,0.6549821826479967
4,unbalanced_weak,155,0.6118326728260124,0.2752558739030553,0.5684988685166873,0.6551664771353375
4,unbalanced_strong,147,0.6694940986935275,0.2373407040151372,0.631126057274745,0.70786214011231
5,balanced,2959,0.6341231826115367,0.25957581536752933,0.624770249775768,0.6434761154473053
5,unbalanced_weak,143,0.5999452435738001,0.27251509275178065,0.5552790840654765,0.6446114030821236
5,unbalanced_strong,141,0.6430644617884207,0.23810321570881393,0.6037627220062471,0.6823662015705942
6,balanced,2967,0.6385768899163845,0.25920022475073373,0.6292500897459284,0.6479036900868406
6,unbalanced_weak,139,0.6447990724642259,0.27037145180663796,0.599851162288743,0.6897469826397087
6,unbalanced_strong,138,0.6742380207757188,0.24043654930812253,0.6341220769407179,0.7143539646107198
7,balanced,2941,0.6353860368107814,0.2632610644495653,0.6258713347821762,0.6449007388393867
7,unbalanced_weak,158,0.5875975071838593,0.2751268810472957,0.5446971851030731,0.6304978292646455
7,unbalanced_strong,144,0.610763901515211,0.25487965910201665,0.569133557195215,0.652394245835207
8,balanced,2969,0.6391822201779696,0.26154572793161635,0.6297741921352294,0.6485902482207097
8,unbalanced_weak,132,0.6226752558261417,0.2693752547864739,0.5767208871589574,0.668629624493326
8,unbalanced_strong,144,0.6549807393669483,0.24651874711397262,0.6147160106716661,0.6952454680622305
9,balanced,2934,0.6473844923773371,0.2622377479861251,0.6378954754086016,0.6568735093460726
9,unbalanced_weak,169,0.6095555756189742,0.2728131341842661,0.5684237492342695,0.6506874020036789
9,unbalanced_strong,139,0.6387893472852949,0.2550551582355417,0.5963876947973556,0.6811909997732342
10,balanced,2982,0.6453800313548337,0.25758225812030855,0.636134791177313,0.6546252715323544
10,unbalanced_weak,120,0.6562527955344762,0.2578855462020905,0.6101112167707305,0.7023943742982219
10,unbalanced_strong,146,0.6340270901054991,0.26054406882930875,0.591764040207202,0.6762901400037962
11,balanced,2942,0.6472595778273542,0.26311329484965074,0.6377518327193555,0.6567673229353529
11,unbalanced_weak,161,0.6202548817360621,0.2688198484022582,0.5787303766298925,0.6617793868422318
11,unbalanced_strong,135,0.6455681360198628,0.25158409119604197,0.6031284304436166,0.6880078415961091
12,balanced,2962,0.6457087158767115,0.26309084253071413,0.6362339327924155,0.6551834989610076
12,unbalanced_weak,132,0.6365957422974817,0.26115046173195317,0.5920444912720361,0.6811469933229274
12,unbalanced_strong,150,0.6415125559854236,0.2496130021941964,0.601566156067477,0.6814589559033701
13,balanced,2961,0.6509312951081321,0.26365303969222736,0.6414346622065125,0.6604279280097517
13,unbalanced_weak,148,0.6148911960130582,0.26358324556959006,0.5724250337436043,0.6573573582825121
13,unbalanced_strong,135,0.6363444458610854,0.23391774659647638,0.5968848749183516,0.6758040168038192
14,balanced,2961,0.6347506562996097,0.2613109247712265,0.6253383850486053,0.6441629275506141
14,unbalanced_weak,137,0.6622132399276786,0.27616552823301577,0.6159681896943974,0.7084582901609597
14,unbalanced_strong,145,0.6453552121112611,0.24858085207050182,0.6048939204716742,0.685816503750848
15,balanced,2940,0.6395141930427578,0.2613212003239049,0.6300679949120139,0.6489603911735017
15,unbalanced_weak,154,0.6320544381030804,0.28371802908605376,0.58724364348655,0.6768652327196107
15,unbalanced_strong,150,0.6263744136358106,0.26180357738158766,0.5844771153776948,0.6682717118939264
16,balanced,2975,0.6323509941512072,0.2641133407565542,0.6228601918925551,0.6418417964098593
16,unbalanced_weak,137,0.6592196701728888,0.273839248599902,0.6133641650040418,0.7050751753417359
16,unbalanced_strong,130,0.6235920903212977,0.2418905993402214,0.582010280691818,0.6651738999507774
17,balanced,2940,0.6334631904811878,0.2614918883061371,0.6240108223477931,0.6429155586145825
17,unbalanced_weak,156,0.6181344045312144,0.2873397974936244,0.5730434370695803,0.6632253719928485
17,unbalanced_strong,149,0.6088102930391384,0.2666273501251025,0.5659980843623839,0.6516225017158929
18,balanced,2952,0.6328483503437246,0.26291320541964824,0.6233639408871489,0.6423327598003002
18,unbalanced_weak,154,0.5970800286372394,0.28612198972891073,0.5518895493493461,0.6422705079251327
18,unbalanced_strong,136,0.6328750076591239,0.2610067930224403,0.5890079578575104,0.6767420574607373
19,balanced,2964,0.6380599401213486,0.2619229524846876,0.6286303996395606,0.6474894806031366
19,unbalanced_weak,134,0.6317959861106858,0.2733867216815366,0.5855066353712456,0.678085336850126
19,unbalanced_strong,147,0.645412783373034,0.25146311684351413,0.6047617398767917,0.6860638268692762
20,balanced,2951,0.6303094778417406,0.26139427851946007,0.6208782650446408,0.6397406906388404
20,unbalanced_weak,147,0.6195782275362699,0.2777470628695145,0.5746781719122541,0.6644782831602857
20,unbalanced_strong,145,0.6231147248632367,0.2787425090190813,0.5777440462456717,0.6684854034808018
21,balanced,2956,0.634000589642064,0.2618182159097871,0.624562073657721,0.6434391056264069
21,unbalanced_weak,142,0.6267885289863646,0.2710567848590405,0.5822052320112302,0.671371825961499
21,unbalanced_strong,146,0.6559366241180873,0.2559014169823275,0.6144266622772195,0.697446585958955
22,balanced,2953,0.6365583199235899,0.2611451624618983,0.6271392866061003,0.6459773532410795
22,unbalanced_weak,162,0.6060156940602166,0.2731482799594124,0.5639530049472905,0.6480783831731427
22,unbalanced_strong,129,0.661325493099482,0.27432831665457896,0.6139851005537378,0.7086658856452261
