group,n_samples,mean_occupancy,median_occupancy,std_occupancy,min_occupancy,max_occupancy,mw_pvalue_vs_balanced
balanced,4604,0.6587380538662033,0.66,0.2082976571864095,0.07,1.0,
unbalanced_weak,943,0.6518875927889713,0.65,0.20729692972930666,0.09,1.0,0.3097816951470749
unbalanced_strong,945,0.6479470899470899,0.66,0.20459658879539824,0.13,1.0,0.12944215052950653
