group,n_samples,mean_occupancy,median_occupancy,std_occupancy,min_occupancy,max_occupancy,mw_pvalue_vs_balanced
balanced,5939,0.6578077117359825,0.66,0.20652527004834526,0.07,1.0,
unbalanced_weak,281,0.6324555160142349,0.62,0.2258508174970988,0.09,1.0,0.05601542444891807
unbalanced_strong,272,0.6449632352941177,0.65,0.21094760399752982,0.19,1.0,0.29278046485209575
