position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Union Saint-Gilloise,34,24,5,5,78:27,51,77,https://www.transfermarkt.com.br/royale-union-saint-gilloise/spielplan/verein/3948/saison_id/2021
2,Club Brugge,34,21,9,4,72:37,35,72,https://www.transfermarkt.com.br/fc-brugge/spielplan/verein/2282/saison_id/2021
3,RSC Anderlecht,34,18,10,6,72:36,36,64,https://www.transfermarkt.com.br/rsc-anderlecht/spielplan/verein/58/saison_id/2021
4,Royal Antuérpia FC,34,19,6,9,55:38,17,63,https://www.transfermarkt.com.br/royal-antwerpen-fc/spielplan/verein/1096/saison_id/2021
5,KAA Gent,34,18,8,8,56:30,26,62,https://www.transfermarkt.com.br/kaa-gent/spielplan/verein/157/saison_id/2021
6,R Charleroi SC,34,15,9,10,55:46,9,54,https://www.transfermarkt.com.br/rsc-charleroi/spielplan/verein/172/saison_id/2021
7,KV Mechelen,34,15,7,12,57:61,-4,52,https://www.transfermarkt.com.br/kv-mechelen/spielplan/verein/354/saison_id/2021
8,KRC Genk,34,15,6,13,66:47,19,51,https://www.transfermarkt.com.br/krc-genk/spielplan/verein/1184/saison_id/2021
9,VV St.Truiden,34,15,6,13,42:40,2,51,https://www.transfermarkt.com.br/vv-st-truiden/spielplan/verein/475/saison_id/2021
10,Cercle Brügge,34,12,9,13,49:46,3,45,https://www.transfermarkt.com.br/cercle-brugge/spielplan/verein/520/saison_id/2021
11,Oud-Heverlee Leuven,34,10,11,13,47:58,-11,41,https://www.transfermarkt.com.br/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2021
12,KV Oostende (-2024),34,10,7,17,34:61,-27,37,https://www.transfermarkt.com.br/kv-oostende/spielplan/verein/2861/saison_id/2021
13,KV Kortrijk,34,9,10,15,43:48,-5,37,https://www.transfermarkt.com.br/kv-kortrijk/spielplan/verein/601/saison_id/2021
14,Standard de Liège,34,9,9,16,32:51,-19,36,https://www.transfermarkt.com.br/standard-luttich/spielplan/verein/3057/saison_id/2021
15,KAS Eupen,34,8,8,18,37:61,-24,32,https://www.transfermarkt.com.br/kas-eupen/spielplan/verein/1245/saison_id/2021
16,Zulte Waregem,34,8,8,18,42:69,-27,32,https://www.transfermarkt.com.br/sv-zulte-waregem/spielplan/verein/3508/saison_id/2021
17,RFC Seraing,34,8,4,22,30:68,-38,28,https://www.transfermarkt.com.br/rfc-seraing/spielplan/verein/2715/saison_id/2021
18,Beerschot VA,34,4,4,26,33:76,-43,16,https://www.transfermarkt.com.br/beerschot-v-a-/spielplan/verein/41274/saison_id/2021
