position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Real Madrid CF,38,29,8,1,87:26,61,95,https://www.transfermarkt.com.br/real-madrid/spielplan/verein/418/saison_id/2023
2,FC Barcelona,38,26,7,5,79:44,35,85,https://www.transfermarkt.com.br/fc-barcelona/spielplan/verein/131/saison_id/2023
3,Girona FC,38,25,6,7,85:46,39,81,https://www.transfermarkt.com.br/fc-girona/spielplan/verein/12321/saison_id/2023
4,Atlético de Madrid,38,24,4,10,70:43,27,76,https://www.transfermarkt.com.br/atletico-madrid/spielplan/verein/13/saison_id/2023
5,Athletic Bilbao,38,19,11,8,61:37,24,68,https://www.transfermarkt.com.br/athletic-bilbao/spielplan/verein/621/saison_id/2023
6,Real Sociedad,38,16,12,10,51:39,12,60,https://www.transfermarkt.com.br/real-sociedad-san-sebastian/spielplan/verein/681/saison_id/2023
7,Real Betis Balompié,38,14,15,9,48:45,3,57,https://www.transfermarkt.com.br/real-betis-sevilla/spielplan/verein/150/saison_id/2023
8,FC Villarreal,38,14,11,13,65:65,0,53,https://www.transfermarkt.com.br/fc-villarreal/spielplan/verein/1050/saison_id/2023
9,Valencia CF,38,13,10,15,40:45,-5,49,https://www.transfermarkt.com.br/fc-valencia/spielplan/verein/1049/saison_id/2023
10,Deportivo Alavés,38,12,10,16,36:46,-10,46,https://www.transfermarkt.com.br/deportivo-alaves/spielplan/verein/1108/saison_id/2023
11,CA Osasuna,38,12,9,17,45:56,-11,45,https://www.transfermarkt.com.br/ca-osasuna/spielplan/verein/331/saison_id/2023
12,Getafe CF,38,10,13,15,42:54,-12,43,https://www.transfermarkt.com.br/fc-getafe/spielplan/verein/3709/saison_id/2023
13,Sevilla FC,38,10,11,17,48:54,-6,41,https://www.transfermarkt.com.br/fc-sevilla/spielplan/verein/368/saison_id/2023
14,Celta de Vigo,38,10,11,17,46:57,-11,41,https://www.transfermarkt.com.br/celta-vigo/spielplan/verein/940/saison_id/2023
15,RCD Mallorca,38,8,16,14,33:44,-11,40,https://www.transfermarkt.com.br/rcd-mallorca/spielplan/verein/237/saison_id/2023
16,UD Las Palmas,38,10,10,18,33:47,-14,40,https://www.transfermarkt.com.br/ud-las-palmas/spielplan/verein/472/saison_id/2023
17,Rayo Vallecano,38,8,14,16,29:48,-19,38,https://www.transfermarkt.com.br/rayo-vallecano/spielplan/verein/367/saison_id/2023
18,Cádiz CF,38,6,15,17,26:55,-29,33,https://www.transfermarkt.com.br/fc-cadiz/spielplan/verein/2687/saison_id/2023
19,UD Almería,38,3,12,23,43:75,-32,21,https://www.transfermarkt.com.br/ud-almeria/spielplan/verein/3302/saison_id/2023
20,Granada CF,38,4,9,25,38:79,-41,21,https://www.transfermarkt.com.br/fc-granada/spielplan/verein/16795/saison_id/2023
