comparison,threshold_label,n_season_league_combinations,mean_n_test,mean_n_control,mean_delta,median_delta,std_delta,min_delta,max_delta,n_positive_delta,pct_positive_delta,n_negative_delta,pct_negative_delta,effect_size_interpretation,n_negligible_effect,n_small_effect,n_medium_effect,n_large_effect
G- vs G0,G: 0.350,288,1.7569444444444444,16.01736111111111,-0.06299840683138273,-0.030637254901960783,0.5319476058506103,-1.0,1.0,122,42.361111111111114,146,50.69444444444444,negligible,65,68,41,114
G+ vs G0,G: 0.350,291,1.7560137457044673,16.164948453608247,0.008306261232855211,0.0,0.5369903180065773,-1.0,1.0,140,48.10996563573883,142,48.797250859106526,negligible,45,65,52,129
