comparison,threshold_label,n_season_league_combinations,mean_n_test,mean_n_control,mean_delta,median_delta,std_delta,min_delta,max_delta,n_positive_delta,pct_positive_delta,n_negative_delta,pct_negative_delta,effect_size_interpretation,n_negligible_effect,n_small_effect,n_medium_effect,n_large_effect
G- vs G0,G: 0.300,339,2.218289085545723,15.233038348082596,-0.04919842297135738,-0.05555555555555555,0.49163014761100393,-1.0,1.0,151,44.54277286135693,176,51.91740412979351,negligible,78,70,54,137
G+ vs G0,G: 0.300,345,2.1449275362318843,15.252173913043478,0.006326459301455933,0.0,0.5134375992943855,-1.0,1.0,161,46.666666666666664,169,48.98550724637681,negligible,63,79,67,136
