comparison,threshold_label,n_season_league_combinations,mean_n_test,mean_n_control,mean_delta,median_delta,std_delta,min_delta,max_delta,n_positive_delta,pct_positive_delta,n_negative_delta,pct_negative_delta,effect_size_interpretation,n_negligible_effect,n_small_effect,n_medium_effect,n_large_effect
G- vs G0,G: 0.200,386,3.901554404145078,11.7720207253886,-0.037425140023711084,-0.04006410256410256,0.38055888229585966,-1.0,1.0,171,44.30051813471503,205,53.10880829015544,negligible,111,106,75,94
G+ vs G0,G: 0.200,387,3.8268733850129197,11.785529715762275,0.0010738124975653892,0.0,0.38815218955167613,-1.0,1.0,179,46.253229974160206,193,49.87080103359173,negligible,111,115,73,88
