league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
campeonatobrasileiroseriea,0.05671462450592879,3918.5,0.048752171443435105,1.3120060358649424,25,253,0.5796,0.5228853754940712
saudiproleague,-0.043969594594594597,491.5,0.29085859057761354,0.5363181046854252,16,74,0.325625,0.3695945945945946
ligaportugal,-0.04321371291098641,6510.5,0.1647814173498171,0.7830917659245149,43,348,0.437906976744186,0.4811206896551724
j1league,0.040844889573703136,4535.5,0.1256100104604365,0.9009757482223237,33,236,0.657878787878788,0.6170338983050848
challengerproleague,0.036556164383561573,2109.0,0.21493812164295323,0.6676865507677809,25,146,0.5232,0.4866438356164384
premierleague,-0.036346478492808476,13140.0,0.15428591169430958,0.8116737288478059,59,502,0.888135593220339,0.9244820717131474
j2league,0.03446258503401356,4275.0,0.1446451949616168,0.8396959888138967,30,245,0.5566666666666666,0.5222040816326531
laliga2,0.030621848739495694,5721.0,0.20509159575679892,0.6880521357858459,35,289,0.6588571428571428,0.6282352941176471
ligue2,0.029779083131145412,8847.5,0.17189597684777047,0.7647342876716422,41,382,0.5965853658536585,0.5668062827225131
bundesliga,-0.02209190371991243,13863.0,0.3842672456476365,0.4153666325555125,65,457,0.802,0.8240919037199125
jupilerproleague,-0.021071829405162723,1575.5,0.3792795153307075,0.4210406126599229,22,162,0.7195454545454546,0.7406172839506173
2bundesliga,-0.02090280495759933,14242.0,0.33296083014096,0.4776068543441593,73,420,0.6032876712328767,0.6241904761904761
ligue1,-0.016231087526453747,15066.5,0.5378935163306207,0.26930369059230336,61,519,0.6921311475409836,0.7083622350674373
championship,0.009059523809523906,5984.0,0.8722167880382778,0.05937555847637463,30,392,0.8006666666666667,0.7916071428571428
campeonatobrasileiroserieb,-0.004162021553325956,2656.5,0.9163887863916736,0.037920233797365914,26,207,0.4015384615384615,0.40570048309178747
ligaportugal2,0.0024901652242328987,3749.0,0.879879538329147,0.05557678173616234,31,246,0.4887096774193548,0.4862195121951219
laliga,-0.0005971685971685181,5708.5,0.8395057316913701,0.0759763343878307,37,315,0.7737837837837839,0.7743809523809524
