league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
jupilerproleague,0.047597001763668656,2805.0,0.04576997597029544,1.3394193155816765,28,162,0.788214285714286,0.7406172839506173
ligue1,-0.043059204764407055,14338.0,0.03104608578453227,1.507993146834749,66,519,0.6653030303030303,0.7083622350674373
campeonatobrasileiroserieb,0.03800322061191619,3161.0,0.2684669306601182,0.5711092023902306,27,207,0.44370370370370366,0.40570048309178747
campeonatobrasileiroseriea,-0.0374308300395258,2466.5,0.376986781053109,0.4236738779542656,22,253,0.4854545454545454,0.5228853754940712
ligaportugal,0.036553728949478725,8466.5,0.15920519594752391,0.7980427623865792,43,348,0.5176744186046511,0.4811206896551724
j2league,0.035488226059654626,3768.5,0.12480829734746085,0.9037565414770514,26,245,0.5576923076923077,0.5222040816326531
challengerproleague,-0.026643835616438405,1403.0,0.5317090940807754,0.27432591167129566,21,146,0.46,0.4866438356164384
laliga,-0.025452380952380893,3901.0,0.3115156526107621,0.5065201266237709,28,315,0.7489285714285715,0.7743809523809524
ligaportugal2,-0.02429643527204489,2839.0,0.3471716283310081,0.4594557735956295,26,246,0.461923076923077,0.4862195121951219
bundesliga,-0.01730618943419815,12292.5,0.6305879328170574,0.2002543443415362,56,457,0.8067857142857143,0.8240919037199125
j1league,-0.016789995866060337,4586.5,0.5959325035631635,0.22480292648467132,41,236,0.6002439024390245,0.6170338983050848
2bundesliga,-0.01592380952380945,14849.0,0.4299143485927077,0.3666180598593945,75,420,0.6082666666666666,0.6241904761904761
championship,0.01456932773109243,7593.0,0.17732937058741105,0.7512193274128652,34,392,0.8061764705882353,0.7916071428571428
laliga2,0.00533613445378156,4146.5,0.8289637463178761,0.08146446235488806,28,289,0.6335714285714287,0.6282352941176471
premierleague,-0.004482071713147517,15925.5,0.7529384570358618,0.12324052029600577,65,502,0.9199999999999999,0.9244820717131474
saudiproleague,0.003738738738738756,627.5,0.7081849384126744,0.1498533139995712,18,74,0.37333333333333335,0.3695945945945946
ligue2,-0.0021551199318152747,8044.0,0.8253118111487344,0.08338193959922605,43,382,0.5646511627906978,0.5668062827225131
