league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
jupilerproleague,0.13584595959595946,1267.0,0.004081857582911837,2.389142152004687,8,198,0.87625,0.7404040404040405
campeonatobrasileiroseriea,-0.06887552447552459,1307.0,0.10176335937318856,0.9924085646952986,13,275,0.45461538461538453,0.5234909090909091
ligaportugal2,-0.0664615384615384,1327.5,0.09935447659731639,1.0028125601826243,13,280,0.42153846153846153,0.48799999999999993
ligue1,-0.05539099851623874,7424.5,0.08404768844397462,1.0754742264223847,31,587,0.6522580645161292,0.707649063032368
challengerproleague,-0.05028089887640458,557.5,0.3010122851767639,0.5214157792380499,8,178,0.43999999999999995,0.4902808988764045
j1league,-0.04559458315700382,2013.5,0.3065922319586706,0.5134388529396423,17,278,0.5741176470588235,0.6197122302158273
2bundesliga,-0.04314684120660206,7781.5,0.2583457874216125,0.5877986156529201,35,502,0.580857142857143,0.624003984063745
j2league,0.039513586044951365,1753.5,0.3219690786629149,0.4921858351703041,11,271,0.5654545454545455,0.5259409594095942
laliga,0.03591295390162241,2328.0,0.261013843416101,0.5833364583330298,11,353,0.8072727272727271,0.7713597733711047
ligue2,-0.03428873239436625,3726.5,0.3439566955665735,0.46349623202245266,20,426,0.5355,0.5697887323943662
campeonatobrasileiroserieb,0.029304964539007106,1981.0,0.42193045480973057,0.37475912624536534,15,235,0.4366666666666667,0.4073617021276596
championship,0.02686761229314416,3142.0,0.15969687357331208,0.7967035860728474,12,423,0.8183333333333334,0.7914657210401892
ligaportugal,0.022824532453245505,3794.5,0.7549324379003728,0.12209191348336511,18,404,0.503888888888889,0.48106435643564355
saudiproleague,0.013535353535353511,239.0,0.9031807406341227,0.04422533185091855,5,99,0.38,0.3664646464646465
premierleague,-0.00845131612573502,9985.0,0.836610830874862,0.07747651728498613,35,559,0.9142857142857141,0.9227370304114492
bundesliga,-0.008087656223249473,5901.0,0.9353636646708978,0.029019504792518247,22,531,0.8118181818181818,0.8199058380414312
laliga2,0.006459821428571377,2279.5,0.9121547950139114,0.03993145452708822,14,320,0.6364285714285713,0.62996875
