league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
campeonatobrasileiroseriea,0.10900909090909083,2335.0,0.014972188179826052,1.8247147230386156,12,275,0.6325,0.5234909090909091
saudiproleague,-0.09146464646464647,118.0,0.1744301196375032,0.7583785213361364,4,99,0.275,0.3664646464646465
ligue1,-0.05907763446093939,6654.0,0.08866001381563599,1.0522722053618139,28,587,0.6485714285714286,0.707649063032368
ligaportugal,-0.05606435643564356,2026.0,0.3327027927706132,0.4779435535652745,12,404,0.425,0.48106435643564355
j1league,0.04028776978417259,2391.0,0.3390734266283655,0.4697062447865817,15,278,0.6599999999999999,0.6197122302158273
2bundesliga,-0.03561688728955148,6866.5,0.27196957300029356,0.5654796805879678,31,502,0.5883870967741935,0.624003984063745
premierleague,-0.03273703041144915,8026.0,0.32616867142990513,0.48655775536968043,32,559,0.89,0.9227370304114492
laliga2,0.02892013888888889,3259.5,0.3472746809862314,0.4593268789662335,18,320,0.6588888888888889,0.62996875
jupilerproleague,-0.028737373737373728,442.0,0.2873794547428814,0.5415442835599618,6,198,0.7116666666666668,0.7404040404040405
championship,0.024248564674096307,4909.0,0.4155695547201611,0.3813562770469161,21,423,0.8157142857142855,0.7914657210401892
ligaportugal2,-0.02299999999999991,1220.0,0.4907836687567796,0.30910989722216775,10,280,0.465,0.48799999999999993
ligue2,0.021211267605633854,4680.0,0.45636867734394393,0.3406841708346724,20,426,0.5910000000000001,0.5697887323943662
j2league,0.02090114585356384,2829.0,0.4720727642753949,0.32599105499367886,19,271,0.546842105263158,0.5259409594095942
challengerproleague,0.009719101123595475,597.0,0.6260415392703002,0.20339684941360567,6,178,0.5,0.4902808988764045
bundesliga,0.007694161958568757,6584.5,0.9466254688042572,0.023821815088443575,25,531,0.8276,0.8199058380414312
campeonatobrasileiroserieb,0.0046382978723404356,1218.0,0.8464185013267127,0.07241485223672225,10,235,0.41200000000000003,0.4073617021276596
laliga,0.0011402266288952356,2753.0,0.8657512460173947,0.06260687472728646,16,353,0.7725,0.7713597733711047
