position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Vissel Kobe,38,21,9,8,61:36,25,72,https://www.transfermarkt.com.br/vissel-kobe/spielplan/verein/3958/saison_id/2023
2,Sanfrecce Hiroshima,38,19,11,8,72:43,29,68,https://www.transfermarkt.com.br/sanfrecce-hiroshima/spielplan/verein/2697/saison_id/2023
3,Machida Zelvia,38,19,9,10,54:34,20,66,https://www.transfermarkt.com.br/machida-zelvia/spielplan/verein/23568/saison_id/2023
4,Gamba Osaka,38,18,12,8,49:35,14,66,https://www.transfermarkt.com.br/gamba-osaka/spielplan/verein/596/saison_id/2023
5,Kashima Antlers,38,18,11,9,60:41,19,65,https://www.transfermarkt.com.br/kashima-antlers/spielplan/verein/2241/saison_id/2023
6,Tokyo Verdy,38,14,14,10,51:51,0,56,https://www.transfermarkt.com.br/tokyo-verdy/spielplan/verein/3734/saison_id/2023
7,FC Tokyo,38,15,9,14,53:51,2,54,https://www.transfermarkt.com.br/fc-tokyo/spielplan/verein/6631/saison_id/2023
8,Kawasaki Frontale,38,13,13,12,66:57,9,52,https://www.transfermarkt.com.br/kawasaki-frontale/spielplan/verein/9598/saison_id/2023
9,Yokohama F. Marinos,38,15,7,16,61:62,-1,52,https://www.transfermarkt.com.br/yokohama-f-marinos/spielplan/verein/3828/saison_id/2023
10,Cerezo Osaka,38,13,13,12,43:48,-5,52,https://www.transfermarkt.com.br/cerezo-osaka/spielplan/verein/1022/saison_id/2023
11,Nagoya Grampus,38,15,5,18,44:47,-3,50,https://www.transfermarkt.com.br/nagoya-grampus/spielplan/verein/1066/saison_id/2023
12,Avispa Fukuoka,38,12,14,12,33:38,-5,50,https://www.transfermarkt.com.br/avispa-fukuoka/spielplan/verein/9597/saison_id/2023
13,Urawa Red Diamonds,38,12,12,14,49:45,4,48,https://www.transfermarkt.com.br/urawa-red-diamonds/spielplan/verein/828/saison_id/2023
14,Kyoto Sanga,38,12,11,15,43:55,-12,47,https://www.transfermarkt.com.br/kyoto-sanga/spielplan/verein/593/saison_id/2023
15,Shonan Bellmare,38,12,9,17,53:58,-5,45,https://www.transfermarkt.com.br/shonan-bellmare/spielplan/verein/8457/saison_id/2023
16,Albirex Niigata,38,10,12,16,44:59,-15,42,https://www.transfermarkt.com.br/albirex-niigata/spielplan/verein/8344/saison_id/2023
17,Kashiwa Reysol,38,9,14,15,39:51,-12,41,https://www.transfermarkt.com.br/kashiwa-reysol/spielplan/verein/6632/saison_id/2023
18,Júbilo Iwata,38,10,8,20,47:68,-21,38,https://www.transfermarkt.com.br/jubilo-iwata/spielplan/verein/937/saison_id/2023
19,Hokkaido Consadole Sapporo,38,9,10,19,43:66,-23,37,https://www.transfermarkt.com.br/hokkaido-consadole-sapporo/spielplan/verein/16032/saison_id/2023
20,Sagan Tosu,38,10,5,23,48:68,-20,35,https://www.transfermarkt.com.br/sagan-tosu/spielplan/verein/22177/saison_id/2023
