league_name,n_teams,n_G_plus,n_G_minus,n_G_0,pct_G_plus,pct_G_minus,pct_G_0,threshold
saudiproleague,108,12,12,84,11.11,11.11,77.78,G: 0.350
2bundesliga,568,53,56,459,9.33,9.86,80.81,G: 0.350
j1league,310,26,30,254,8.39,9.68,81.94,G: 0.350
challengerproleague,192,15,18,159,7.81,9.38,82.81,G: 0.350
jupilerproleague,212,13,21,178,6.13,9.91,83.96,G: 0.350
ligaportugal,434,35,31,368,8.06,7.14,84.79,G: 0.350
premierleague,626,39,50,537,6.23,7.99,85.78,G: 0.350
bundesliga,578,44,38,496,7.61,6.57,85.81,G: 0.350
ligaportugal2,304,20,22,262,6.58,7.24,86.18,G: 0.350
ligue1,646,40,45,561,6.19,6.97,86.84,G: 0.350
seriea,524,34,34,456,6.49,6.49,87.02,G: 0.350
campeonatobrasileiroserieb,260,16,17,227,6.15,6.54,87.31,G: 0.350
ligue2,468,28,30,410,5.98,6.41,87.61,G: 0.350
laliga2,352,23,18,311,6.53,5.11,88.35,G: 0.350
j2league,301,23,12,266,7.64,3.99,88.37,G: 0.350
serieb,451,28,24,399,6.21,5.32,88.47,G: 0.350
campeonatobrasileiroseriea,300,18,16,266,6.0,5.33,88.67,G: 0.350
laliga,380,20,16,344,5.26,4.21,90.53,G: 0.350
championship,456,22,12,422,4.82,2.63,92.54,G: 0.350
superlig,95,2,4,89,2.11,4.21,93.68,G: 0.350
