group,n_samples,mean_occupancy,median_occupancy,std_occupancy,min_occupancy,max_occupancy,mw_pvalue_vs_balanced
balanced,3911,0.6598926105855281,0.67,0.20885741712859618,0.07,1.0,
unbalanced_weak,1304,0.6528374233128835,0.65,0.20443978736231286,0.09,1.0,0.23625193513278397
unbalanced_strong,1277,0.6481832419733751,0.66,0.20695543627303198,0.12,1.0,0.07717418273441654
