position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Manchester United FC,38,24,8,6,79:31,48,80,https://www.transfermarkt.com.br/manchester-united/spielplan/verein/985/saison_id/2000
2,FC Arsenal,38,20,10,8,63:38,25,70,https://www.transfermarkt.com.br/fc-arsenal/spielplan/verein/11/saison_id/2000
3,FC Liverpool,38,20,9,9,71:39,32,69,https://www.transfermarkt.com.br/fc-liverpool/spielplan/verein/31/saison_id/2000
4,Leeds United FC,38,20,8,10,64:43,21,68,https://www.transfermarkt.com.br/leeds-united/spielplan/verein/399/saison_id/2000
5,Ipswich Town FC,38,20,6,12,57:42,15,66,https://www.transfermarkt.com.br/ipswich-town/spielplan/verein/677/saison_id/2000
6,Chelsea FC,38,17,10,11,68:45,23,61,https://www.transfermarkt.com.br/fc-chelsea/spielplan/verein/631/saison_id/2000
7,AFC Sunderland,38,15,12,11,46:41,5,57,https://www.transfermarkt.com.br/afc-sunderland/spielplan/verein/289/saison_id/2000
8,Aston Villa FC,38,13,15,10,46:43,3,54,https://www.transfermarkt.com.br/aston-villa/spielplan/verein/405/saison_id/2000
9,Charlton Athletic,38,14,10,14,50:57,-7,52,https://www.transfermarkt.com.br/charlton-athletic/spielplan/verein/358/saison_id/2000
10,FC Southampton,38,14,10,14,40:48,-8,52,https://www.transfermarkt.com.br/fc-southampton/spielplan/verein/180/saison_id/2000
11,Newcastle United,38,14,9,15,44:50,-6,51,https://www.transfermarkt.com.br/newcastle-united/spielplan/verein/762/saison_id/2000
12,Tottenham Hotspur,38,13,10,15,47:54,-7,49,https://www.transfermarkt.com.br/tottenham-hotspur/spielplan/verein/148/saison_id/2000
13,Leicester City FC,38,14,6,18,39:51,-12,48,https://www.transfermarkt.com.br/leicester-city/spielplan/verein/1003/saison_id/2000
14,FC Middlesbrough,38,9,15,14,44:44,0,42,https://www.transfermarkt.com.br/fc-middlesbrough/spielplan/verein/641/saison_id/2000
15,West Ham United,38,10,12,16,45:50,-5,42,https://www.transfermarkt.com.br/west-ham-united/spielplan/verein/379/saison_id/2000
16,FC Everton,38,11,9,18,45:59,-14,42,https://www.transfermarkt.com.br/fc-everton/spielplan/verein/29/saison_id/2000
17,Derby County,38,10,12,16,37:59,-22,42,https://www.transfermarkt.com.br/derby-county/spielplan/verein/22/saison_id/2000
18,Manchester City FC,38,8,10,20,41:65,-24,34,https://www.transfermarkt.com.br/manchester-city/spielplan/verein/281/saison_id/2000
19,Coventry City,38,8,10,20,36:63,-27,34,https://www.transfermarkt.com.br/coventry-city/spielplan/verein/990/saison_id/2000
20,Bradford City AFC,38,5,11,22,30:70,-40,26,https://www.transfermarkt.com.br/bradford-city/spielplan/verein/1027/saison_id/2000
