g_type,g_type_display,threshold_label,n_teams,mean_normalized_rank,median_normalized_rank,std_normalized_rank,min_normalized_rank,max_normalized_rank,n_top_half,pct_top_half,n_bottom_half,pct_bottom_half
balanced,G0 (Balanced),G: 0.250,5405,0.5025865041069721,0.5238095238095238,0.3038641461378772,0.0,1.0,2660,49.213691026827014,2745,50.786308973172986
unbalanced_weak,G- (Unbalanced Weak),G: 0.250,1090,0.4800919041481165,0.47058823529411764,0.3047808330997708,0.0,1.0,594,54.4954128440367,496,45.5045871559633
unbalanced_strong,G+ (Unbalanced Strong),G: 0.250,1070,0.5069514355460172,0.525062656641604,0.3027815272457343,0.0,1.0,525,49.06542056074766,545,50.93457943925234
