position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,SL Benfica,30,24,4,2,78:20,58,76,https://www.transfermarkt.com.br/benfica-lissabon/spielplan/verein/294/saison_id/2009
2,SC Braga,30,22,5,3,48:20,28,71,https://www.transfermarkt.com.br/sc-braga/spielplan/verein/1075/saison_id/2009
3,FC Porto,30,21,5,4,70:26,44,68,https://www.transfermarkt.com.br/fc-porto/spielplan/verein/720/saison_id/2009
4,Sporting CP,30,13,9,8,42:26,16,48,https://www.transfermarkt.com.br/sporting-lissabon/spielplan/verein/336/saison_id/2009
5,Club Sport Marítimo,30,11,8,11,42:43,-1,41,https://www.transfermarkt.com.br/cs-maritimo/spielplan/verein/1301/saison_id/2009
6,Vitória Sport Clube,30,11,8,11,31:34,-3,41,https://www.transfermarkt.com.br/vitoria-guimaraes-sc/spielplan/verein/2420/saison_id/2009
7,CD Nacional,30,10,9,11,36:46,-10,39,https://www.transfermarkt.com.br/cd-nacional/spielplan/verein/982/saison_id/2009
8,Naval 1º de Maio,30,10,6,14,20:35,-15,36,https://www.transfermarkt.com.br/associacao-naval-1893/spielplan/verein/4814/saison_id/2009
9,FC Paços de Ferreira,30,8,11,11,32:37,-5,35,https://www.transfermarkt.com.br/fc-pacos-de-ferreira/spielplan/verein/2995/saison_id/2009
10,UD Leiria,30,9,8,13,35:41,-6,35,https://www.transfermarkt.com.br/uniao-leiria/spielplan/verein/2639/saison_id/2009
11,Académica de Coimbra,30,8,9,13,37:42,-5,33,https://www.transfermarkt.com.br/academica-coimbra/spielplan/verein/2990/saison_id/2009
12,Rio Ave Futebol Clube,30,6,13,11,22:33,-11,31,https://www.transfermarkt.com.br/rio-ave-fc/spielplan/verein/2425/saison_id/2009
13,Sporting Clube Olhanense,30,5,14,11,31:46,-15,29,https://www.transfermarkt.com.br/sc-olhanense/spielplan/verein/4750/saison_id/2009
14,Vitória Futebol Clube,30,5,10,15,29:57,-28,25,https://www.transfermarkt.com.br/vitoria-setubal-fc/spielplan/verein/1085/saison_id/2009
15,CF Os Belenenses,30,4,11,15,23:44,-21,23,https://www.transfermarkt.com.br/cf-os-belenenses/spielplan/verein/68608/saison_id/2009
16,Leixões SC,30,5,6,19,25:51,-26,21,https://www.transfermarkt.com.br/leixoes-sc/spielplan/verein/3345/saison_id/2009
