position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,FC Paris Saint-Germain,34,22,10,2,81:33,48,76,https://www.transfermarkt.com.br/fc-paris-saint-germain/spielplan/verein/583/saison_id/2023
2,AS Monaco,34,20,7,7,68:42,26,67,https://www.transfermarkt.com.br/as-monaco/spielplan/verein/162/saison_id/2023
3,Stade Brestois 29,34,17,10,7,53:34,19,61,https://www.transfermarkt.com.br/stade-brest-29/spielplan/verein/3911/saison_id/2023
4,LOSC Lille,34,16,11,7,52:34,18,59,https://www.transfermarkt.com.br/losc-lille/spielplan/verein/1082/saison_id/2023
5,OGC Nice,34,15,10,9,40:29,11,55,https://www.transfermarkt.com.br/ogc-nizza/spielplan/verein/417/saison_id/2023
6,Olympique Lyon,34,16,5,13,49:55,-6,53,https://www.transfermarkt.com.br/olympique-lyon/spielplan/verein/1041/saison_id/2023
7,RC Lens,34,14,9,11,45:37,8,51,https://www.transfermarkt.com.br/rc-lens/spielplan/verein/826/saison_id/2023
8,Olympique Marselha,34,13,11,10,52:41,11,50,https://www.transfermarkt.com.br/olympique-marseille/spielplan/verein/244/saison_id/2023
9,Stade Reims,34,13,8,13,42:47,-5,47,https://www.transfermarkt.com.br/stade-reims/spielplan/verein/1421/saison_id/2023
10,Stade Rennais FC,34,12,10,12,53:46,7,46,https://www.transfermarkt.com.br/fc-stade-rennes/spielplan/verein/273/saison_id/2023
11,FC Toulouse,34,11,10,13,42:46,-4,43,https://www.transfermarkt.com.br/fc-toulouse/spielplan/verein/415/saison_id/2023
12,Montpellier HSC,34,10,12,12,43:48,-5,41,https://www.transfermarkt.com.br/montpellier-hsc/spielplan/verein/969/saison_id/2023
13,RC Strasbourg Alsace,34,10,9,15,38:50,-12,39,https://www.transfermarkt.com.br/rc-strassburg-alsace/spielplan/verein/667/saison_id/2023
14,FC Nantes,34,9,6,19,30:55,-25,33,https://www.transfermarkt.com.br/fc-nantes/spielplan/verein/995/saison_id/2023
15,Le Havre AC,34,7,11,16,34:45,-11,32,https://www.transfermarkt.com.br/ac-le-havre/spielplan/verein/738/saison_id/2023
16,FC Metz,34,8,5,21,35:58,-23,29,https://www.transfermarkt.com.br/fc-metz/spielplan/verein/347/saison_id/2023
17,FC Lorient,34,7,8,19,43:66,-23,29,https://www.transfermarkt.com.br/fc-lorient/spielplan/verein/1158/saison_id/2023
18,Clermont Foot 63,34,5,10,19,26:60,-34,25,https://www.transfermarkt.com.br/clermont-foot-63/spielplan/verein/3524/saison_id/2023
