position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Cruzeiro EC,38,23,9,6,57:26,31,78,https://www.transfermarkt.com.br/ec-cruzeiro-belo-horizonte/spielplan/verein/609/saison_id/2021
2,Grêmio FBPA,38,17,14,7,50:26,24,65,https://www.transfermarkt.com.br/gremio-porto-alegre/spielplan/verein/210/saison_id/2021
3,EC Bahia,38,17,11,10,43:29,14,62,https://www.transfermarkt.com.br/esporte-clube-bahia/spielplan/verein/10010/saison_id/2021
4,CR Vasco da Gama,38,17,11,10,48:36,12,62,https://www.transfermarkt.com.br/vasco-da-gama-rio-de-janeiro/spielplan/verein/978/saison_id/2021
5,Sampaio Corrêa FC,38,16,10,12,47:41,6,58,https://www.transfermarkt.com.br/sampaio-correa-fc-ma-/spielplan/verein/3319/saison_id/2021
6,Ituano FC,38,15,12,11,42:34,8,57,https://www.transfermarkt.com.br/ituano-futebol-clube-sp-/spielplan/verein/4773/saison_id/2021
7,Sport Recife,38,15,12,11,37:31,6,57,https://www.transfermarkt.com.br/sport-club-do-recife/spielplan/verein/8718/saison_id/2021
8,Criciúma EC,38,14,14,10,43:31,12,56,https://www.transfermarkt.com.br/criciuma-esporte-clube/spielplan/verein/7178/saison_id/2021
9,Londrina EC,38,14,11,13,36:37,-1,53,https://www.transfermarkt.com.br/londrina-esporte-clube-pr-/spielplan/verein/1693/saison_id/2021
10,Guarani FC,38,13,12,13,33:36,-3,51,https://www.transfermarkt.com.br/guarani-fc-sp-/spielplan/verein/1755/saison_id/2021
11,CRB,38,13,11,14,35:43,-8,50,https://www.transfermarkt.com.br/clube-de-regatas-brasil-al-/spielplan/verein/11449/saison_id/2021
12,AA Ponte Preta,38,12,13,13,34:36,-2,49,https://www.transfermarkt.com.br/aa-ponte-preta/spielplan/verein/1134/saison_id/2021
13,Vila Nova FC,38,9,20,9,28:31,-3,47,https://www.transfermarkt.com.br/vila-nova-futebol-clube-go-/spielplan/verein/5677/saison_id/2021
14,Tombense FC,38,10,16,12,35:43,-8,46,https://www.transfermarkt.com.br/tombense-futebol-clube-mg-/spielplan/verein/3234/saison_id/2021
15,Chapecoense,38,11,12,15,37:39,-2,45,https://www.transfermarkt.com.br/chapecoense/spielplan/verein/17776/saison_id/2021
16,Grêmio Novorizontino,38,11,11,16,44:49,-5,44,https://www.transfermarkt.com.br/gremio-novorizontino-sp-/spielplan/verein/37474/saison_id/2021
17,CSA,38,9,15,14,29:37,-8,42,https://www.transfermarkt.com.br/centro-sportivo-alagoano-al-/spielplan/verein/18545/saison_id/2021
18,Brusque FC,38,8,10,20,21:38,-17,34,https://www.transfermarkt.com.br/brusque-futebol-clube-sc-/spielplan/verein/14390/saison_id/2021
19,Operário FEC,38,7,13,18,30:52,-22,34,https://www.transfermarkt.com.br/operario-ferroviario-ec-pr-/spielplan/verein/27214/saison_id/2021
20,Náutico,38,7,7,24,28:62,-34,28,https://www.transfermarkt.com.br/clube-nautico-capibaribe/spielplan/verein/2646/saison_id/2021
