group,n_samples,mean_occupancy,median_occupancy,std_occupancy,min_occupancy,max_occupancy,mw_pvalue_vs_balanced
balanced,5602,0.6584666190646197,0.66,0.20708057692099843,0.07,1.0,
unbalanced_weak,443,0.6438374717832956,0.64,0.2154017413495052,0.09,1.0,0.13631171057350727
unbalanced_strong,447,0.6396420581655481,0.65,0.2059122910133664,0.13,1.0,0.062196744493770745
