position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,AFC Sunderland,46,29,7,10,76:41,35,94,https://www.transfermarkt.com.br/afc-sunderland/spielplan/verein/289/saison_id/2004
2,Wigan Athletic,46,25,12,9,79:35,44,87,https://www.transfermarkt.com.br/wigan-athletic/spielplan/verein/1071/saison_id/2004
3,Ipswich Town FC,46,24,13,9,85:56,29,85,https://www.transfermarkt.com.br/ipswich-town/spielplan/verein/677/saison_id/2004
4,Derby County,46,22,10,14,71:60,11,76,https://www.transfermarkt.com.br/derby-county/spielplan/verein/22/saison_id/2004
5,Preston North End,46,21,12,13,67:58,9,75,https://www.transfermarkt.com.br/preston-north-end/spielplan/verein/466/saison_id/2004
6,West Ham United,46,21,10,15,66:56,10,73,https://www.transfermarkt.com.br/west-ham-united/spielplan/verein/379/saison_id/2004
7,FC Reading,46,19,13,14,51:44,7,70,https://www.transfermarkt.com.br/fc-reading/spielplan/verein/1032/saison_id/2004
8,Sheffield United,46,18,13,15,57:56,1,67,https://www.transfermarkt.com.br/sheffield-united/spielplan/verein/350/saison_id/2004
9,Wolverhampton Wanderers,46,15,21,10,72:59,13,66,https://www.transfermarkt.com.br/wolverhampton-wanderers/spielplan/verein/543/saison_id/2004
10,Millwall FC,46,18,12,16,51:45,6,66,https://www.transfermarkt.com.br/fc-millwall/spielplan/verein/1028/saison_id/2004
11,Queens Park Rangers,46,17,11,18,54:58,-4,62,https://www.transfermarkt.com.br/queens-park-rangers/spielplan/verein/1039/saison_id/2004
12,Stoke City,46,17,10,19,36:38,-2,61,https://www.transfermarkt.com.br/stoke-city/spielplan/verein/512/saison_id/2004
13,FC Burnley,46,15,15,16,38:39,-1,60,https://www.transfermarkt.com.br/fc-burnley/spielplan/verein/1132/saison_id/2004
14,Leeds United FC,46,14,18,14,49:52,-3,60,https://www.transfermarkt.com.br/leeds-united/spielplan/verein/399/saison_id/2004
15,Leicester City FC,46,12,21,13,49:46,3,57,https://www.transfermarkt.com.br/leicester-city/spielplan/verein/1003/saison_id/2004
16,Cardiff City,46,13,15,18,48:51,-3,54,https://www.transfermarkt.com.br/cardiff-city/spielplan/verein/603/saison_id/2004
17,Plymouth Argyle,46,14,11,21,52:64,-12,53,https://www.transfermarkt.com.br/plymouth-argyle/spielplan/verein/2262/saison_id/2004
18,FC Watford,46,12,16,18,52:59,-7,52,https://www.transfermarkt.com.br/fc-watford/spielplan/verein/1010/saison_id/2004
19,Coventry City,46,13,13,20,61:73,-12,52,https://www.transfermarkt.com.br/coventry-city/spielplan/verein/990/saison_id/2004
20,Brighton & Hove Albion,46,13,12,21,40:65,-25,51,https://www.transfermarkt.com.br/brighton-amp-hove-albion/spielplan/verein/1237/saison_id/2004
21,Crewe Alexandra,46,12,14,20,66:86,-20,50,https://www.transfermarkt.com.br/crewe-alexandra/spielplan/verein/1042/saison_id/2004
22,Gillingham FC,46,12,14,20,45:66,-21,50,https://www.transfermarkt.com.br/fc-gillingham/spielplan/verein/2814/saison_id/2004
23,Nottingham Forest,46,9,17,20,42:66,-24,44,https://www.transfermarkt.com.br/nottingham-forest/spielplan/verein/703/saison_id/2004
24,Rotherham United,46,5,14,27,35:69,-34,29,https://www.transfermarkt.com.br/rotherham-united/spielplan/verein/1194/saison_id/2004
