comparison,threshold_label,n_season_league_combinations,mean_n_test,mean_n_control,mean_delta,median_delta,std_delta,min_delta,max_delta,n_positive_delta,pct_positive_delta,n_negative_delta,pct_negative_delta,effect_size_interpretation,n_negligible_effect,n_small_effect,n_medium_effect,n_large_effect
G- vs G0,G: 0.400,215,1.4883720930232558,16.66046511627907,-0.09005737643858366,-0.0625,0.5462795480984991,-1.0,1.0,87,40.46511627906977,116,53.95348837209303,negligible,47,49,30,89
G+ vs G0,G: 0.400,219,1.4429223744292237,16.904109589041095,0.03446990801697551,0.0,0.5481167139701222,-1.0,1.0,107,48.858447488584474,99,45.205479452054796,negligible,43,36,32,108
