position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Galatasaray,34,24,5,5,60:35,25,77,https://www.transfermarkt.com.br/galatasaray-istanbul/spielplan/verein/141/saison_id/2014
2,Fenerbahce,34,22,8,4,60:29,31,74,https://www.transfermarkt.com.br/fenerbahce-istanbul/spielplan/verein/36/saison_id/2014
3,Besiktas JK,34,21,6,7,55:32,23,69,https://www.transfermarkt.com.br/besiktas-istanbul/spielplan/verein/114/saison_id/2014
4,Basaksehir FK,34,15,14,5,49:30,19,59,https://www.transfermarkt.com.br/istanbul-basaksehir-fk/spielplan/verein/6890/saison_id/2014
5,Trabzonspor,34,15,12,7,58:48,10,57,https://www.transfermarkt.com.br/trabzonspor/spielplan/verein/449/saison_id/2014
6,Bursaspor,34,16,9,9,69:44,25,57,https://www.transfermarkt.com.br/bursaspor/spielplan/verein/20/saison_id/2014
7,Mersin Idmanyurdu,34,13,8,13,54:48,6,47,https://www.transfermarkt.com.br/mersin-idmanyurdu/spielplan/verein/3216/saison_id/2014
8,Konyaspor,34,12,10,12,30:39,-9,46,https://www.transfermarkt.com.br/konyaspor/spielplan/verein/2293/saison_id/2014
9,Genclerbirligi Ankara,34,10,10,14,46:44,2,40,https://www.transfermarkt.com.br/genclerbirligi-ankara/spielplan/verein/820/saison_id/2014
10,Gaziantepspor,34,11,7,16,31:48,-17,40,https://www.transfermarkt.com.br/gaziantepspor/spielplan/verein/524/saison_id/2014
11,Eskisehirspor,34,9,12,13,45:52,-7,39,https://www.transfermarkt.com.br/eskisehirspor/spielplan/verein/825/saison_id/2014
12,Akhisar Belediyespor,34,9,11,14,41:51,-10,38,https://www.transfermarkt.com.br/akhisarspor/spielplan/verein/19771/saison_id/2014
13,Kasimpasa,34,9,10,15,56:73,-17,37,https://www.transfermarkt.com.br/kasimpasa/spielplan/verein/10484/saison_id/2014
14,Caykur Rizespor,34,9,9,16,41:55,-14,36,https://www.transfermarkt.com.br/caykur-rizespor/spielplan/verein/126/saison_id/2014
15,Sivasspor,34,9,9,16,43:50,-7,36,https://www.transfermarkt.com.br/sivasspor/spielplan/verein/2381/saison_id/2014
16,Kardemir Karabükspor,34,7,7,20,44:64,-20,28,https://www.transfermarkt.com.br/kardemir-karabukspor/spielplan/verein/1506/saison_id/2014
17,Kayseri Erciyesspor,34,5,12,17,43:62,-19,27,https://www.transfermarkt.com.br/kayseri-erciyesspor/spielplan/verein/6894/saison_id/2014
18,Balikesirspor,34,6,9,19,48:69,-21,27,https://www.transfermarkt.com.br/balikesirspor/spielplan/verein/20698/saison_id/2014
