league_name,n_teams,n_G_plus,n_G_minus,n_G_0,pct_G_plus,pct_G_minus,pct_G_0,threshold
jupilerproleague,212,37,40,135,17.45,18.87,63.68,G: 0.250
saudiproleague,108,18,20,70,16.67,18.52,64.81,G: 0.250
challengerproleague,192,34,33,125,17.71,17.19,65.1,G: 0.250
2bundesliga,568,100,97,371,17.61,17.08,65.32,G: 0.250
j1league,310,47,55,208,15.16,17.74,67.1,G: 0.250
ligaportugal,434,69,66,299,15.9,15.21,68.89,G: 0.250
premierleague,626,89,101,436,14.22,16.13,69.65,G: 0.250
j2league,301,43,44,214,14.29,14.62,71.1,G: 0.250
ligue2,468,62,71,335,13.25,15.17,71.58,G: 0.250
ligaportugal2,304,44,42,218,14.47,13.82,71.71,G: 0.250
seriea,524,71,77,376,13.55,14.69,71.76,G: 0.250
campeonatobrasileiroserieb,260,37,36,187,14.23,13.85,71.92,G: 0.250
bundesliga,578,82,79,417,14.19,13.67,72.15,G: 0.250
ligue1,646,95,83,468,14.71,12.85,72.45,G: 0.250
laliga2,352,49,46,257,13.92,13.07,73.01,G: 0.250
laliga,380,52,47,281,13.68,12.37,73.95,G: 0.250
campeonatobrasileiroseriea,300,37,35,228,12.33,11.67,76.0,G: 0.250
serieb,451,47,55,349,10.42,12.2,77.38,G: 0.250
superlig,95,7,14,74,7.37,14.74,77.89,G: 0.250
championship,456,50,49,357,10.96,10.75,78.29,G: 0.250
