league_name,n_teams,n_G_plus,n_G_minus,n_G_0,pct_G_plus,pct_G_minus,pct_G_0,threshold
2bundesliga,568,31,35,502,5.46,6.16,88.38,p<0.1
premierleague,626,32,35,559,5.11,5.59,89.3,p<0.1
j1league,310,15,17,278,4.84,5.48,89.68,p<0.1
j2league,301,19,11,271,6.31,3.65,90.03,p<0.1
campeonatobrasileiroserieb,260,10,15,235,3.85,5.77,90.38,p<0.1
ligue1,646,28,31,587,4.33,4.8,90.87,p<0.1
laliga2,352,18,14,320,5.11,3.98,90.91,p<0.1
seriea,524,26,21,477,4.96,4.01,91.03,p<0.1
serieb,451,20,20,411,4.43,4.43,91.13,p<0.1
ligue2,468,20,21,427,4.27,4.49,91.24,p<0.1
campeonatobrasileiroseriea,300,12,13,275,4.0,4.33,91.67,p<0.1
saudiproleague,108,4,5,99,3.7,4.63,91.67,p<0.1
bundesliga,578,25,22,531,4.33,3.81,91.87,p<0.1
ligaportugal2,304,10,13,281,3.29,4.28,92.43,p<0.1
challengerproleague,192,6,8,178,3.12,4.17,92.71,p<0.1
championship,456,21,12,423,4.61,2.63,92.76,p<0.1
laliga,380,16,11,353,4.21,2.89,92.89,p<0.1
ligaportugal,434,12,18,404,2.76,4.15,93.09,p<0.1
jupilerproleague,212,6,8,198,2.83,3.77,93.4,p<0.1
superlig,95,1,2,92,1.05,2.11,96.84,p<0.1
