league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
jupilerproleague,-0.9014084507042254,132.0,3.879575231552996e-06,5.411215822006609,10,196,142
saudiproleague,-0.41935483870967744,217.5,0.020831258039844616,1.6812845013789781,9,91,93
laliga,-0.25882352941176473,1311.0,0.1584298739453074,0.8001629233380095,10,355,170
j1league,-0.21839080459770116,2026.5,0.19031632598325166,0.7205239548537322,18,276,261
ligaportugal,-0.21084337349397592,3511.5,0.14687676234091476,0.8330469093520679,22,391,332
ligaportugal2,-0.17142857142857143,1482.0,0.2504242659319563,0.6013235905984254,13,281,210
bundesliga,-0.16666666666666666,5241.5,0.1592604776860277,0.7978919859845298,24,526,360
j2league,-0.16556291390728478,955.0,0.47833379071366955,0.3202689383792795,8,280,151
laliga2,0.1592356687898089,1521.0,0.4934615205506583,0.30674670735921844,8,333,157
campeonatobrasileiroserieb,-0.12169312169312169,1155.5,0.498560469803487,0.30228215909899236,11,239,189
premierleague,0.09838998211091235,9879.5,0.39626675450561843,0.4020123620347375,32,567,559
ligue2,-0.09302325581395349,3724.0,0.4943938793790714,0.3059269144733447,19,432,344
ligue1,0.09236947791164658,9508.5,0.4701927714172064,0.3277240518545304,30,588,498
championship,0.09090909090909091,1213.5,0.6924595538468212,0.15960558840665637,5,440,110
seriea,0.07975460122699386,5195.0,0.5214843684279424,0.282758705084494,20,479,326
challengerproleague,-0.07801418439716312,756.5,0.47304013580774473,0.32510200932489514,10,175,141
campeonatobrasileiroseriea,0.07423580786026202,1955.0,0.601813717083203,0.22053791765002467,13,277,229
serieb,-0.07194244604316546,3223.5,0.8194610410141568,0.08647168892052927,16,417,278
superlig,-0.06666666666666667,78.0,0.7232117599200449,0.14073452054865127,2,92,30
2bundesliga,-0.006968641114982578,9910.5,0.9744644713412035,0.011233990493764487,40,494,574
