league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
campeonatobrasileiroseriea,-0.3793103448275862,863.0,0.04285319277646525,1.368016815431681,10,277,174
laliga,0.3253012048192771,3478.0,0.044309082150429314,1.3535072461573376,15,355,249
j1league,-0.3133047210300429,1509.5,0.033265969021148374,1.4779998212512075,16,276,233
campeonatobrasileiroserieb,0.3068181818181818,1555.5,0.1062323146712743,0.9737433556773597,10,239,176
championship,-0.2809917355371901,1755.5,0.11959374694656368,0.9222915271836999,11,440,242
saudiproleague,0.2619047619047619,430.5,0.39589071903290673,0.40242467940475674,8,91,84
ligaportugal2,-0.2546583850931677,1029.5,0.15104778143086034,0.8208856492017633,10,281,161
ligue1,0.2149122807017544,9807.5,0.08652730293260198,1.0628468330900431,28,588,456
jupilerproleague,0.20930232558139536,709.5,0.39006602242481947,0.4088618782349398,6,196,86
challengerproleague,0.15384615384615385,700.5,0.5214327282977683,0.2828017133421362,7,175,104
ligue2,-0.12258064516129032,3201.0,0.36937977259718424,0.4325268904061927,17,432,310
j2league,-0.10317460317460317,1631.5,0.5285644404306089,0.2769020577087246,13,280,252
laliga2,0.09090909090909091,2002.5,0.598930040374821,0.22262390357661613,11,333,220
ligaportugal,0.08143322475570032,4412.0,0.564249282491174,0.248528984505977,21,391,307
bundesliga,0.04225352112676056,7842.0,0.562288396296157,0.25004087874659303,28,526,426
premierleague,0.012448132780082987,7849.5,0.8231346183838971,0.08452913290398668,27,567,482
2bundesliga,-0.008064516129032258,8152.5,0.7755348351653768,0.11039868994538421,34,494,496
