league_name,season_year,G-_vs_G0,G-_vs_G+,G0_vs_G+
2bundesliga,1990,0.2353,0.5000,0.7121
2bundesliga,1992,0.7273,1.0000,0.5692
2bundesliga,1993,0.1893,0.0571,0.2454
2bundesliga,1994,0.1714,0.8000,0.3643
2bundesliga,1995,0.0762,0.2000,0.4393
2bundesliga,1996,0.6993,0.7302,0.4140
2bundesliga,1997,0.4444,,
2bundesliga,1998,0.6991,0.8182,0.9372
2bundesliga,1999,0.6250,1.0000,0.5294
2bundesliga,2000,0.0604,0.2286,0.7531
2bundesliga,2001,0.8000,0.8000,0.3048
2bundesliga,2002,0.4762,0.4000,0.9000
2bundesliga,2003,0.9333,0.6667,0.3333
2bundesliga,2004,0.7500,0.6667,0.4412
2bundesliga,2005,0.9333,0.6667,0.6000
2bundesliga,2006,0.4393,0.4000,0.5714
2bundesliga,2007,0.0588,0.6667,0.7500
2bundesliga,2008,0.0220,0.0571,0.3429
2bundesliga,2009,0.4396,0.2667,0.5989
2bundesliga,2010,0.9118,,
2bundesliga,2011,1.0000,1.0000,0.5882
2bundesliga,2012,1.0000,0.8000,0.3048
2bundesliga,2013,0.3529,1.0000,1.0000
2bundesliga,2014,0.5395,0.6857,0.3037
2bundesliga,2015,0.8167,0.3333,0.0167
2bundesliga,2016,0.8588,1.0000,0.2667
2bundesliga,2017,0.8000,0.8000,0.2393
2bundesliga,2018,0.6176,1.0000,1.0000
2bundesliga,2022,0.0780,0.8000,0.1319
2bundesliga,2023,0.0588,0.6667,0.3750
2bundesliga,2024,0.9000,0.2000,0.0381
bundesliga,1990,0.9000,1.0000,0.6857
bundesliga,1991,0.3676,1.0000,0.2034
bundesliga,1992,0.1111,,
bundesliga,1993,0.3529,1.0000,0.9412
bundesliga,1994,0.0667,0.3333,0.5000
bundesliga,1995,1.0000,1.0000,0.8235
bundesliga,1996,0.7059,1.0000,0.7059
bundesliga,1997,,,0.6667
bundesliga,1998,,,0.5556
bundesliga,1999,0.9333,1.0000,0.5214
bundesliga,2000,0.3429,0.2286,0.3681
bundesliga,2001,0.7206,0.6667,0.2500
bundesliga,2002,0.8252,0.1905,0.6993
bundesliga,2003,1.0000,0.4000,0.1893
bundesliga,2004,0.5882,1.0000,0.8235
bundesliga,2005,1.0000,0.5000,0.5912
