league_name,season_year,team_canonical,mean_attendance,max_attendance,average_occupancy
2bundesliga,1994,fortunadusseldorf95,9658.82,19300,0.50
2bundesliga,1994,fsvfrankfurt,2205.88,9000,0.25
2bundesliga,1994,fsvzwickau,6440.06,11600,0.56
2bundesliga,1994,hannover96,9806.59,25780,0.38
2bundesliga,1994,herthaberlim,6998.82,21411,0.33
2bundesliga,1994,scfortunakoln,4005.88,8500,0.47
2bundesliga,1994,sgwattenscheid09,2399.00,4681,0.51
2bundesliga,1994,svmeppen,8352.94,16000,0.52
2bundesliga,1994,svwaldhofmannheim,12441.18,25000,0.50
2bundesliga,1994,vfbleipzig,3517.06,6600,0.53
2bundesliga,1994,vflwolfsburg,6821.12,13264,0.51
2bundesliga,1995,1fcnuremberg,15876.47,22200,0.72
2bundesliga,1995,1fsvmainz05,4273.18,12000,0.36
2bundesliga,1995,arminiabielefeld,13347.06,18200,0.73
2bundesliga,1995,chemnitzerfc,3914.12,8200,0.48
2bundesliga,1995,fccarlzeissjena,4960.35,7644,0.65
2bundesliga,1995,fsvzwickau,5691.94,8500,0.67
2bundesliga,1995,hannover96,9719.65,17890,0.54
2bundesliga,1995,herthaberlim,7172.94,18432,0.39
2bundesliga,1995,msvduisburg,11545.00,22000,0.52
2bundesliga,1995,scfortunakoln,2152.94,5000,0.43
2bundesliga,1995,sgwattenscheid09,2322.24,7938,0.29
2bundesliga,1995,spvggunterhaching,2735.29,8000,0.34
2bundesliga,1995,svmeppen,7617.65,13500,0.56
2bundesliga,1995,svwaldhofmannheim,7476.47,11000,0.68
2bundesliga,1995,vfbleipzig,5614.71,10600,0.53
2bundesliga,1995,vfblubeck,9794.12,17500,0.56
2bundesliga,1995,vflbochum,15573.18,25183,0.62
2bundesliga,1995,vflwolfsburg,4983.06,8700,0.57
2bundesliga,1996,1fckaiserslautern,36707.76,38000,0.97
2bundesliga,1996,1fsvmainz05,7126.29,13551,0.53
2bundesliga,1996,fccarlzeissjena,5569.29,9065,0.61
2bundesliga,1996,fcgutersloh19782000,6070.59,13000,0.47
2bundesliga,1996,fsvzwickau,6393.88,11980,0.53
2bundesliga,1996,herthaberlim,17530.24,75000,0.23
2bundesliga,1996,kfcuerdingen05,5316.47,10000,0.53
2bundesliga,1996,rotweissessen,7454.59,20200,0.37
2bundesliga,1996,scfortunakoln,3182.35,8500,0.37
2bundesliga,1996,sgeintrachtfrankfurt,16235.29,38000,0.43
2bundesliga,1996,spvggunterhaching,3000.00,7900,0.38
2bundesliga,1996,stuttgarterkickers,5026.41,27000,0.19
2bundesliga,1996,svmeppen,8525.88,16000,0.53
2bundesliga,1996,svwaldhofmannheim,7582.35,27000,0.28
2bundesliga,1996,vfbleipzig,5070.59,9300,0.55
2bundesliga,1996,vfblubeck,8773.53,15100,0.58
2bundesliga,1996,vfboldenburg,4969.12,12000,0.41
2bundesliga,1996,vflwolfsburg,6089.76,15300,0.40
2bundesliga,1997,1fcnuremberg,24788.24,46700,0.53
2bundesliga,1997,1fsvmainz05,7960.41,14638,0.54
2bundesliga,1997,fccarlzeissjena,4468.65,7973,0.56
2bundesliga,1997,fcenergiecottbus,8572.29,13719,0.62
2bundesliga,1997,fcgutersloh19782000,8470.59,13000,0.65
2bundesliga,1997,fcstpauli,16192.24,19900,0.81
2bundesliga,1997,fortunadusseldorf95,12123.53,25000,0.48
2bundesliga,1997,fsvzwickau,4171.24,6930,0.60
2bundesliga,1997,kfcuerdingen05,4834.47,10647,0.45
2bundesliga,1997,scfortunakoln,3200.00,8000,0.40
2bundesliga,1997,scfreiburg,18570.59,22500,0.83
2bundesliga,1997,sgeintrachtfrankfurt,23595.59,45000,0.52
2bundesliga,1997,sgwattenscheid09,3171.88,5824,0.54
2bundesliga,1997,spvgggreutherfurth,8358.82,25000,0.33
2bundesliga,1997,spvggunterhaching,2955.88,8000,0.37
2bundesliga,1997,stuttgarterkickers,4019.65,9474,0.42
2bundesliga,1997,svmeppen,5958.82,10300,0.58
2bundesliga,1997,vfbleipzig,5688.24,10400,0.55
2bundesliga,1998,1fccolonia,14488.24,32000,0.45
2bundesliga,1998,1fsvmainz05,7254.71,14730,0.49
2bundesliga,1998,arminiabielefeld,12116.59,22512,0.54
2bundesliga,1998,fcenergiecottbus,7645.82,11746,0.65
2bundesliga,1998,fcgutersloh19782000,7235.29,12500,0.58
2bundesliga,1998,fcstpauli,13421.53,15502,0.87
2bundesliga,1998,fortunadusseldorf95,8888.24,18000,0.49
2bundesliga,1998,hannover96,19228.76,48000,0.40
2bundesliga,1998,karlsruhersc,16082.35,24600,0.65
2bundesliga,1998,kfcuerdingen05,4275.41,10404,0.41
2bundesliga,1998,rotweioberhausen,4462.41,8163,0.55
2bundesliga,1998,scfortunakoln,6770.59,41000,0.17
2bundesliga,1998,sgwattenscheid09,2696.65,4821,0.56
2bundesliga,1998,spvgggreutherfurth,6927.76,9500,0.73
2bundesliga,1998,spvggunterhaching,3711.76,8200,0.45
2bundesliga,1998,ssvulm1846,11205.88,19000,0.59
2bundesliga,1998,stuttgarterkickers,4039.94,8421,0.48
2bundesliga,1998,tennisborussiaberlin,4458.88,10800,0.41
2bundesliga,1999,1fccolonia,28852.94,42500,0.68
2bundesliga,1999,1fcnuremberg,19897.41,43956,0.45
2bundesliga,1999,1fsvmainz05,7514.65,15600,0.48
2bundesliga,1999,alemanniaaachen,17911.06,22500,0.80
2bundesliga,1999,borussiamonchengladbach,22679.41,34000,0.67
2bundesliga,1999,chemnitzerfc,7901.53,12585,0.63
2bundesliga,1999,fcenergiecottbus,10479.35,20400,0.51
2bundesliga,1999,fcstpauli,14298.59,20751,0.69
2bundesliga,1999,hannover96,12629.35,36092,0.35
2bundesliga,1999,karlsruhersc,10591.18,21500,0.49
2bundesliga,1999,kickersoffenbach,15500.00,23500,0.66
2bundesliga,1999,rotweioberhausen,5152.47,17000,0.30
2bundesliga,1999,scfortunakoln,5368.71,34000,0.16
2bundesliga,1999,spvgggreutherfurth,7505.71,21000,0.36
2bundesliga,1999,stuttgarterkickers,4856.18,9185,0.53
2bundesliga,1999,svwaldhofmannheim,8985.29,19000,0.47
2bundesliga,1999,tennisborussiaberlin,3571.35,9621,0.37
2bundesliga,1999,vflbochum,16075.59,33063,0.49
2bundesliga,2000,1fcnuremberg,22417.65,44600,0.50
2bundesliga,2000,1fcsaarbrucken,10800.00,21700,0.50
2bundesliga,2000,1fsvmainz05,6042.35,11834,0.51
2bundesliga,2000,alemanniaaachen,12723.53,22500,0.57
2bundesliga,2000,arminiabielefeld,11513.41,21258,0.54
2bundesliga,2000,borussiamonchengladbach,23457.71,34500,0.68
2bundesliga,2000,chemnitzerfc,4625.94,7020,0.66
2bundesliga,2000,fcstpauli,17545.24,20735,0.85
2bundesliga,2000,hannover96,10881.12,22335,0.49
2bundesliga,2000,lrahlen,7295.76,11000,0.66
2bundesliga,2000,msvduisburg,7881.00,14253,0.55
2bundesliga,2000,rotweioberhausen,5180.82,13200,0.39
2bundesliga,2000,spvgggreutherfurth,8190.76,35100,0.23
2bundesliga,2000,ssvreutlingen05,8006.88,12740,0.63
2bundesliga,2000,ssvulm1846,7294.12,18000,0.41
2bundesliga,2000,stuttgarterkickers,5311.88,8751,0.61
2bundesliga,2000,svwaldhofmannheim,8670.59,23500,0.37
2bundesliga,2000,vflosnabruck,11396.41,20000,0.57
2bundesliga,2001,1fcsaarbrucken,5970.59,18000,0.33
2bundesliga,2001,1fcschweinfurt05,5708.29,11153,0.51
2bundesliga,2001,1fcunionberlim,9361.41,14532,0.64
2bundesliga,2001,1fsvmainz05,9866.88,15500,0.64
2bundesliga,2001,alemanniaaachen,11654.47,16800,0.69
2bundesliga,2001,arminiabielefeld,13311.82,26601,0.50
2bundesliga,2001,hannover96,20633.76,41519,0.50
2bundesliga,2001,karlsruhersc,11800.00,16000,0.74
2bundesliga,2001,lrahlen,5968.12,8818,0.68
2bundesliga,2001,msvduisburg,7817.88,12004,0.65
2bundesliga,2001,rotweioberhausen,4761.82,8417,0.57
2bundesliga,2001,sgeintrachtfrankfurt,14151.47,21500,0.66
2bundesliga,2001,spvgggreutherfurth,7117.29,11500,0.62
2bundesliga,2001,spvggunterhaching,4947.06,9000,0.55
2bundesliga,2001,ssvreutlingen05,6280.47,10137,0.62
2bundesliga,2001,svbabelsberg03,4538.94,14700,0.31
2bundesliga,2001,svwaldhofmannheim,6327.65,17000,0.37
2bundesliga,2001,vflbochum,12554.82,17523,0.72
2bundesliga,2002,1fccolonia,26400.00,30500,0.87
2bundesliga,2002,1fcunionberlim,8397.06,15011,0.56
2bundesliga,2002,1fsvmainz05,12936.00,18700,0.69
2bundesliga,2002,alemanniaaachen,11676.00,20800,0.56
2bundesliga,2002,eintrachtbraunschweigtsv,14593.35,23500,0.62
2bundesliga,2002,fcstpauli,19101.94,20629,0.93
2bundesliga,2002,karlsruhersc,11447.06,24500,0.47
2bundesliga,2002,lrahlen,5939.88,11000,0.54
2bundesliga,2002,msvduisburg,7536.18,16348,0.46
2bundesliga,2002,rotweioberhausen,5808.71,19135,0.30
2bundesliga,2002,scfreiburg,21029.41,24000,0.88
2bundesliga,2002,sgeintrachtfrankfurt,16582.35,25000,0.66
2bundesliga,2002,spvgggreutherfurth,6792.59,15031,0.45
2bundesliga,2002,ssvreutlingen05,6595.00,9766,0.68
2bundesliga,2002,sveintrachttrier05,7363.53,13500,0.55
2bundesliga,2002,svwackerburghausen,4650.00,8700,0.53
2bundesliga,2002,svwaldhofmannheim,5506.47,10150,0.54
2bundesliga,2002,vfblubeck,8233.47,17869,0.46
2bundesliga,2003,1fcnuremberg,16359.24,38200,0.43
2bundesliga,2003,1fcunionberlim,7657.71,14191,0.54
2bundesliga,2003,1fsvmainz05,14808.82,18700,0.79
2bundesliga,2003,alemanniaaachen,14024.24,21500,0.65
2bundesliga,2003,arminiabielefeld,13646.88,26601,0.51
2bundesliga,2003,fcenergiecottbus,12203.53,15700,0.78
2bundesliga,2003,fcerzgebirgeaue,11141.00,16500,0.68
2bundesliga,2003,jahnregensburg,7924.65,11200,0.71
2bundesliga,2003,karlsruhersc,12452.94,32000,0.39
2bundesliga,2003,lrahlen,5288.59,9987,0.53
2bundesliga,2003,msvduisburg,9466.12,12400,0.76
2bundesliga,2003,rotweioberhausen,6141.12,14100,0.44
2bundesliga,2003,spvgggreutherfurth,7660.53,14500,0.53
2bundesliga,2003,spvggunterhaching,4564.71,8000,0.57
2bundesliga,2003,sveintrachttrier05,6159.47,9600,0.64
2bundesliga,2003,svwackerburghausen,4644.12,8100,0.57
2bundesliga,2003,vfblubeck,7532.35,13800,0.55
2bundesliga,2003,vflosnabruck,10720.59,16250,0.66
2bundesliga,2004,1fccolonia,38834.94,50997,0.76
2bundesliga,2004,1fcsaarbrucken,9764.71,21500,0.45
2bundesliga,2004,alemanniaaachen,19080.12,21402,0.89
2bundesliga,2004,fcenergiecottbus,10159.71,18200,0.56
2bundesliga,2004,fcerzgebirgeaue,12817.94,16500,0.78
2bundesliga,2004,karlsruhersc,13582.35,21700,0.63
2bundesliga,2004,lrahlen,5221.59,10680,0.49
2bundesliga,2004,msvduisburg,16817.88,30700,0.55
2bundesliga,2004,rotweierfurt,11868.29,19500,0.61
2bundesliga,2004,rotweioberhausen,5593.65,14605,0.38
2bundesliga,2004,rotweissessen,14175.94,20650,0.69
2bundesliga,2004,sgdynamodresden,16362.94,23940,0.68
2bundesliga,2004,sgeintrachtfrankfurt,23866.00,42772,0.56
2bundesliga,2004,spvgggreutherfurth,8953.24,15500,0.58
2bundesliga,2004,spvggunterhaching,4691.35,15053,0.31
2bundesliga,2004,sveintrachttrier05,6738.82,10256,0.66
2bundesliga,2004,svwackerburghausen,5523.18,9900,0.56
2bundesliga,2004,tsv1860munique,20139.76,40200,0.50
2bundesliga,2005,1fcsaarbrucken,8111.76,17500,0.46
2bundesliga,2005,alemanniaaachen,19089.94,21632,0.88
2bundesliga,2005,eintrachtbraunschweigtsv,18167.06,22100,0.82
2bundesliga,2005,fcenergiecottbus,11103.82,22450,0.49
2bundesliga,2005,fcerzgebirgeaue,11535.29,17000,0.68
2bundesliga,2005,fchansarostock,15058.82,26000,0.58
2bundesliga,2005,karlsruhersc,17037.12,32331,0.53
2bundesliga,2005,kickersoffenbach,10246.00,16739,0.61
2bundesliga,2005,lrahlen,4592.12,8698,0.53
2bundesliga,2005,scfreiburg,13876.47,20000,0.69
2bundesliga,2005,scpaderborn07,6565.71,9322,0.70
2bundesliga,2005,sgdynamodresden,15614.18,22389,0.70
2bundesliga,2005,sportfreundesiegen,9183.35,17745,0.52
2bundesliga,2005,spvgggreutherfurth,7088.24,10900,0.65
2bundesliga,2005,spvggunterhaching,4670.59,13000,0.36
2bundesliga,2005,svwackerburghausen,4764.35,8714,0.55
2bundesliga,2005,tsv1860munique,41673.06,66000,0.63
2bundesliga,2005,vflbochum,18324.82,25374,0.72
2bundesliga,2006,1fccolonia,41870.59,49500,0.85
2bundesliga,2006,1fckaiserslautern,31690.53,48000,0.66
2bundesliga,2006,eintrachtbraunschweigtsv,15735.29,21500,0.73
2bundesliga,2006,fcaugsburg,16520.76,28000,0.59
2bundesliga,2006,fccarlzeissjena,8615.82,12500,0.69
2bundesliga,2006,fcerzgebirgeaue,11479.41,16000,0.72
2bundesliga,2006,fchansarostock,19494.12,29000,0.67
2bundesliga,2006,karlsruhersc,24846.47,32306,0.77
2bundesliga,2006,kickersoffenbach,11026.12,18100,0.61
2bundesliga,2006,msvduisburg,18028.35,31500,0.57
2bundesliga,2006,rotweissessen,13435.88,17052,0.79
2bundesliga,2006,scfreiburg,16323.53,24000,0.68
2bundesliga,2006,scpaderborn07,6138.00,10165,0.60
2bundesliga,2006,spvgggreutherfurth,7914.71,14000,0.57
2bundesliga,2006,spvggunterhaching,5152.94,15000,0.34
2bundesliga,2006,svwackerburghausen,5795.29,11000,0.53
2bundesliga,2006,tsv1860munique,36229.41,69000,0.53
2bundesliga,2006,tuskoblenz,10479.82,15000,0.70
2bundesliga,2007,1fccolonia,43990.65,50374,0.87
2bundesliga,2007,1fckaiserslautern,28049.65,48500,0.58
2bundesliga,2007,1fsvmainz05,19947.06,20300,0.98
2bundesliga,2007,alemanniaaachen,19556.24,21200,0.92
2bundesliga,2007,borussiamonchengladbach,40334.94,54067,0.75
2bundesliga,2007,fcaugsburg,17204.88,28000,0.61
2bundesliga,2007,fccarlzeissjena,9197.35,13486,0.68
2bundesliga,2007,fcerzgebirgeaue,10544.12,13600,0.78
2bundesliga,2007,fcstpauli,18512.18,22717,0.81
2bundesliga,2007,kickersoffenbach,11566.41,19051,0.61
2bundesliga,2007,scfreiburg,16082.35,24000,0.67
2bundesliga,2007,scpaderborn07,6353.06,12000,0.53
2bundesliga,2007,spvgggreutherfurth,8764.71,13000,0.67
2bundesliga,2007,svwehenwiesbaden,8977.29,12566,0.71
2bundesliga,2007,tsg1899hoffenheim,6028.06,6950,0.87
2bundesliga,2007,tsv1860munique,35023.53,60000,0.58
2bundesliga,2007,tuskoblenz,11254.94,15000,0.75
2bundesliga,2007,vflosnabruck,14414.71,17100,0.84
2bundesliga,2008,1fckaiserslautern,34412.24,46360,0.74
2bundesliga,2008,1fcnuremberg,33083.59,46780,0.71
2bundesliga,2008,1fsvmainz05,19605.88,20300,0.97
2bundesliga,2008,alemanniaaachen,19471.18,21200,0.92
2bundesliga,2008,fcaugsburg,15574.12,28000,0.56
2bundesliga,2008,fchansarostock,14782.35,27000,0.55
2bundesliga,2008,fcingolstadt04,5634.24,11418,0.49
2bundesliga,2008,fcstpauli,22342.47,23201,0.96
2bundesliga,2008,fsvfrankfurt,7225.41,16112,0.45
2bundesliga,2008,msvduisburg,14760.35,21069,0.70
2bundesliga,2008,rotweioberhausen,6953.00,16000,0.43
2bundesliga,2008,rotweissahlen,4836.53,7583,0.64
2bundesliga,2008,scfreiburg,16429.41,24000,0.68
2bundesliga,2008,spvgggreutherfurth,8445.29,15700,0.54
2bundesliga,2008,svwehenwiesbaden,7812.53,11721,0.67
2bundesliga,2008,tsv1860munique,28135.29,57200,0.49
2bundesliga,2008,tuskoblenz,9628.00,15000,0.64
2bundesliga,2008,vflosnabruck,14254.47,16250,0.88
