league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
campeonatobrasileiroseriea,-0.06752506265664165,3037.0,0.022965847436311065,1.6389175245494183,35,228,0.4585714285714286,0.5260964912280702
campeonatobrasileiroserieb,0.04674688057040993,3940.0,0.10561033082333676,0.9762935969525804,36,187,0.4516666666666666,0.4049197860962567
2bundesliga,-0.03267568844304902,15945.0,0.08412621970698954,1.0750686260883227,97,371,0.5972164948453608,0.6298921832884098
ligaportugal,0.03165095773791421,10940.5,0.1665349683359174,0.778494561191817,66,299,0.5118181818181817,0.4801672240802675
jupilerproleague,0.03136111111111106,3117.0,0.1387162919125219,0.8578725290334802,40,135,0.77425,0.7428888888888889
ligue1,-0.030467511069920516,17141.5,0.0880058526560792,1.0554884449893782,83,468,0.6766265060240965,0.707094017094017
challengerproleague,-0.026026666666666698,1808.0,0.27701880785908517,0.5574907440325642,33,125,0.4633333333333333,0.48936
j2league,0.023678844519965936,5351.0,0.15392059299457633,0.8127032721398367,44,214,0.5454545454545454,0.5217757009345795
bundesliga,-0.023226178550830423,15025.5,0.21544297059001338,0.6666676713772898,79,417,0.8043037974683543,0.8275299760191848
ligue2,0.021634730538922176,12663.0,0.2734741823988691,0.5630836673961859,70,334,0.584,0.5623652694610778
laliga2,0.017954660801894784,6384.0,0.3877330594159717,0.4114671680156713,46,257,0.6460869565217392,0.6281322957198444
championship,0.014489795918367299,9760.5,0.18800293779360355,0.7258353642598181,49,357,0.8073469387755102,0.7928571428571429
ligaportugal2,-0.009907834101382407,4369.0,0.6729828302398241,0.17199601575703463,42,217,0.4742857142857143,0.4841935483870967
saudiproleague,-0.004428571428571393,650.5,0.6341349789606396,0.1978182904171901,20,70,0.36700000000000005,0.37142857142857144
j1league,0.002804195804195553,5884.0,0.7444438705609464,0.12816804153115408,55,208,0.6147272727272725,0.6119230769230769
premierleague,-0.002324461803978717,21862.0,0.9113845670136144,0.04029832984351354,101,436,0.922079207920792,0.9244036697247707
laliga,0.0017286287574770354,6753.0,0.8042877474141162,0.09458854732502257,47,281,0.7742553191489361,0.772526690391459
