league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
campeonatobrasileiroseriea,0.05390350877192973,5197.0,0.02360424595641905,1.6270098686577181,37,228,0.58,0.5260964912280702
j1league,0.04445990180032733,5746.0,0.060361576681669755,1.2192394247081468,47,208,0.6563829787234042,0.6119230769230769
saudiproleague,-0.04142857142857148,546.5,0.39017131044858033,0.4087446677245455,18,70,0.32999999999999996,0.37142857142857144
bundesliga,-0.03118851260455069,15656.5,0.2271661540460831,0.6436563745718987,82,417,0.7963414634146341,0.8275299760191848
ligaportugal,-0.02842809364548493,9488.0,0.29900705647792003,0.5243185623335624,69,299,0.4517391304347826,0.4801672240802675
2bundesliga,-0.02789218328840981,16862.5,0.16248110312870767,0.7891971410490629,100,371,0.602,0.6298921832884098
ligue2,0.02715085957118002,11457.0,0.18274614042214088,0.7381517865236837,62,334,0.5895161290322578,0.5623652694610778
j2league,0.024270810693327483,5120.0,0.24351960613278123,0.6134660673343654,43,214,0.546046511627907,0.5217757009345795
premierleague,-0.024178950623647277,17550.0,0.15350504054873979,0.8138773592971381,89,436,0.9002247191011234,0.9244036697247707
jupilerproleague,-0.023429429429429494,2262.5,0.3819740559540211,0.4179661337863097,37,135,0.7194594594594594,0.7428888888888889
challengerproleague,0.020345882352941103,2281.5,0.5120306096530136,0.2907040757311281,34,125,0.5097058823529411,0.48936
campeonatobrasileiroserieb,-0.015190056366526872,3271.0,0.6015812788230515,0.22070568742697366,37,187,0.3897297297297298,0.4049197860962567
ligaportugal2,0.010806451612903334,4909.0,0.7682425483121467,0.1145016435578981,44,217,0.49500000000000005,0.4841935483870967
championship,-0.010257142857142965,8062.0,0.26796522391078925,0.5719215643429629,50,357,0.7826,0.7928571428571429
laliga2,0.008806479790359645,6663.5,0.5183219116425919,0.285400431321917,49,257,0.6369387755102041,0.6281322957198444
ligue1,-0.005094017094017023,21946.0,0.8444861771085759,0.07340745474258843,95,468,0.702,0.707094017094017
laliga,-0.0021420750068436023,7010.0,0.6428518344721742,0.19188911243507475,52,281,0.7703846153846154,0.772526690391459
