league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
campeonatobrasileiroseriea,-0.07362312030075191,1598.0,0.09455437295657267,1.0243183810760286,16,266,0.45062500000000005,0.524248120300752
jupilerproleague,0.06339218833600868,2460.5,0.01784499075008324,1.748483672823975,21,178,0.8023809523809524,0.7389887640449437
ligue1,-0.05902198455139607,9992.5,0.01994424299535371,1.700182443143555,45,561,0.6508888888888891,0.7099108734402851
ligaportugal2,-0.055400557297108965,2206.5,0.0715853693751895,1.1451757297716598,22,261,0.4331818181818182,0.4885823754789272
ligaportugal,0.04957485974754555,6678.0,0.11432083930108926,0.9418745957767984,31,368,0.5316129032258065,0.4820380434782609
campeonatobrasileiroserieb,0.0477144337911376,2230.0,0.28503140742923716,0.5451072827224183,17,227,0.4535294117647059,0.4058149779735683
j2league,0.04307017543859648,1922.0,0.23196280795921864,0.6345816426647559,12,266,0.5683333333333334,0.5252631578947369
championship,0.026887835703001572,3133.5,0.16045873531222188,0.7946366350992964,12,422,0.8183333333333334,0.7914454976303318
2bundesliga,-0.025511982570806113,11856.5,0.3438361891018301,0.46364841531592327,56,459,0.6,0.6255119825708061
j1league,-0.0254278215223096,3501.5,0.4689684787449536,0.32885634698040156,30,254,0.5936666666666668,0.6190944881889764
saudiproleague,-0.015476190476190366,465.5,0.6735623356495237,0.17162220576747164,12,84,0.3558333333333334,0.37130952380952376
challengerproleague,-0.014077568134171936,1385.0,0.8251423850190822,0.08347110394395914,18,159,0.47277777777777774,0.4868553459119497
laliga,0.012194767441860432,3076.0,0.4262670222410041,0.3703182648493484,16,344,0.7831250000000001,0.7709302325581396
laliga2,0.011157556270096514,2972.0,0.6600687792830339,0.18041080853876307,18,311,0.64,0.6288424437299035
bundesliga,-0.010582555178268116,9167.0,0.7794152156996486,0.10823112018831973,38,496,0.8105263157894738,0.8211088709677419
premierleague,-0.005431284916201262,13110.5,0.7830735992838058,0.10619741768575824,50,537,0.9181999999999999,0.9236312849162012
ligue2,0.0044085658882050405,6151.5,0.7377528771141002,0.13208908814810988,29,409,0.5710344827586207,0.5666259168704156
