position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,RSC Anderlecht,34,24,5,5,75:30,45,77,https://www.transfermarkt.com.br/rsc-anderlecht/spielplan/verein/58/saison_id/2008
2,Standard de Liège,34,24,5,5,66:26,40,77,https://www.transfermarkt.com.br/standard-luttich/spielplan/verein/3057/saison_id/2008
3,KAA Gent,34,17,8,9,67:42,25,59,https://www.transfermarkt.com.br/kaa-gent/spielplan/verein/157/saison_id/2008
4,Club Brugge,34,18,5,11,59:50,9,59,https://www.transfermarkt.com.br/fc-brugge/spielplan/verein/2282/saison_id/2008
5,Zulte Waregem,34,16,7,11,55:36,19,55,https://www.transfermarkt.com.br/sv-zulte-waregem/spielplan/verein/3508/saison_id/2008
6,KVC Westerlo,34,15,7,12,42:38,4,52,https://www.transfermarkt.com.br/kvc-westerlo/spielplan/verein/968/saison_id/2008
7,KSC Lokeren (-2020),34,13,12,9,40:32,8,51,https://www.transfermarkt.com.br/ksc-lokeren/spielplan/verein/498/saison_id/2008
8,KRC Genk,34,15,5,14,48:51,-3,50,https://www.transfermarkt.com.br/krc-genk/spielplan/verein/1184/saison_id/2008
9,Cercle Brügge,34,14,5,15,48:53,-5,47,https://www.transfermarkt.com.br/cercle-brugge/spielplan/verein/520/saison_id/2008
10,KV Mechelen,34,12,10,12,46:52,-6,46,https://www.transfermarkt.com.br/kv-mechelen/spielplan/verein/354/saison_id/2008
11,Excelsior Mouscron (-2009),34,12,8,14,42:49,-7,44,https://www.transfermarkt.com.br/excelsior-mouscron/spielplan/verein/1433/saison_id/2008
12,R Charleroi SC,34,12,7,15,43:48,-5,43,https://www.transfermarkt.com.br/rsc-charleroi/spielplan/verein/172/saison_id/2008
13,Germinal Beerschot Antwerpen,34,11,9,14,44:42,2,42,https://www.transfermarkt.com.br/beerschot-ac/spielplan/verein/566/saison_id/2008
14,KV Kortrijk,34,9,11,14,37:55,-18,38,https://www.transfermarkt.com.br/kv-kortrijk/spielplan/verein/601/saison_id/2008
15,FCV Dender EH,34,9,8,17,44:58,-14,35,https://www.transfermarkt.com.br/fcv-dender-eh/spielplan/verein/9010/saison_id/2008
16,KSV Roeselare (-2020),34,8,6,20,33:59,-26,30,https://www.transfermarkt.com.br/ksv-roeselare/spielplan/verein/2977/saison_id/2008
17,AFC Tubize,34,7,6,21,35:77,-42,27,https://www.transfermarkt.com.br/afc-tubize/spielplan/verein/3772/saison_id/2008
18,RAEC Mons (-2015),34,3,10,21,31:57,-26,19,https://www.transfermarkt.com.br/raec-mons/spielplan/verein/1411/saison_id/2008
