round,g_type,n_samples,mean_occupancy,std_occupancy,ci_lower,ci_upper
1,balanced,1956,0.6794543373737518,0.25945872813518256,0.6679558706960359,0.6909528040514678
1,unbalanced_weak,646,0.6611797696804143,0.2590862488269288,0.6412002899238802,0.6811592494369483
1,unbalanced_strong,640,0.6975601999934615,0.2503990725245318,0.6781603308607669,0.7169600691261562
2,balanced,1937,0.6699068552181844,0.25742128192790326,0.6584428675634173,0.6813708428729515
2,unbalanced_weak,668,0.6357359504045933,0.2519068790691079,0.6166326736496267,0.6548392271595599
2,unbalanced_strong,640,0.6650419249754734,0.2619355405192326,0.644748258724865,0.6853355912260819
3,balanced,1989,0.6477375284610154,0.2557869751606109,0.636496213763404,0.6589788431586268
3,unbalanced_weak,631,0.6291175594180123,0.25508142540476786,0.6092144822472504,0.6490206365887742
3,unbalanced_strong,623,0.653418182694018,0.24709078597207923,0.6340151954185255,0.6728211699695105
4,balanced,1929,0.6467694914394629,0.2588173450278285,0.635219455505327,0.6583195273735989
4,unbalanced_weak,670,0.634891693396442,0.2549241904604521,0.6155884752433096,0.6541949115495744
4,unbalanced_strong,644,0.6507935013808702,0.25992650900773756,0.6307181242934431,0.6708688784682973
5,balanced,1949,0.6365194324688266,0.25914411098108875,0.625014303381831,0.6480245615558222
5,unbalanced_weak,660,0.623392104511151,0.2598823310726784,0.6035649287172121,0.6432192803050899
5,unbalanced_strong,634,0.6322075606177522,0.25927632400919265,0.6120250911986144,0.65239003003689
6,balanced,1968,0.6441852017675808,0.2606541081949545,0.632669030936556,0.6557013725986055
6,unbalanced_weak,639,0.6299999508169489,0.24761523381349645,0.6108007565887053,0.6491991450451926
6,unbalanced_strong,637,0.638937369969953,0.26479115964744315,0.618374210819833,0.659500529120073
7,balanced,1923,0.6405092040601431,0.2636610541797367,0.6287246700694727,0.6522937380508135
7,unbalanced_weak,692,0.6208300850484808,0.2620337776827116,0.6013064670256912,0.6403537030712704
7,unbalanced_strong,628,0.6180686687142423,0.26472631565634586,0.5973637578653632,0.6387735795631213
8,balanced,1968,0.6418142294011294,0.2618425580275963,0.6302455507029101,0.6533829080993487
8,unbalanced_weak,621,0.6353721697479263,0.2573956822445683,0.6151274612066905,0.6556168782891622
8,unbalanced_strong,656,0.6350394071210334,0.263060364854184,0.6149086749973305,0.6551701392447362
9,balanced,1934,0.6531382201524119,0.2633585356787701,0.6414007301524736,0.6648757101523501
9,unbalanced_weak,695,0.6336567521144536,0.26150245159774443,0.6142148194875362,0.653098684741371
9,unbalanced_strong,613,0.6324175394666556,0.26063219619647077,0.6117849423643752,0.653050136568936
10,balanced,1980,0.6510869027981845,0.25899194472126086,0.6396788970088539,0.662494908587515
10,unbalanced_weak,594,0.6509432783704485,0.24882626200393046,0.6309327265883283,0.6709538301525687
10,unbalanced_strong,674,0.6231886783786384,0.2605864470029135,0.6035153451755039,0.642862011581773
11,balanced,1920,0.6502096376861015,0.2637266185178624,0.6384129678846634,0.6620063074875396
11,unbalanced_weak,703,0.6431103710445125,0.25953708691863464,0.6239246628580829,0.6622960792309421
11,unbalanced_strong,615,0.6353517351035062,0.2643001321628478,0.6144628195707355,0.6562406506362769
12,balanced,1975,0.6466696012051967,0.26320098217424887,0.6350615309753979,0.6582776714349955
12,unbalanced_weak,606,0.653395719472626,0.25761818437593964,0.6328842736433873,0.6739071653018647
12,unbalanced_strong,663,0.6330565149731916,0.2639981610859833,0.6129609505411853,0.6531520794051979
13,balanced,1940,0.6567152376215449,0.26511627108989144,0.6449176940747116,0.6685127811683783
13,unbalanced_weak,687,0.6454363379288703,0.2594969063714687,0.6260315059104746,0.664841169947266
13,unbalanced_strong,617,0.6270269641384554,0.2567467812453384,0.6067679411601431,0.6472859871167677
14,balanced,1973,0.6320682268978803,0.26189177383242357,0.6205120445534748,0.6436244092422859
14,unbalanced_weak,616,0.6599327387229788,0.2567194680624443,0.6396594353406232,0.6802060421053343
14,unbalanced_strong,654,0.6272281868600855,0.2633320322600404,0.607045876146367,0.6474104975738041
15,balanced,1955,0.6483634184308675,0.26044974528849174,0.6368180810758441,0.6599087557858909
15,unbalanced_weak,665,0.638943848850669,0.26833713246832525,0.618548740204945,0.659338957496393
15,unbalanced_strong,624,0.6073976450976171,0.259978218944581,0.5869990273053431,0.627796262889891
16,balanced,1936,0.6340173720123622,0.2662082948362928,0.6221590025151091,0.6458757415096152
16,unbalanced_weak,659,0.655711612613222,0.25942768354697165,0.6359041118252226,0.6755191134012214
16,unbalanced_strong,647,0.6075002924687005,0.25839453928351386,0.5875895588354508,0.6274110261019502
17,balanced,1965,0.6404827823695316,0.2606546912982079,0.628957798138963,0.6520077666001002
17,unbalanced_weak,647,0.6282062579640643,0.2702620333088791,0.6073810680381683,0.6490314478899603
17,unbalanced_strong,633,0.6074650308459935,0.26158503548283707,0.5870867702351122,0.6278432914568747
18,balanced,1915,0.6372573055684931,0.26647345589658145,0.6253222172652785,0.6491923938717078
18,unbalanced_weak,679,0.6243008903846335,0.2575750408500279,0.6049266376126405,0.6436751431566266
18,unbalanced_strong,648,0.6202802637833642,0.263203952698039,0.6000145933620166,0.6405459342047118
19,balanced,1982,0.6432689722570257,0.2631174155047123,0.6316850978328115,0.65485284668124
19,unbalanced_weak,624,0.6277643153422889,0.2678506037356351,0.606748008233124,0.6487806224514538
19,unbalanced_strong,639,0.6323348482430857,0.2518733563412432,0.6128054945161763,0.6518642019699952
20,balanced,1941,0.6354017050667433,0.2622647031668414,0.6237340616258416,0.6470693485076451
20,unbalanced_weak,659,0.6209664484720541,0.25958246197727525,0.6011471302332788,0.6407857667108293
20,unbalanced_strong,643,0.620437487692605,0.2679482529767447,0.5997264664226185,0.6411485089625915
21,balanced,1957,0.6346365654197649,0.26153023887771565,0.6230492569396765,0.6462238738998533
21,unbalanced_weak,644,0.6278674521478679,0.2581835364300743,0.6079266932334129,0.6478082110623229
21,unbalanced_strong,643,0.6415957441827971,0.2670477486163944,0.6209543272664637,0.6622371610991304
22,balanced,1950,0.6358294551379738,0.2617150916318013,0.6242131628184193,0.6474457474575284
22,unbalanced_weak,669,0.6301798078784545,0.2598188809073529,0.6104912584483352,0.6498683573085738
22,unbalanced_strong,625,0.6428552332675428,0.26719363975353577,0.6219072519108656,0.66380321462422
