league_name,n_teams,n_G_plus,n_G_minus,n_G_0,pct_G_plus,pct_G_minus,pct_G_0,threshold
saudiproleague,108,16,18,74,14.81,16.67,68.52,G: 0.300
2bundesliga,568,73,75,420,12.85,13.2,73.94,G: 0.300
challengerproleague,192,25,21,146,13.02,10.94,76.04,G: 0.300
j1league,310,33,41,236,10.65,13.23,76.13,G: 0.300
jupilerproleague,212,22,28,162,10.38,13.21,76.42,G: 0.300
bundesliga,578,65,56,457,11.25,9.69,79.07,G: 0.300
campeonatobrasileiroserieb,260,26,27,207,10.0,10.38,79.62,G: 0.300
ligaportugal,434,43,43,348,9.91,9.91,80.18,G: 0.300
premierleague,626,59,65,502,9.42,10.38,80.19,G: 0.300
ligue1,646,61,66,519,9.44,10.22,80.34,G: 0.300
seriea,524,45,56,423,8.59,10.69,80.73,G: 0.300
ligaportugal2,304,31,26,247,10.2,8.55,81.25,G: 0.300
j2league,301,30,26,245,9.97,8.64,81.4,G: 0.300
ligue2,468,41,44,383,8.76,9.4,81.84,G: 0.300
laliga2,352,35,28,289,9.94,7.95,82.1,G: 0.300
laliga,380,37,28,315,9.74,7.37,82.89,G: 0.300
serieb,451,39,38,374,8.65,8.43,82.93,G: 0.300
campeonatobrasileiroseriea,300,25,22,253,8.33,7.33,84.33,G: 0.300
superlig,95,4,10,81,4.21,10.53,85.26,G: 0.300
championship,456,30,34,392,6.58,7.46,85.96,G: 0.300
