league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
jupilerproleague,0.13486734693877545,1571.0,0.0013145280464952286,2.8812301434426137,10,196,0.874,0.7391326530612246
ligaportugal2,-0.07077472527472528,1312.0,0.08914769740085783,1.0498898697518455,13,280,0.41615384615384615,0.48692857142857143
campeonatobrasileiroseriea,-0.06960844209941686,1311.5,0.09820661945730008,1.0078592383139562,13,277,0.45461538461538453,0.5242238267148014
championship,0.06145454545454554,1519.0,0.14309104628158814,0.8443875407486549,5,440,0.852,0.7905454545454544
ligue1,-0.05847959183673457,7110.0,0.07305596414159927,1.136344323356599,30,588,0.6496666666666667,0.7081462585034013
j1league,-0.04759661835748785,2085.5,0.2546542779634585,0.5940490236687642,18,276,0.5722222222222223,0.6198188405797102
ligue2,-0.047245424078370735,3204.0,0.21098403629994655,0.6757504035133092,18,431,0.5227777777777778,0.5700232018561485
j2league,0.03928571428571426,1294.5,0.4535900241524641,0.3433365054890009,8,280,0.5675,0.5282142857142857
saudiproleague,-0.03765567765567779,311.5,0.23995393902347817,0.6198721164041191,9,91,0.3333333333333333,0.3709890109890111
challengerproleague,-0.037400000000000044,732.0,0.3866961774220796,0.4126301210034869,10,175,0.45099999999999996,0.4884
laliga,0.03267605633802795,2081.0,0.35283434257925195,0.4524291501082851,10,355,0.8039999999999999,0.771323943661972
ligaportugal,0.029573355033713222,4544.5,0.6554734502866011,0.18344489455748092,22,391,0.5113636363636365,0.48179028132992324
laliga2,0.027698948948948976,1559.0,0.41089168271012355,0.38627264965965746,8,333,0.65875,0.631051051051051
2bundesliga,-0.027609311740890652,9169.5,0.4492960634904082,0.3474673864634692,40,494,0.5965,0.6241093117408907
campeonatobrasileiroserieb,0.01613541270445029,1407.5,0.6931586323816759,0.15916736382374838,11,239,0.42454545454545456,0.40841004184100427
bundesliga,-0.0038482256020279104,6340.5,0.9706342431796151,0.012944391197513363,24,526,0.8170833333333333,0.8209315589353612
premierleague,-0.0005340608465607133,9488.0,0.6609404478543057,0.17983766961177106,32,567,0.9203125,0.9208465608465607
