position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,FC Barcelona,38,27,6,5,105:35,70,87,https://www.transfermarkt.com.br/fc-barcelona/spielplan/verein/131/saison_id/2008
2,Real Madrid CF,38,25,3,10,83:52,31,78,https://www.transfermarkt.com.br/real-madrid/spielplan/verein/418/saison_id/2008
3,Sevilla FC,38,21,7,10,54:39,15,70,https://www.transfermarkt.com.br/fc-sevilla/spielplan/verein/368/saison_id/2008
4,Atlético de Madrid,38,20,7,11,80:57,23,67,https://www.transfermarkt.com.br/atletico-madrid/spielplan/verein/13/saison_id/2008
5,FC Villarreal,38,18,11,9,61:54,7,65,https://www.transfermarkt.com.br/fc-villarreal/spielplan/verein/1050/saison_id/2008
6,Valencia CF,38,18,8,12,68:54,14,62,https://www.transfermarkt.com.br/fc-valencia/spielplan/verein/1049/saison_id/2008
7,RC Deportivo de Corunha,38,16,10,12,48:47,1,58,https://www.transfermarkt.com.br/deportivo-la-coruna/spielplan/verein/897/saison_id/2008
8,Málaga CF,38,15,10,13,55:59,-4,55,https://www.transfermarkt.com.br/fc-malaga/spielplan/verein/1084/saison_id/2008
9,RCD Mallorca,38,14,9,15,53:60,-7,51,https://www.transfermarkt.com.br/rcd-mallorca/spielplan/verein/237/saison_id/2008
10,RCD Espanyol,38,12,11,15,46:49,-3,47,https://www.transfermarkt.com.br/espanyol-barcelona/spielplan/verein/714/saison_id/2008
11,UD Almería,38,13,7,18,45:61,-16,46,https://www.transfermarkt.com.br/ud-almeria/spielplan/verein/3302/saison_id/2008
12,Racing Santander,38,12,10,16,49:48,1,46,https://www.transfermarkt.com.br/racing-santander/spielplan/verein/630/saison_id/2008
13,Athletic Bilbao,38,12,8,18,47:62,-15,44,https://www.transfermarkt.com.br/athletic-bilbao/spielplan/verein/621/saison_id/2008
14,Real Sporting de Gijón,38,14,1,23,47:79,-32,43,https://www.transfermarkt.com.br/sporting-gijon/spielplan/verein/2448/saison_id/2008
15,CA Osasuna,38,10,13,15,41:47,-6,43,https://www.transfermarkt.com.br/ca-osasuna/spielplan/verein/331/saison_id/2008
16,Real Valladolid CF,38,12,7,19,46:58,-12,43,https://www.transfermarkt.com.br/real-valladolid/spielplan/verein/366/saison_id/2008
17,Getafe CF,38,10,12,16,50:56,-6,42,https://www.transfermarkt.com.br/fc-getafe/spielplan/verein/3709/saison_id/2008
18,Real Betis Balompié,38,10,12,16,51:58,-7,42,https://www.transfermarkt.com.br/real-betis-sevilla/spielplan/verein/150/saison_id/2008
19,CD Numância,38,10,5,23,38:69,-31,35,https://www.transfermarkt.com.br/cd-numancia/spielplan/verein/2296/saison_id/2008
20,Recreativo de Huelva,38,8,9,21,34:57,-23,33,https://www.transfermarkt.com.br/recreativo-huelva/spielplan/verein/2867/saison_id/2008
