position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Newcastle United,46,29,7,10,85:40,45,94,https://www.transfermarkt.com.br/newcastle-united/spielplan/verein/762/saison_id/2016
2,Brighton & Hove Albion,46,28,9,9,74:40,34,93,https://www.transfermarkt.com.br/brighton-amp-hove-albion/spielplan/verein/1237/saison_id/2016
3,FC Reading,46,26,7,13,68:64,4,85,https://www.transfermarkt.com.br/fc-reading/spielplan/verein/1032/saison_id/2016
4,Sheffield Wednesday,46,24,9,13,60:45,15,81,https://www.transfermarkt.com.br/sheffield-wednesday/spielplan/verein/1035/saison_id/2016
5,Huddersfield Town,46,25,6,15,56:58,-2,81,https://www.transfermarkt.com.br/huddersfield-town/spielplan/verein/1110/saison_id/2016
6,FC Fulham,46,22,14,10,85:57,28,80,https://www.transfermarkt.com.br/fc-fulham/spielplan/verein/931/saison_id/2016
7,Leeds United FC,46,22,9,15,61:47,14,75,https://www.transfermarkt.com.br/leeds-united/spielplan/verein/399/saison_id/2016
8,Norwich City,46,20,10,16,85:69,16,70,https://www.transfermarkt.com.br/norwich-city/spielplan/verein/1123/saison_id/2016
9,Derby County,46,18,13,15,54:50,4,67,https://www.transfermarkt.com.br/derby-county/spielplan/verein/22/saison_id/2016
10,Brentford FC,46,18,10,18,75:65,10,64,https://www.transfermarkt.com.br/fc-brentford/spielplan/verein/1148/saison_id/2016
11,Preston North End,46,16,14,16,64:63,1,62,https://www.transfermarkt.com.br/preston-north-end/spielplan/verein/466/saison_id/2016
12,Cardiff City,46,17,11,18,60:61,-1,62,https://www.transfermarkt.com.br/cardiff-city/spielplan/verein/603/saison_id/2016
13,Aston Villa FC,46,16,14,16,47:48,-1,62,https://www.transfermarkt.com.br/aston-villa/spielplan/verein/405/saison_id/2016
14,Barnsley FC,46,15,13,18,64:67,-3,58,https://www.transfermarkt.com.br/fc-barnsley/spielplan/verein/349/saison_id/2016
15,Wolverhampton Wanderers,46,16,10,20,54:58,-4,58,https://www.transfermarkt.com.br/wolverhampton-wanderers/spielplan/verein/543/saison_id/2016
16,Ipswich Town FC,46,13,16,17,48:58,-10,55,https://www.transfermarkt.com.br/ipswich-town/spielplan/verein/677/saison_id/2016
17,Bristol City,46,15,9,22,60:66,-6,54,https://www.transfermarkt.com.br/bristol-city/spielplan/verein/698/saison_id/2016
18,Queens Park Rangers,46,15,8,23,52:66,-14,53,https://www.transfermarkt.com.br/queens-park-rangers/spielplan/verein/1039/saison_id/2016
19,Birmingham City,46,13,14,19,45:64,-19,53,https://www.transfermarkt.com.br/birmingham-city/spielplan/verein/337/saison_id/2016
20,Burton Albion,46,13,13,20,49:63,-14,52,https://www.transfermarkt.com.br/burton-albion/spielplan/verein/2963/saison_id/2016
21,Nottingham Forest,46,14,9,23,62:72,-10,51,https://www.transfermarkt.com.br/nottingham-forest/spielplan/verein/703/saison_id/2016
22,Blackburn Rovers,46,12,15,19,53:65,-12,51,https://www.transfermarkt.com.br/blackburn-rovers/spielplan/verein/164/saison_id/2016
23,Wigan Athletic,46,10,12,24,40:57,-17,42,https://www.transfermarkt.com.br/wigan-athletic/spielplan/verein/1071/saison_id/2016
24,Rotherham United,46,5,8,33,40:98,-58,23,https://www.transfermarkt.com.br/rotherham-united/spielplan/verein/1194/saison_id/2016
