group,n_samples,mean_occupancy,median_occupancy,std_occupancy,min_occupancy,max_occupancy,mw_pvalue_vs_balanced
balanced,5193,0.6582072020026959,0.66,0.20790243478694542,0.07,1.0,
unbalanced_weak,647,0.6482225656877898,0.64,0.2087544365615235,0.09,1.0,0.20828374962595964
unbalanced_strong,652,0.6478527607361962,0.65,0.20420387490674322,0.13,1.0,0.21302296833361256
