league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
saudiproleague,0.292817679558011,871.0,0.08935846900597265,1.0488642806708024,23,61,181
jupilerproleague,0.28463476070528965,3436.5,0.016126581981078608,1.7924576713002602,52,107,397
j1league,-0.26936026936026936,4360.0,0.010191565616464124,1.9917590950551258,62,180,594
laliga,0.18044237485448195,9885.0,0.031362766052895966,1.5035856415062843,69,245,859
j2league,-0.17903930131004367,4045.0,0.022432042941727078,1.6491311723414104,56,181,687
campeonatobrasileiroseriea,-0.1357615894039735,4220.0,0.11793565516536507,0.9283548759855853,50,197,604
ligaportugal,0.07381776239907728,12342.5,0.20269956044460324,0.6931471930765536,86,263,867
campeonatobrasileiroserieb,0.06976744186046512,4208.0,0.4795083871181104,0.31920379214866945,49,161,559
challengerproleague,0.06220095693779904,2516.5,0.5451901393557983,0.2634520076834606,46,103,418
championship,-0.061016949152542375,10700.5,0.3917222613545539,0.40702174704104344,74,309,1180
ligaportugal2,-0.055639097744360905,5081.0,0.26704480573104095,0.5734158650428515,62,181,665
premierleague,-0.04581818181818182,21562.0,0.3970254584119536,0.4011816441352822,119,382,1375
2bundesliga,0.029142381348875937,20489.5,0.6432369464386365,0.19162901840512758,129,309,1201
ligue1,-0.02582496413199426,23855.5,0.6112785528470472,0.21376084148091976,123,400,1394
laliga2,0.015945330296127564,7532.0,0.7955442049547682,0.09933568347868861,68,217,878
bundesliga,-0.012131715771230503,20120.0,0.9594441488738493,0.01798030132649978,116,348,1154
ligue2,-0.0019550342130987292,12543.5,0.9254839502973989,0.033631108361876404,93,268,1023
