league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
superlig,-0.4418604651162791,318.0,0.004335953990793973,2.3629153347838545,20,56,215
campeonatobrasileiroserieb,-0.28668941979522183,2923.0,0.0034480522194164694,2.4624261655756627,50,161,586
saudiproleague,-0.27472527472527475,487.5,0.016951016464498876,1.7708042542935205,24,61,182
jupilerproleague,-0.23333333333333334,2245.5,0.03222991934439065,1.4917407813114292,53,107,420
campeonatobrasileiroseriea,0.16797488226059654,6113.0,0.05597212490862664,1.252028205357452,53,197,637
j2league,-0.1628498727735369,5043.5,0.12439482054961547,0.9051977020692366,64,181,786
championship,-0.15942028985507245,9550.5,0.04157120427967235,1.3812073941986034,73,309,1173
challengerproleague,-0.1012987012987013,2029.5,0.427568081671553,0.3689947227132752,43,103,385
serieb,0.057569296375266525,11490.5,0.324805576733768,0.4883765227685759,73,293,938
laliga2,-0.055229142185663924,6851.5,0.476928244011422,0.3215469575931965,67,217,851
ligaportugal,-0.03579952267303103,10672.5,0.5308496692885809,0.2750284488656984,85,263,838
bundesliga,0.03507194244604316,20454.5,0.6168664358141882,0.20980885941600833,114,348,1112
ligaportugal2,-0.03058103975535168,5198.5,0.4960055009041475,0.3045135069794212,61,181,654
2bundesliga,0.029605263157894735,20445.5,0.7664052864616877,0.11554150827029808,130,309,1216
laliga,-0.02729528535980149,7916.0,0.7947036341978377,0.09979480093999815,66,245,806
premierleague,-0.014314928425357873,23840.0,0.9806165145006358,0.008500797102379545,125,382,1467
ligue1,0.012838801711840228,24880.5,0.848311343366819,0.07144472570294698,123,400,1402
ligue2,-0.00851063829787234,14061.5,0.7706482442386231,0.11314380670275141,107,268,1175
seriea,0.003367003367003367,17212.0,0.8179180163068394,0.08729022548505355,107,317,1188
j1league,0.0,5918.5,0.6895654523768578,0.1614245050399819,68,180,664
