position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,RCD Espanyol,42,24,10,8,71:28,43,82,https://www.transfermarkt.com.br/espanyol-barcelona/spielplan/verein/714/saison_id/2020
2,RCD Mallorca,42,24,10,8,54:28,26,82,https://www.transfermarkt.com.br/rcd-mallorca/spielplan/verein/237/saison_id/2020
3,CD Leganés,42,21,10,11,51:32,19,73,https://www.transfermarkt.com.br/cd-leganes/spielplan/verein/1244/saison_id/2020
4,UD Almería,42,21,10,11,61:40,21,73,https://www.transfermarkt.com.br/ud-almeria/spielplan/verein/3302/saison_id/2020
5,Girona FC,42,20,11,11,47:36,11,71,https://www.transfermarkt.com.br/fc-girona/spielplan/verein/12321/saison_id/2020
6,Rayo Vallecano,42,19,10,13,52:40,12,67,https://www.transfermarkt.com.br/rayo-vallecano/spielplan/verein/367/saison_id/2020
7,Real Sporting de Gijón,42,17,14,11,37:28,9,65,https://www.transfermarkt.com.br/sporting-gijon/spielplan/verein/2448/saison_id/2020
8,SD Ponferradina,42,15,12,15,45:50,-5,57,https://www.transfermarkt.com.br/sd-ponferradina/spielplan/verein/4032/saison_id/2020
9,UD Las Palmas,42,14,14,14,46:53,-7,56,https://www.transfermarkt.com.br/ud-las-palmas/spielplan/verein/472/saison_id/2020
10,CD Mirandés,42,14,12,16,38:41,-3,54,https://www.transfermarkt.com.br/cd-mirandes/spielplan/verein/13222/saison_id/2020
11,Fuenlabrada CF,42,12,18,12,45:46,-1,54,https://www.transfermarkt.com.br/fc-fuenlabrada/spielplan/verein/16486/saison_id/2020
12,Málaga CF,42,14,11,17,37:47,-10,53,https://www.transfermarkt.com.br/fc-malaga/spielplan/verein/1084/saison_id/2020
13,Real Oviedo,42,11,19,12,45:46,-1,52,https://www.transfermarkt.com.br/real-oviedo/spielplan/verein/2497/saison_id/2020
14,CD Tenerife,42,13,13,16,36:36,0,52,https://www.transfermarkt.com.br/cd-teneriffa/spielplan/verein/648/saison_id/2020
15,Real Zaragoza,42,13,11,18,37:43,-6,50,https://www.transfermarkt.com.br/real-saragossa/spielplan/verein/142/saison_id/2020
16,FC Cartagena,42,12,13,17,44:52,-8,49,https://www.transfermarkt.com.br/fc-cartagena/spielplan/verein/7077/saison_id/2020
17,AD Alcorcón,42,13,9,20,32:42,-10,48,https://www.transfermarkt.com.br/ad-alcorcon/spielplan/verein/11596/saison_id/2020
18,CD Lugo,42,11,14,17,38:53,-15,47,https://www.transfermarkt.com.br/cd-lugo/spielplan/verein/11000/saison_id/2020
19,CE Sabadell FC,42,11,13,18,40:48,-8,46,https://www.transfermarkt.com.br/ce-sabadell/spielplan/verein/11422/saison_id/2020
20,UD Logrones,42,11,11,20,28:53,-25,44,https://www.transfermarkt.com.br/ud-logrones/spielplan/verein/24420/saison_id/2020
21,CD Castellón,42,11,8,23,35:54,-19,41,https://www.transfermarkt.com.br/cd-castellon/spielplan/verein/2502/saison_id/2020
22,Albacete Balompié,42,9,11,22,30:53,-23,38,https://www.transfermarkt.com.br/albacete-balompie/spielplan/verein/1532/saison_id/2020
