league_name,season_year,G-_vs_G0,G-_vs_G+,G0_vs_G+
bundesliga,2011,0.6000,1.0000,1.0000
bundesliga,2012,0.0381,0.4000,0.1107
bundesliga,2013,0.5363,0.7000,0.2330
bundesliga,2014,0.6593,0.8000,1.0000
bundesliga,2016,0.8167,0.6667,0.6000
bundesliga,2017,0.7333,0.4857,0.8392
bundesliga,2018,1.0000,0.6667,0.5000
bundesliga,2022,,,0.1111
bundesliga,2023,0.3648,0.4000,0.6330
bundesliga,2024,0.8750,0.6667,0.7206
campeonatobrasileiroseriea,2007,0.3333,0.6667,1.0000
campeonatobrasileiroseriea,2009,0.5088,0.1000,0.0676
campeonatobrasileiroseriea,2010,,,0.8526
campeonatobrasileiroseriea,2011,0.9451,1.0000,0.7214
campeonatobrasileiroseriea,2012,0.4912,0.6667,0.6667
campeonatobrasileiroseriea,2013,0.5556,0.6667,0.2924
campeonatobrasileiroseriea,2014,0.1299,0.2000,0.5294
campeonatobrasileiroseriea,2015,0.6316,1.0000,0.6316
campeonatobrasileiroseriea,2016,0.2924,0.6667,0.8889
campeonatobrasileiroseriea,2017,0.7320,1.0000,0.9412
campeonatobrasileiroseriea,2018,0.1176,1.0000,0.0640
campeonatobrasileiroseriea,2019,0.4912,0.6667,0.2222
campeonatobrasileiroseriea,2022,1.0000,,
campeonatobrasileiroserieb,2010,0.9412,1.0000,0.4706
campeonatobrasileiroserieb,2011,0.1107,0.8571,0.1017
campeonatobrasileiroserieb,2012,,,0.4000
campeonatobrasileiroserieb,2013,0.1451,0.5556,0.6608
campeonatobrasileiroserieb,2014,0.4393,1.0000,0.2958
campeonatobrasileiroserieb,2015,0.5000,,
campeonatobrasileiroserieb,2016,,,0.4000
campeonatobrasileiroserieb,2017,0.8421,1.0000,0.1053
campeonatobrasileiroserieb,2018,0.9529,1.0000,0.9529
campeonatobrasileiroserieb,2019,0.9474,1.0000,0.4211
campeonatobrasileiroserieb,2022,0.2339,0.6667,0.6667
campeonatobrasileiroserieb,2023,0.6451,0.8000,0.9333
campeonatobrasileiroserieb,2024,0.9412,1.0000,0.8366
challengerproleague,2006,0.8235,1.0000,0.2353
challengerproleague,2007,0.4167,0.8000,0.5912
challengerproleague,2008,0.7206,1.0000,0.9412
challengerproleague,2009,0.7105,0.2571,0.5287
challengerproleague,2010,0.8235,1.0000,0.8750
challengerproleague,2011,0.1286,0.6667,0.3323
challengerproleague,2012,0.1250,0.6667,1.0000
challengerproleague,2014,0.4167,0.3333,0.3333
challengerproleague,2015,0.6857,0.6667,0.3810
challengerproleague,2022,0.6667,0.8000,0.8333
challengerproleague,2023,0.0190,0.6667,0.5714
championship,2004,0.4545,0.6667,0.0158
championship,2005,0.5217,1.0000,0.1739
championship,2006,0.8571,0.4000,0.3429
championship,2007,0.6506,1.0000,0.6857
championship,2008,0.6667,0.5000,0.1660
championship,2009,0.3320,0.6667,0.8182
championship,2010,0.2304,1.0000,0.3810
championship,2011,0.0870,,
championship,2012,0.3636,0.6667,0.4427
championship,2013,0.4762,0.5000,0.7634
championship,2014,0.9023,0.8000,1.0000
championship,2015,0.3429,0.8000,0.7182
championship,2016,0.7792,0.3333,0.0519
championship,2017,,,0.0072
championship,2018,0.1812,,
championship,2022,0.4707,0.1000,0.1534
championship,2023,0.7826,1.0000,0.4348
championship,2024,0.2174,,
j1league,2005,0.1319,0.5333,0.1703
j1league,2006,0.2222,,
j1league,2007,0.9000,1.0000,1.0000
j1league,2008,0.3710,0.3929,0.5734
j1league,2009,0.1206,0.5000,0.1333
j1league,2010,,,0.2222
j1league,2011,0.0496,0.0238,0.4818
j1league,2012,0.1324,0.6667,0.7500
j1league,2013,0.3529,1.0000,0.7059
j1league,2014,0.9333,0.3333,0.0167
j1league,2017,0.6107,0.2000,0.4762
j1league,2018,,,0.0523
j1league,2019,0.3643,0.8000,0.3048
j1league,2021,0.7368,1.0000,0.7368
j1league,2022,0.1802,0.1000,0.0308
j1league,2023,1.0000,0.4000,0.4117
j1league,2024,0.4211,1.0000,0.5882
j2league,2010,0.3643,0.7000,0.2393
j2league,2011,0.8235,0.8000,0.5735
j2league,2012,0.1905,1.0000,0.8571
j2league,2013,0.7619,1.0000,0.7619
j2league,2014,0.7121,0.4000,0.4211
j2league,2015,0.9474,0.3333,0.2105
j2league,2016,,,0.4545
j2league,2017,0.0211,0.3333,0.5158
j2league,2018,0.3603,0.1143,0.1001
j2league,2019,0.3000,1.0000,0.4667
j2league,2021,0.9577,0.7000,0.7926
j2league,2022,0.2632,0.3333,0.1684
j2league,2023,0.1263,0.3333,0.9474
j2league,2024,0.5263,1.0000,0.3158
jupilerproleague,2008,0.2353,1.0000,0.2353
jupilerproleague,2010,0.0336,0.1143,0.7273
jupilerproleague,2011,0.1363,0.5000,0.4615
jupilerproleague,2012,0.5333,1.0000,0.2667
jupilerproleague,2013,0.3077,0.2000,0.2253
jupilerproleague,2014,0.0513,0.2000,0.7692
jupilerproleague,2015,1.0000,1.0000,0.6667
jupilerproleague,2016,1.0000,1.0000,0.3516
jupilerproleague,2017,0.6000,,
jupilerproleague,2018,0.0381,0.6667,0.1429
jupilerproleague,2022,0.1893,0.8000,0.0381
jupilerproleague,2023,0.6330,0.5000,0.3077
jupilerproleague,2024,0.7692,0.8000,0.4560
laliga,2001,0.1559,0.7000,0.3000
laliga,2005,,,0.9211
laliga,2006,0.5294,0.8000,0.9118
laliga,2007,0.2105,1.0000,0.1053
laliga,2008,0.1017,0.0571,0.3643
laliga,2009,,,0.6158
laliga,2010,0.4484,1.0000,0.2343
laliga,2011,,,0.2632
laliga,2012,0.9474,1.0000,0.8889
laliga,2013,1.0000,0.4000,0.2393
laliga,2014,0.2000,,
laliga,2015,0.5731,0.6667,0.1111
laliga,2016,,,0.8000
laliga,2017,,,0.6000
laliga,2021,0.1871,0.6667,0.3333
laliga,2022,0.8421,1.0000,0.5263
laliga,2023,0.5294,0.2000,0.4975
laliga,2024,0.4444,0.6667,0.3509
laliga2,2007,0.3000,0.6667,0.5333
laliga2,2008,0.9000,0.6667,0.3429
laliga2,2009,0.7629,0.4000,0.6667
laliga2,2010,0.9654,1.0000,0.8889
laliga2,2011,,,0.4342
laliga2,2012,0.1176,0.1333,0.8916
laliga2,2013,0.9524,0.6667,0.2000
laliga2,2014,0.8784,0.6857,0.3817
laliga2,2015,0.2727,,
laliga2,2016,0.6544,0.2286,0.0139
laliga2,2017,0.4762,1.0000,0.4762
laliga2,2018,,,0.3558
laliga2,2021,0.6158,0.2000,0.3509
laliga2,2022,,,0.6364
laliga2,2023,0.1111,0.4000,0.7629
laliga2,2024,0.9524,1.0000,1.0000
ligaportugal,1996,0.7526,1.0000,0.7282
ligaportugal,1997,0.1250,0.6667,0.6176
ligaportugal,1998,0.2441,1.0000,0.8000
ligaportugal,1999,0.2667,0.3333,0.6000
ligaportugal,2000,0.0571,1.0000,0.4762
ligaportugal,2001,0.9231,1.0000,0.9130
ligaportugal,2004,,,0.4444
ligaportugal,2005,,,0.8366
ligaportugal,2006,0.9333,,
ligaportugal,2007,1.0000,0.6667,0.3048
ligaportugal,2008,0.9231,0.3333,0.6593
ligaportugal,2009,0.7000,,
ligaportugal,2010,,,0.7500
ligaportugal,2011,0.6154,0.5000,0.7341
ligaportugal,2012,0.9333,1.0000,0.8571
ligaportugal,2013,0.3048,1.0000,0.5714
ligaportugal,2014,0.8571,0.8000,0.7849
ligaportugal,2015,0.2441,0.5000,0.1333
ligaportugal,2016,0.2393,0.8000,0.3810
ligaportugal,2017,0.3333,0.3333,0.3333
ligaportugal,2018,0.8750,0.6667,0.0294
ligaportugal,2021,0.3333,0.3333,0.1500
ligaportugal,2022,0.2353,1.0000,0.3529
ligaportugal,2023,0.4484,0.4000,1.0000
ligaportugal,2024,0.4444,,
ligaportugal2,2007,0.4103,0.2000,0.5549
ligaportugal2,2008,0.5714,1.0000,0.3048
ligaportugal2,2009,0.9333,1.0000,0.2667
ligaportugal2,2010,0.2253,0.2000,0.4103
ligaportugal2,2011,0.9333,0.6857,0.8081
ligaportugal2,2012,0.5304,1.0000,0.4265
ligaportugal2,2013,0.8182,,
ligaportugal2,2014,0.0833,,
ligaportugal2,2015,0.4545,0.6667,0.7115
ligaportugal2,2016,0.5000,0.6667,0.0381
ligaportugal2,2017,,,0.7000
ligaportugal2,2021,0.1250,0.6667,1.0000
ligaportugal2,2022,0.5363,0.1000,0.1802
ligaportugal2,2023,1.0000,1.0000,0.7034
ligaportugal2,2024,0.8167,1.0000,0.6000
ligue1,1990,0.1299,0.2000,0.0882
ligue1,1991,0.7676,1.0000,0.5912
ligue1,1992,0.9563,0.4000,0.1893
ligue1,1993,1.0000,,
ligue1,1994,0.5731,0.6667,0.4444
ligue1,1995,0.1013,0.1333,0.2667
ligue1,1996,0.5556,0.6667,0.0234
ligue1,1997,0.2615,0.5333,0.9231
ligue1,1998,0.1363,0.1000,0.0044
ligue1,1999,0.4762,1.0000,0.2393
ligue1,2000,,,0.5490
ligue1,2001,,,0.0784
ligue1,2002,0.1642,0.2000,0.4412
ligue1,2003,0.2614,0.6667,0.3922
ligue1,2004,0.7485,0.6667,0.6667
ligue1,2005,0.5304,0.8000,0.7500
ligue1,2006,0.8421,1.0000,0.2105
ligue1,2007,,,0.6158
ligue1,2008,0.8421,1.0000,0.1053
ligue1,2009,0.2353,0.2000,0.4265
ligue1,2010,0.4975,1.0000,0.7206
ligue1,2011,1.0000,,
ligue1,2012,0.5735,0.8000,0.2941
ligue1,2013,0.5294,0.8000,0.1642
ligue1,2015,0.3579,,
ligue1,2016,0.3618,0.4000,0.9529
ligue1,2017,0.6667,0.6667,0.4211
ligue1,2018,0.4393,0.1143,0.0597
ligue1,2021,,,1.0000
ligue1,2022,0.1111,0.6667,0.6550
ligue1,2023,0.2500,0.6667,1.0000
ligue1,2024,0.5882,1.0000,0.5882
ligue2,1994,0.1818,,
ligue2,1995,,,0.4545
ligue2,1996,0.7398,1.0000,0.9474
ligue2,1997,0.2614,0.8000,0.1775
ligue2,1998,0.2222,0.6667,0.0702
ligue2,1999,0.2918,0.6667,0.6227
ligue2,2000,0.5294,0.4000,0.8235
ligue2,2001,0.4211,1.0000,0.2105
ligue2,2002,0.4975,1.0000,0.6176
ligue2,2003,0.4690,0.4000,0.6250
ligue2,2004,1.0000,1.0000,0.8706
ligue2,2005,0.5294,0.2000,0.4265
ligue2,2006,0.1053,1.0000,0.3158
ligue2,2007,0.6667,0.6667,0.2339
ligue2,2008,0.5263,1.0000,0.8421
ligue2,2009,0.0421,,
ligue2,2010,0.9563,1.0000,0.8000
ligue2,2011,0.8526,,
ligue2,2012,0.9412,1.0000,0.7377
ligue2,2013,0.8235,0.8000,0.7206
ligue2,2014,,,0.4000
ligue2,2015,0.2222,0.6667,0.7485
ligue2,2022,0.6354,0.2000,0.3323
premierleague,1992,0.3000,0.3929,0.1859
premierleague,1993,0.5731,1.0000,1.0000
premierleague,1994,0.0468,0.8000,0.8421
premierleague,1995,0.5735,0.4000,0.0294
premierleague,1996,0.2771,0.5333,0.9333
premierleague,1997,,,0.7579
premierleague,1998,0.6405,0.3333,0.1176
premierleague,1999,0.3000,,
premierleague,2000,0.8751,0.5000,0.1176
premierleague,2001,0.2105,,
premierleague,2002,0.1642,0.4000,1.0000
premierleague,2003,1.0000,1.0000,0.8366
premierleague,2004,0.4871,0.5000,0.3529
premierleague,2005,0.0140,0.0952,0.8000
premierleague,2006,,,0.9211
premierleague,2007,1.0000,0.6667,0.7778
premierleague,2008,0.1522,0.4000,0.8750
premierleague,2009,0.7485,0.6667,0.3333
premierleague,2010,0.2105,1.0000,1.0000
premierleague,2011,0.3529,1.0000,0.4211
premierleague,2012,0.9412,1.0000,0.3591
premierleague,2013,0.1176,0.3333,0.9412
premierleague,2014,0.8421,1.0000,0.2105
premierleague,2015,0.5556,1.0000,0.4211
premierleague,2017,0.1971,0.1000,0.2441
premierleague,2018,0.6667,0.6667,0.5731
premierleague,2021,0.7320,0.6667,0.3922
premierleague,2022,0.2460,0.1905,0.5714
premierleague,2023,,,0.8526
premierleague,2024,0.7849,0.6286,1.0000
saudiproleague,2014,0.1714,0.1143,0.6095
saudiproleague,2015,0.7273,0.2000,0.1455
saudiproleague,2016,0.0727,0.2000,0.6000
saudiproleague,2017,0.2091,1.0000,0.4364
saudiproleague,2018,0.0176,0.4000,0.3333
saudiproleague,2023,0.9333,0.8000,0.1893
saudiproleague,2024,,,0.4444
