league_name,season_year,G-_vs_G0,G-_vs_G+,G0_vs_G+
2bundesliga,1990,0.9412,1.0000,0.9577
2bundesliga,1992,0.7273,1.0000,0.2372
2bundesliga,1993,0.2393,0.2286,0.7034
2bundesliga,1994,1.0000,1.0000,0.9000
2bundesliga,1995,0.8000,0.4000,0.4393
2bundesliga,1996,1.0000,0.2857,0.1986
2bundesliga,1997,0.7778,,
2bundesliga,1998,0.2403,0.0411,0.1320
2bundesliga,1999,0.5000,0.6667,0.9412
2bundesliga,2000,0.8846,0.8571,0.7531
2bundesliga,2001,0.2964,0.4000,0.3048
2bundesliga,2002,0.1714,0.2000,0.2964
2bundesliga,2003,0.9333,0.3333,0.7000
2bundesliga,2004,0.1250,0.6667,0.9412
2bundesliga,2005,0.3333,0.6667,0.5000
2bundesliga,2006,0.6107,1.0000,1.0000
2bundesliga,2007,0.0294,0.6667,0.1250
2bundesliga,2008,0.8846,0.8571,0.4894
2bundesliga,2009,0.4396,0.5333,0.1703
2bundesliga,2010,0.4975,,
2bundesliga,2011,0.4706,1.0000,0.2353
2bundesliga,2012,1.0000,0.8000,0.8000
2bundesliga,2013,1.0000,1.0000,0.3529
2bundesliga,2014,0.2398,0.3429,0.6354
2bundesliga,2015,0.4167,0.3333,0.1000
2bundesliga,2016,0.3618,1.0000,0.5333
2bundesliga,2017,0.9333,1.0000,0.1464
2bundesliga,2018,0.0147,0.6667,0.6250
2bundesliga,2022,0.1703,0.1333,0.4396
2bundesliga,2023,0.9412,1.0000,0.8750
2bundesliga,2024,0.1893,0.2000,0.0190
bundesliga,1990,0.2964,0.4000,0.8000
bundesliga,1991,0.8235,0.8000,0.0564
bundesliga,1992,0.4444,,
bundesliga,1993,0.8235,1.0000,0.3529
bundesliga,1994,0.3333,0.3333,0.9333
bundesliga,1995,1.0000,1.0000,1.0000
bundesliga,1996,1.0000,1.0000,1.0000
bundesliga,1997,,,0.5556
bundesliga,1998,,,0.5556
bundesliga,1999,0.4443,0.4000,0.0594
bundesliga,2000,0.1377,0.0571,0.7692
bundesliga,2001,0.2941,0.6667,0.1250
bundesliga,2002,0.2601,0.7302,0.6064
bundesliga,2003,0.0762,0.2000,0.6107
bundesliga,2004,0.1176,1.0000,0.9412
bundesliga,2005,0.9333,0.5000,0.1559
bundesliga,2006,0.7059,1.0000,0.3529
bundesliga,2007,,,0.7778
bundesliga,2008,,,0.6405
bundesliga,2009,0.8000,0.8000,0.5714
bundesliga,2010,0.9527,1.0000,0.6593
