position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Arminia Bielefeld,34,18,14,2,65:30,35,68,https://www.transfermarkt.com.br/arminia-bielefeld/spielplan/verein/10/saison_id/2019
2,VfB Stuttgart,34,17,7,10,62:41,21,58,https://www.transfermarkt.com.br/vfb-stuttgart/spielplan/verein/79/saison_id/2019
3,1.FC Heidenheim 1846,34,15,10,9,45:36,9,55,https://www.transfermarkt.com.br/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/2019
4,Hamburger SV,34,14,12,8,62:46,16,54,https://www.transfermarkt.com.br/hamburger-sv/spielplan/verein/41/saison_id/2019
5,SV Darmstadt 98,34,13,13,8,48:43,5,52,https://www.transfermarkt.com.br/sv-darmstadt-98/spielplan/verein/105/saison_id/2019
6,Hannover 96,34,13,9,12,54:49,5,48,https://www.transfermarkt.com.br/hannover-96/spielplan/verein/42/saison_id/2019
7,FC Erzgebirge Aue,34,13,8,13,46:48,-2,47,https://www.transfermarkt.com.br/fc-erzgebirge-aue/spielplan/verein/94/saison_id/2019
8,VfL Bochum,34,11,13,10,53:51,2,46,https://www.transfermarkt.com.br/vfl-bochum/spielplan/verein/80/saison_id/2019
9,SpVgg Greuther Fürth,34,11,11,12,46:45,1,44,https://www.transfermarkt.com.br/spvgg-greuther-furth/spielplan/verein/65/saison_id/2019
10,SV Sandhausen,34,10,13,11,43:45,-2,43,https://www.transfermarkt.com.br/sv-sandhausen/spielplan/verein/254/saison_id/2019
11,Holstein Kiel,34,11,10,13,53:56,-3,43,https://www.transfermarkt.com.br/holstein-kiel/spielplan/verein/269/saison_id/2019
12,Jahn Regensburg,34,11,10,13,50:56,-6,43,https://www.transfermarkt.com.br/ssv-jahn-regensburg/spielplan/verein/109/saison_id/2019
13,VfL Osnabrück,34,9,13,12,46:48,-2,40,https://www.transfermarkt.com.br/vfl-osnabruck/spielplan/verein/81/saison_id/2019
14,FC St. Pauli,34,9,12,13,41:50,-9,39,https://www.transfermarkt.com.br/fc-st-pauli/spielplan/verein/35/saison_id/2019
15,Karlsruher SC,34,8,13,13,45:56,-11,37,https://www.transfermarkt.com.br/karlsruher-sc/spielplan/verein/48/saison_id/2019
16,1.FC Nuremberg,34,8,13,13,45:58,-13,37,https://www.transfermarkt.com.br/1-fc-nurnberg/spielplan/verein/4/saison_id/2019
17,SV Wehen Wiesbaden,34,9,7,18,45:65,-20,34,https://www.transfermarkt.com.br/sv-wehen-wiesbaden/spielplan/verein/108/saison_id/2019
18,SG Dynamo Dresden,34,8,8,18,32:58,-26,32,https://www.transfermarkt.com.br/sg-dynamo-dresden/spielplan/verein/129/saison_id/2019
