position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,FC Porto,30,24,6,0,70:14,56,78,https://www.transfermarkt.com.br/fc-porto/spielplan/verein/720/saison_id/2012
2,SL Benfica,30,24,5,1,77:20,57,77,https://www.transfermarkt.com.br/benfica-lissabon/spielplan/verein/294/saison_id/2012
3,FC Paços de Ferreira,30,14,12,4,42:29,13,54,https://www.transfermarkt.com.br/fc-pacos-de-ferreira/spielplan/verein/2995/saison_id/2012
4,SC Braga,30,16,4,10,60:44,16,52,https://www.transfermarkt.com.br/sc-braga/spielplan/verein/1075/saison_id/2012
5,GD Estoril Praia,30,13,6,11,47:37,10,45,https://www.transfermarkt.com.br/gd-estoril-praia/spielplan/verein/1465/saison_id/2012
6,Sporting CP,30,11,9,10,36:36,0,42,https://www.transfermarkt.com.br/sporting-lissabon/spielplan/verein/336/saison_id/2012
7,Rio Ave Futebol Clube,30,12,6,12,35:42,-7,42,https://www.transfermarkt.com.br/rio-ave-fc/spielplan/verein/2425/saison_id/2012
8,CD Nacional,30,11,7,12,45:51,-6,40,https://www.transfermarkt.com.br/cd-nacional/spielplan/verein/982/saison_id/2012
9,Vitória Sport Clube,30,11,7,12,36:47,-11,40,https://www.transfermarkt.com.br/vitoria-guimaraes-sc/spielplan/verein/2420/saison_id/2012
10,Club Sport Marítimo,30,9,11,10,34:45,-11,38,https://www.transfermarkt.com.br/cs-maritimo/spielplan/verein/1301/saison_id/2012
11,Académica de Coimbra,30,6,10,14,33:45,-12,28,https://www.transfermarkt.com.br/academica-coimbra/spielplan/verein/2990/saison_id/2012
12,Vitória Futebol Clube,30,7,5,18,30:55,-25,26,https://www.transfermarkt.com.br/vitoria-setubal-fc/spielplan/verein/1085/saison_id/2012
13,Sporting Clube Olhanense,30,5,10,15,26:42,-16,25,https://www.transfermarkt.com.br/sc-olhanense/spielplan/verein/4750/saison_id/2012
14,Gil Vicente Futebol Clube,30,6,7,17,31:54,-23,25,https://www.transfermarkt.com.br/gil-vicente-fc/spielplan/verein/2424/saison_id/2012
15,Moreirense Futebol Clube,30,5,9,16,30:51,-21,24,https://www.transfermarkt.com.br/moreirense-fc/spielplan/verein/979/saison_id/2012
16,SC Beira-Mar,30,5,8,17,35:55,-20,23,https://www.transfermarkt.com.br/sc-beira-mar/spielplan/verein/1436/saison_id/2012
