league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
campeonatobrasileiroseriea,-0.06761995977396795,3995.5,0.008766446944032774,2.057176391270585,53,197,0.46207547169811325,0.5296954314720812
campeonatobrasileiroserieb,0.0607304347826087,4883.5,0.022861237712753432,1.640900260499456,50,161,0.46159999999999995,0.40086956521739125
2bundesliga,-0.0331232262882748,18072.5,0.09728216441579159,1.011966775413262,130,309,0.5996923076923077,0.6328155339805825
ligaportugal,0.029708789979870254,12439.5,0.1175995170315258,0.9295944618565979,85,263,0.5091764705882352,0.479467680608365
saudiproleague,-0.02946721311475403,601.5,0.20401236941089584,0.6903435002013555,24,61,0.35250000000000004,0.38196721311475407
laliga2,0.027705481807552168,8273.0,0.08771535142005782,1.056924392340073,67,217,0.6538805970149254,0.6261751152073732
ligue2,0.02480036746519665,15469.0,0.16055264871859476,0.7943825252617202,106,267,0.5858490566037735,0.5610486891385769
bundesliga,-0.02389594676346063,18013.0,0.14036423866433828,0.8527435256038375,114,348,0.8057017543859648,0.8295977011494254
challengerproleague,-0.021934974034770904,2007.5,0.3750599254428205,0.42589933704580624,43,103,0.4665116279069767,0.4884466019417476
ligaportugal2,0.02140883977900565,5791.0,0.4409799462950289,0.35558115976443994,60,181,0.4950000000000001,0.47359116022099446
jupilerproleague,0.02131370128725074,3158.0,0.24283691159865428,0.6146852991238766,53,107,0.770566037735849,0.7492523364485982
ligue1,-0.0164249999999998,22809.0,0.22177621872322617,0.6540850255042642,123,400,0.6900000000000002,0.706425
j2league,0.01636999309392262,6309.5,0.28850433102614037,0.5398476628318708,64,181,0.5360937499999999,0.5197237569060773
championship,0.008101254599459096,12124.0,0.31902911084091246,0.49616968653296517,73,309,0.8013698630136986,0.7932686084142395
j1league,-0.0073986928104576855,6046.5,0.8848041731919936,0.053152837678187285,68,180,0.6138235294117645,0.6212222222222222
premierleague,-0.0046988481675392935,23832.5,0.9762940868532536,0.010419341084139383,125,382,0.92072,0.9254188481675393
laliga,0.0023351886209028727,8355.5,0.676892164764779,0.16948051296599317,66,245,0.7751515151515151,0.7728163265306123
