league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
saudiproleague,-0.05501069137562359,555.0,0.14272089300821839,0.8455124455679507,23,61,0.3269565217391305,0.38196721311475407
campeonatobrasileiroseriea,0.04270456852791882,5849.0,0.04060528286954036,1.3914174597273754,50,197,0.5724,0.5296954314720812
jupilerproleague,-0.040213874910136616,2268.5,0.05951112688803069,1.2254018259640775,52,107,0.7090384615384616,0.7492523364485982
ligaportugal2,0.0320540010693281,6286.0,0.15780944528719676,0.8018670067454289,62,181,0.5056451612903226,0.47359116022099446
j2league,0.02956195737963696,5741.0,0.13346223913574237,0.874641593136232,56,181,0.5492857142857143,0.5197237569060773
2bundesliga,-0.025683751034846214,18414.0,0.20924821965965512,0.6793382284136842,129,309,0.6071317829457363,0.6328155339805825
bundesliga,-0.024683908045977088,19206.0,0.43396742019805135,0.36254287361955434,116,348,0.8049137931034483,0.8295977011494254
ligaportugal,-0.02435140153859755,10512.0,0.32663601661164676,0.4859359293565804,86,263,0.4551162790697674,0.479467680608365
challengerproleague,0.02068383284086095,2552.0,0.45309945408294405,0.34380646108037677,46,103,0.5091304347826086,0.4884466019417476
premierleague,-0.020460864974261916,20852.0,0.17139299727258972,0.7660069263334793,119,382,0.9049579831932774,0.9254188481675393
campeonatobrasileiroserieb,-0.017604259094942343,3629.0,0.39751336605387955,0.400648263973919,49,161,0.3832653061224489,0.40086956521739125
ligue2,0.012714751721638162,12957.0,0.5312471477092813,0.2747033886827056,93,267,0.573763440860215,0.5610486891385769
championship,-0.007863203008834252,10654.0,0.3624957609499806,0.44069706773242545,74,309,0.7854054054054053,0.7932686084142395
ligue1,-0.0045550813008129465,24164.0,0.7663292048810673,0.11558462312267688,123,400,0.701869918699187,0.706425
laliga,-0.004265601892931126,7992.0,0.4895247324632046,0.31022536126442113,69,245,0.7685507246376811,0.7728163265306123
j1league,-0.0021899641577061146,5633.0,0.9120417243237965,0.03998529299934077,62,180,0.6190322580645161,0.6212222222222222
laliga2,0.0013248847926267127,7743.0,0.5386532640451817,0.26869070414180246,68,217,0.6275,0.6261751152073732
