source_id,source_csv_file,league_name,season_year,num_total_teams,num_total_games,num_null_attendance_games,pct_null_attendance_games,is_valid_url,is_double_rounded,is_valid_attendance,has_all_teams_files
1f446d575e4cc4fd77282de3a38459c32addcf8a83eb005a09c03cee923c62f2,challengerproleague_2014_standings.csv,challengerproleague,2014,18,306,0,0.0,True,True,True,True
9e7275983e9ba071755b097a686736dc1e61ce88c9aa93571fd29c56762a62db,challengerproleague_2013_standings.csv,challengerproleague,2013,18,306,18,5.88,True,True,False,True
bdd1c18ce6234adac2199dbc1725d3efb8af10a828c16a8bc3052187e14f4016,challengerproleague_2009_standings.csv,challengerproleague,2009,19,342,0,0.0,True,True,True,True
936592ecfb0346f88324ebd7a5eca90e72c50232e3a74635194359cbd0b39e7e,challengerproleague_2008_standings.csv,challengerproleague,2008,19,342,6,1.75,True,True,True,True
b17d86ba6fa9e532d1856af365ac402f2ba7c60bb041863dfc0b6a4a1dd036c6,challengerproleague_2007_standings.csv,challengerproleague,2007,19,342,0,0.0,True,True,True,True
56da835948ff07e5c33e36760f1127742040acb705bc6bb267fc69f41c269f8a,challengerproleague_2024_standings.csv,challengerproleague,2024,16,224,0,0.0,True,False,True,True
0d94b8d584bfe5909e742a1fafa0944d02c89e8bb6db856bf669d5eecafe6485,challengerproleague_2020_standings.csv,challengerproleague,2020,8,112,101,90.18,True,False,False,True
7ddf362967a34c03f0a23e1e377932400476016e8494deb3d9dd357511ae254c,challengerproleague_2019_standings.csv,challengerproleague,2019,8,112,100,89.29,True,False,False,True
de3546b2abca25ed9beef44a3d76f217a46b031bc97f13c59a6f9d2d01827c6d,challengerproleague_2010_standings.csv,challengerproleague,2010,18,306,0,0.0,True,True,True,True
90adf591197ec0b41958b4d8d7d0e8ec310199837f3b007d2cc8c84acd24cc71,challengerproleague_2012_standings.csv,challengerproleague,2012,18,306,0,0.0,True,True,True,True
a460131fb72494f1dac7e0e9921f0f8f0a97e444d6434181759dd564cbae89f5,challengerproleague_2017_standings.csv,challengerproleague,2017,8,112,0,0.0,True,False,True,True
fefc99593008344905b24883532892e5b0035aafc5a188ea5ff7eaeb786639d1,challengerproleague_2016_standings.csv,challengerproleague,2016,8,112,0,0.0,True,False,True,True
3310487bbe2ac00344e099b97f8a0499efe08bdabc1492c10b033f845371e529,challengerproleague_2022_standings.csv,challengerproleague,2022,12,132,4,3.03,True,True,True,True
6b17517f47c73313e997b3e552a59692da6d36efb1b9d1dc0e2f3c97b4f054a5,challengerproleague_2021_standings.csv,challengerproleague,2021,8,112,46,41.07,True,False,False,True
17ce6fd7f38b2588dc8b1091403c7e5db53bab308bb3ae568216780b366b7d06,challengerproleague_2006_standings.csv,challengerproleague,2006,18,306,2,0.65,True,True,True,True
7cd1d7cc6d1beaa31122e890e69d15c7dda6bb0d81d3a9549d3a60543b91dbf1,challengerproleague_2018_standings.csv,challengerproleague,2018,8,112,0,0.0,True,False,True,True
62a48614f9945aa6148c7415a624cae789c5d832605adad20f2a0f5f8c42d93c,challengerproleague_2015_standings.csv,challengerproleague,2015,17,272,0,0.0,True,True,True,True
66bf55b29806fd267bcbd50a662045dcba0f8cd71d326090c63a65b494c80191,challengerproleague_2023_standings.csv,challengerproleague,2023,16,240,0,0.0,True,True,True,True
f7dc8667e1300b212450dab5757e99bcc95907e72f66bc6548454c610f8b4b9f,challengerproleague_2011_standings.csv,challengerproleague,2011,18,306,0,0.0,True,True,True,True
3d6466336ee5257b0e66b0543a9d51cd0e953da17b72f4af92525d4643acc4f9,superlig_2014_standings.csv,superlig,2014,18,306,8,2.61,True,True,True,True
50790485b554a7cb0eb6f513d981c3a8e654351269c120deafd5bc6eafec9b6d,superlig_2024_standings.csv,superlig,2024,19,342,10,2.92,True,True,True,True
1426dd926fc0627e2ad6989b8f828931f58560f86466124a7a965075525ce54c,superlig_2020_standings.csv,superlig,2020,21,420,420,100.0,True,True,False,True
