position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,GD Estoril Praia,34,20,10,4,55:26,29,70,https://www.transfermarkt.com.br/gd-estoril-praia/spielplan/verein/1465/saison_id/2020
2,Futebol Clube de Vizela,34,18,12,4,59:35,24,66,https://www.transfermarkt.com.br/fc-vizela/spielplan/verein/6912/saison_id/2020
3,FC Arouca,34,19,8,7,45:25,20,65,https://www.transfermarkt.com.br/fc-arouca/spielplan/verein/8024/saison_id/2020
4,Académica de Coimbra,34,17,11,6,46:30,16,62,https://www.transfermarkt.com.br/academica-coimbra/spielplan/verein/2990/saison_id/2020
5,CD Feirense,34,17,7,10,48:33,15,58,https://www.transfermarkt.com.br/cd-feirense/spielplan/verein/3349/saison_id/2020
6,GD Chaves,34,16,9,9,46:36,10,57,https://www.transfermarkt.com.br/gd-chaves/spielplan/verein/3325/saison_id/2020
7,Futebol Clube Penafiel,34,12,10,12,42:42,0,46,https://www.transfermarkt.com.br/fc-penafiel/spielplan/verein/3327/saison_id/2020
8,SL Benfica B,34,12,8,14,52:43,9,44,https://www.transfermarkt.com.br/benfica-lissabon-b/spielplan/verein/10330/saison_id/2020
9,Casa Pia AC,34,10,13,11,41:46,-5,43,https://www.transfermarkt.com.br/casa-pia-ac/spielplan/verein/3268/saison_id/2020
10,Leixões SC,34,10,10,14,35:43,-8,40,https://www.transfermarkt.com.br/leixoes-sc/spielplan/verein/3345/saison_id/2020
11,CD Cova da Piedade,34,8,13,13,39:48,-9,37,https://www.transfermarkt.com.br/cd-cova-piedade/spielplan/verein/25817/saison_id/2020
12,CD Mafra,34,9,10,15,35:48,-13,37,https://www.transfermarkt.com.br/cd-mafra/spielplan/verein/7056/saison_id/2020
13,SC Covilhã,34,8,13,13,36:42,-6,37,https://www.transfermarkt.com.br/sc-covilha/spielplan/verein/10140/saison_id/2020
14,Académico de Viseu FC,34,9,9,16,32:45,-13,36,https://www.transfermarkt.com.br/academico-viseu-fc/spielplan/verein/7788/saison_id/2020
15,Varzim SC,34,9,6,19,26:44,-18,33,https://www.transfermarkt.com.br/varzim-sc/spielplan/verein/4297/saison_id/2020
16,FC Porto B,34,7,11,16,45:52,-7,32,https://www.transfermarkt.com.br/fc-porto-b/spielplan/verein/10331/saison_id/2020
17,UD Vilafranquense,34,5,16,13,34:54,-20,31,https://www.transfermarkt.com.br/ud-vilafranquense/spielplan/verein/7119/saison_id/2020
18,UD Oliveirense,34,7,10,17,25:49,-24,31,https://www.transfermarkt.com.br/ud-oliveirense/spielplan/verein/8827/saison_id/2020
