league_name,season_year,total_tests,significant_tests,G_type_0.200_balanced,G_type_0.200_unbalanced_strong,G_type_0.200_unbalanced_weak,G_type_0.250_balanced,G_type_0.250_unbalanced_strong,G_type_0.250_unbalanced_weak,G_type_0.300_balanced,G_type_0.300_unbalanced_strong,G_type_0.300_unbalanced_weak,G_type_0.350_balanced,G_type_0.350_unbalanced_strong,G_type_0.350_unbalanced_weak,G_type_0.400_balanced,G_type_0.400_unbalanced_strong,G_type_0.400_unbalanced_weak
2bundesliga,1990,20,2,10,4,6,13,4,3,16,3,1,16,3,1,17,2,1
2bundesliga,1992,24,1,18,3,3,21,2,1,21,2,1,23,1,0,23,1,0
2bundesliga,1993,20,3,7,7,6,10,6,4,13,4,3,16,2,2,17,1,2
2bundesliga,1994,18,2,11,3,4,12,3,3,13,3,2,13,3,2,15,2,1
2bundesliga,1995,18,1,10,4,4,12,3,3,13,3,2,14,3,1,15,2,1
2bundesliga,1996,18,4,6,7,5,8,5,5,9,4,5,11,2,5,12,2,4
2bundesliga,1997,18,0,12,3,3,14,1,3,17,0,1,17,0,1,17,0,1
2bundesliga,1998,18,5,4,7,7,5,7,6,6,6,6,8,5,5,9,4,5
2bundesliga,1999,18,1,9,4,5,13,3,2,15,2,1,15,2,1,16,2,0
2bundesliga,2000,18,2,11,4,3,11,4,3,11,4,3,12,3,3,15,2,1
2bundesliga,2001,18,2,9,5,4,11,4,3,13,2,3,13,2,3,14,1,3
2bundesliga,2002,18,1,10,4,4,10,4,4,13,3,2,13,3,2,14,2,2
2bundesliga,2003,18,1,10,4,4,13,3,2,14,2,2,15,2,1,16,1,1
2bundesliga,2004,18,0,12,3,3,13,3,2,15,2,1,16,1,1,16,1,1
2bundesliga,2005,18,0,12,4,2,13,3,2,14,2,2,15,1,2,18,0,0
2bundesliga,2006,18,1,10,4,4,11,3,4,13,2,3,14,2,2,14,2,2
2bundesliga,2007,18,1,14,2,2,15,1,2,15,1,2,16,0,2,17,0,1
2bundesliga,2008,18,1,8,5,5,10,4,4,11,4,3,13,3,2,14,2,2
2bundesliga,2009,18,0,6,6,6,12,4,2,12,4,2,15,1,2,16,1,1
2bundesliga,2010,18,1,11,4,3,13,2,3,15,0,3,17,0,1,17,0,1
2bundesliga,2011,18,1,10,5,3,11,4,3,16,1,1,16,1,1,17,1,0
2bundesliga,2012,18,0,12,2,4,12,2,4,13,2,3,16,1,1,17,0,1
2bundesliga,2013,18,0,12,2,4,16,1,1,16,1,1,16,1,1,17,0,1
2bundesliga,2014,18,0,7,5,6,9,4,5,10,4,4,12,3,3,16,0,2
2bundesliga,2015,18,0,11,3,4,12,3,3,14,2,2,16,2,0,16,2,0
2bundesliga,2016,18,0,8,5,5,12,2,4,14,1,3,16,0,2,16,0,2
2bundesliga,2017,18,1,11,4,3,13,3,2,13,3,2,14,2,2,17,0,1
2bundesliga,2018,18,0,11,3,4,14,1,3,15,1,2,15,1,2,18,0,0
2bundesliga,2022,18,2,8,3,7,10,3,5,12,2,4,14,2,2,15,2,1
2bundesliga,2023,18,2,10,5,3,12,4,2,15,1,2,15,1,2,15,1,2
2bundesliga,2024,18,0,9,5,4,10,4,4,13,2,3,17,0,1,18,0,0
2bundesliga,all_seasons,568,35,309,129,130,371,100,97,420,73,75,459,53,56,494,34,40
all_leagues,all_seasons,7565,332,4578,1481,1506,5405,1070,1090,6073,740,752,6548,511,506,6929,316,320
bundesliga,1990,18,0,9,4,5,12,3,3,13,2,3,15,1,2,17,0,1
bundesliga,1991,20,3,6,8,6,9,6,5,15,3,2,16,2,2,16,2,2
bundesliga,1992,18,0,12,4,2,15,1,2,17,0,1,18,0,0,18,0,0
bundesliga,1993,18,0,15,1,2,16,1,1,16,1,1,17,0,1,18,0,0
bundesliga,1994,18,0,11,3,4,13,3,2,14,2,2,17,1,0,17,1,0
bundesliga,1995,18,0,11,4,3,13,3,2,15,2,1,17,1,0,18,0,0
bundesliga,1996,18,1,11,3,4,14,2,2,16,1,1,16,1,1,16,1,1
bundesliga,1997,18,0,16,1,1,17,1,0,17,1,0,17,1,0,18,0,0
bundesliga,1998,18,1,11,4,3,16,1,1,17,1,0,17,1,0,17,1,0
bundesliga,1999,18,0,11,4,3,13,3,2,13,3,2,14,2,2,16,2,0
bundesliga,2000,18,2,8,5,5,10,3,5,11,3,4,14,3,1,14,3,1
bundesliga,2001,18,0,14,2,2,15,1,2,15,1,2,15,1,2,18,0,0
bundesliga,2002,18,3,6,6,6,7,5,6,9,5,4,12,3,3,12,3,3
bundesliga,2003,18,0,10,4,4,12,3,3,13,3,2,15,2,1,16,1,1
bundesliga,2004,18,1,13,3,2,14,3,1,16,1,1,17,0,1,17,0,1
bundesliga,2005,18,0,11,4,3,12,3,3,14,3,1,17,1,0,18,0,0
bundesliga,2006,18,1,13,2,3,15,2,1,16,1,1,16,1,1,16,1,1
bundesliga,2007,18,0,14,2,2,15,2,1,17,1,0,17,1,0,18,0,0
bundesliga,2008,18,0,15,2,1,16,2,0,16,2,0,16,2,0,17,1,0
bundesliga,2009,18,3,9,4,5,13,2,3,13,2,3,14,2,2,15,1,2
bundesliga,2010,18,3,8,5,5,10,3,5,12,2,4,12,2,4,14,2,2
bundesliga,2011,18,0,11,4,3,14,2,2,14,2,2,17,0,1,17,0,1
bundesliga,2012,18,0,9,4,5,11,4,3,13,3,2,14,3,1,16,1,1
bundesliga,2013,18,2,5,5,8,10,3,5,12,3,3,12,3,3,16,1,1
bundesliga,2014,18,2,11,4,3,12,4,2,12,4,2,14,2,2,15,2,1
bundesliga,2015,18,0,12,3,3,17,1,0,18,0,0,18,0,0,18,0,0
bundesliga,2016,18,0,8,4,6,11,3,4,14,2,2,16,1,1,17,1,0
bundesliga,2017,18,3,9,5,4,10,4,4,10,4,4,12,3,3,14,1,3
bundesliga,2018,18,1,12,3,3,15,1,2,15,1,2,16,1,1,16,1,1
bundesliga,2022,18,0,14,2,2,15,1,2,17,1,0,18,0,0,18,0,0
bundesliga,2023,18,2,11,4,3,11,4,3,12,3,3,13,2,3,16,1,1
bundesliga,2024,18,0,12,3,3,14,2,2,15,2,1,17,1,0,17,1,0
