league_name,season_year,total_tests,significant_tests,G_type_0.200_balanced,G_type_0.200_unbalanced_strong,G_type_0.200_unbalanced_weak,G_type_0.250_balanced,G_type_0.250_unbalanced_strong,G_type_0.250_unbalanced_weak,G_type_0.300_balanced,G_type_0.300_unbalanced_strong,G_type_0.300_unbalanced_weak,G_type_0.350_balanced,G_type_0.350_unbalanced_strong,G_type_0.350_unbalanced_weak,G_type_0.400_balanced,G_type_0.400_unbalanced_strong,G_type_0.400_unbalanced_weak
bundesliga,all_seasons,578,28,348,116,114,417,82,79,457,65,56,496,44,38,526,28,24
campeonatobrasileiroseriea,2007,20,1,15,2,3,15,2,3,17,2,1,18,1,1,19,0,1
campeonatobrasileiroseriea,2009,20,3,9,5,6,13,3,4,14,3,3,14,3,3,16,2,2
campeonatobrasileiroseriea,2010,20,0,12,3,5,17,2,1,18,2,0,19,1,0,19,1,0
campeonatobrasileiroseriea,2011,20,1,8,6,6,10,6,4,12,5,3,15,3,2,17,2,1
campeonatobrasileiroseriea,2012,20,0,12,4,4,17,1,2,17,1,2,19,1,0,20,0,0
campeonatobrasileiroseriea,2013,20,0,12,4,4,14,3,3,17,2,1,18,1,1,18,1,1
campeonatobrasileiroseriea,2014,20,0,9,6,5,12,4,4,15,2,3,17,1,2,18,0,2
campeonatobrasileiroseriea,2015,20,1,17,1,2,18,1,1,18,1,1,19,0,1,19,0,1
campeonatobrasileiroseriea,2016,20,2,15,2,3,15,2,3,17,1,2,17,1,2,18,1,1
campeonatobrasileiroseriea,2017,20,1,13,3,4,15,2,3,16,2,2,16,2,2,17,1,2
campeonatobrasileiroseriea,2018,20,0,13,3,4,15,3,2,16,3,1,16,3,1,18,1,1
campeonatobrasileiroseriea,2019,20,1,16,2,2,17,1,2,17,1,2,18,1,1,18,1,1
campeonatobrasileiroseriea,2022,20,0,14,3,3,17,2,1,19,0,1,20,0,0,20,0,0
campeonatobrasileiroseriea,2023,20,0,16,2,2,16,2,2,20,0,0,20,0,0,20,0,0
campeonatobrasileiroseriea,2024,20,0,16,4,0,17,3,0,20,0,0,20,0,0,20,0,0
campeonatobrasileiroseriea,all_seasons,300,10,197,50,53,228,37,35,253,25,22,266,18,16,277,10,13
campeonatobrasileiroserieb,2010,20,3,14,3,3,15,2,3,16,2,2,17,2,1,17,2,1
campeonatobrasileiroserieb,2011,20,3,9,6,5,12,4,4,13,4,3,15,2,3,16,2,2
campeonatobrasileiroserieb,2012,20,0,14,3,3,17,2,1,19,1,0,20,0,0,20,0,0
campeonatobrasileiroserieb,2013,20,2,8,7,5,10,5,5,11,4,5,15,2,3,17,1,2
campeonatobrasileiroserieb,2014,20,0,10,4,6,12,4,4,13,4,3,16,3,1,19,1,0
campeonatobrasileiroserieb,2015,20,0,14,2,4,17,2,1,19,0,1,20,0,0,20,0,0
campeonatobrasileiroserieb,2016,20,1,14,2,4,16,1,3,19,1,0,19,1,0,19,1,0
campeonatobrasileiroserieb,2017,20,1,14,4,2,16,3,1,18,1,1,18,1,1,18,1,1
campeonatobrasileiroserieb,2018,20,2,10,6,4,12,5,3,14,3,3,16,1,3,17,0,3
campeonatobrasileiroserieb,2019,20,0,15,3,2,18,1,1,18,1,1,19,0,1,19,0,1
campeonatobrasileiroserieb,2022,20,0,16,1,3,16,1,3,17,1,2,18,1,1,20,0,0
campeonatobrasileiroserieb,2023,20,0,10,4,6,12,4,4,14,2,4,17,2,1,19,1,0
campeonatobrasileiroserieb,2024,20,2,13,4,3,14,3,3,16,2,2,17,1,2,18,1,1
campeonatobrasileiroserieb,all_seasons,260,14,161,49,50,187,37,36,207,26,27,227,16,17,239,10,11
challengerproleague,2006,18,1,10,4,4,11,3,4,16,1,1,16,1,1,16,1,1
challengerproleague,2007,19,0,10,6,3,12,5,2,14,3,2,16,1,2,19,0,0
challengerproleague,2008,19,0,11,5,3,14,3,2,15,2,2,17,0,2,19,0,0
challengerproleague,2009,19,2,6,6,7,9,6,4,9,6,4,12,3,4,16,1,2
challengerproleague,2010,18,0,10,4,4,12,2,4,15,1,2,15,1,2,15,1,2
challengerproleague,2011,18,1,12,3,3,13,2,3,15,2,1,16,2,0,17,1,0
challengerproleague,2012,18,0,9,4,5,12,3,3,15,2,1,16,2,0,18,0,0
challengerproleague,2014,18,2,7,6,5,11,4,3,14,2,2,14,2,2,15,1,2
challengerproleague,2015,17,0,11,2,4,12,2,3,13,2,2,14,2,1,16,1,0
challengerproleague,2022,12,0,6,3,3,6,3,3,7,3,2,9,1,2,9,1,2
challengerproleague,2023,16,0,11,3,2,13,1,2,13,1,2,14,0,2,15,0,1
challengerproleague,all_seasons,192,6,103,46,43,125,34,33,146,25,21,159,15,18,175,7,10
championship,2004,24,0,15,5,4,19,3,2,21,2,1,24,0,0,24,0,0
championship,2005,24,0,17,3,4,20,3,1,22,1,1,23,1,0,24,0,0
championship,2006,24,1,16,3,5,18,2,4,19,2,3,21,2,1,23,0,1
championship,2007,24,0,15,4,5,17,3,4,19,2,3,24,0,0,24,0,0
championship,2008,24,1,15,5,4,17,5,2,20,3,1,20,3,1,23,1,0
championship,2009,24,1,16,5,3,20,2,2,21,1,2,22,1,1,23,1,0
championship,2010,24,0,17,4,3,19,2,3,20,1,3,21,1,2,24,0,0
championship,2011,24,0,17,2,5,19,1,4,22,0,2,23,0,1,24,0,0
championship,2012,24,0,19,2,3,21,2,1,21,2,1,23,1,0,24,0,0
championship,2013,24,2,14,6,4,17,4,3,20,3,1,22,2,0,22,2,0
championship,2014,24,3,16,3,5,18,2,4,18,2,4,21,2,1,21,2,1
championship,2015,24,1,16,5,3,17,4,3,19,3,2,22,1,1,22,1,1
championship,2016,24,3,14,5,5,16,4,4,20,2,2,20,2,2,21,2,1
championship,2017,24,1,16,5,3,20,3,1,22,2,0,22,2,0,23,1,0
championship,2018,24,0,17,4,3,20,2,2,22,0,2,24,0,0,24,0,0
championship,2021,24,0,18,4,2,21,2,1,24,0,0,24,0,0,24,0,0
championship,2022,24,1,17,3,4,18,3,3,18,3,3,20,3,1,23,1,0
championship,2023,24,0,19,2,3,21,1,2,22,1,1,22,1,1,23,0,1
championship,2024,24,0,15,4,5,19,2,3,22,0,2,24,0,0,24,0,0
championship,all_seasons,456,14,309,74,73,357,50,49,392,30,34,422,22,12,440,11,5
j1league,2005,18,0,10,5,3,10,5,3,12,4,2,12,4,2,17,1,0
j1league,2006,18,1,12,3,3,16,0,2,17,0,1,17,0,1,17,0,1
j1league,2007,18,1,8,6,4,11,4,3,13,2,3,14,1,3,16,0,2
j1league,2008,18,1,6,5,7,9,4,5,10,3,5,11,3,4,15,1,2
j1league,2009,18,0,12,2,4,13,2,3,14,1,3,15,1,2,16,0,2
j1league,2010,18,0,9,5,4,13,3,2,17,1,0,18,0,0,18,0,0
j1league,2011,18,1,5,6,7,7,4,7,9,3,6,12,2,4,14,1,3
j1league,2012,18,1,11,3,4,13,2,3,15,1,2,16,1,1,17,1,0
j1league,2013,18,0,15,1,2,15,1,2,16,1,1,16,1,1,16,1,1
j1league,2014,18,0,14,2,2,14,2,2,14,2,2,16,1,1,18,0,0
j1league,2017,18,1,9,4,5,9,4,5,13,2,3,14,2,2,15,2,1
j1league,2018,18,0,12,3,3,14,3,1,16,2,0,18,0,0,18,0,0
j1league,2019,18,1,12,3,3,12,3,3,13,2,3,15,2,1,15,2,1
j1league,2021,20,0,12,5,3,17,1,2,18,1,1,18,1,1,20,0,0
j1league,2022,18,3,9,4,5,9,4,5,12,3,3,12,3,3,12,3,3
j1league,2023,18,3,9,4,5,10,4,4,11,4,3,12,3,3,13,3,2
j1league,2024,20,1,15,1,4,16,1,3,16,1,3,18,1,1,19,1,0
j1league,all_seasons,310,14,180,62,68,208,47,55,236,33,41,254,26,30,276,16,18
j2league,2010,19,0,10,4,5,10,4,5,13,3,3,16,1,2,17,1,1
j2league,2011,20,2,10,5,5,12,4,4,15,3,2,18,2,0,18,2,0
j2league,2012,22,0,18,2,2,19,2,1,20,1,1,21,1,0,21,1,0
j2league,2013,22,2,14,3,5,18,1,3,20,1,1,20,1,1,20,1,1
j2league,2014,22,1,9,6,7,12,4,6,16,3,3,17,3,2,21,1,0
j2league,2015,22,1,13,3,6,17,3,2,18,2,2,20,2,0,21,1,0
j2league,2016,22,0,16,4,2,21,1,0,21,1,0,21,1,0,22,0,0
j2league,2017,22,3,14,4,4,15,3,4,18,2,2,18,2,2,18,2,2
j2league,2018,22,1,10,7,5,12,6,4,15,4,3,19,2,1,20,1,1
j2league,2019,22,0,11,5,6,16,4,2,19,2,1,21,1,0,22,0,0
j2league,2021,22,2,13,4,5,16,3,3,16,3,3,16,3,3,19,1,2
j2league,2022,22,1,14,3,5,15,3,4,18,2,2,20,2,0,21,1,0
j2league,2023,22,1,16,3,3,17,2,3,18,2,2,20,1,1,20,1,1
j2league,2024,20,0,13,3,4,14,3,3,18,1,1,19,1,0,20,0,0
j2league,all_seasons,301,14,181,56,64,214,43,44,245,30,26,266,23,12,280,13,8
jupilerproleague,2008,18,1,10,4,4,14,1,3,16,1,1,16,1,1,17,0,1
jupilerproleague,2010,16,1,5,7,4,7,5,4,9,3,4,11,1,4,13,1,2
jupilerproleague,2011,16,1,9,3,4,11,2,3,12,1,3,14,1,1,15,0,1
jupilerproleague,2012,16,1,10,3,3,13,1,2,14,1,1,14,1,1,14,1,1
jupilerproleague,2013,16,1,9,3,4,11,3,2,11,3,2,14,0,2,15,0,1
jupilerproleague,2014,16,0,8,4,4,9,4,3,11,3,2,12,2,2,13,1,2
jupilerproleague,2015,16,0,8,4,4,10,4,2,14,1,1,14,1,1,16,0,0
jupilerproleague,2016,16,1,4,6,6,9,3,4,12,2,2,12,2,2,14,1,1
jupilerproleague,2017,16,0,11,2,3,12,2,2,14,0,2,14,0,2,16,0,0
jupilerproleague,2018,16,1,10,3,3,11,2,3,13,1,2,14,0,2,15,0,1
jupilerproleague,2022,18,0,9,4,5,9,4,5,13,2,3,16,1,1,17,1,0
jupilerproleague,2023,16,0,8,4,4,9,3,4,12,1,3,14,1,1,16,0,0
jupilerproleague,2024,16,1,6,5,5,10,3,3,11,3,2,13,2,1,15,1,0
jupilerproleague,all_seasons,212,8,107,52,53,135,37,40,162,22,28,178,13,21,196,6,10
laliga,2001,20,2,10,4,6,12,4,4,14,3,3,17,3,0,18,2,0
laliga,2005,20,0,13,4,3,14,4,2,17,3,0,19,1,0,19,1,0
laliga,2006,20,0,10,5,5,12,4,4,15,3,2,16,2,2,17,1,2
laliga,2007,20,0,15,3,2,18,1,1,18,1,1,19,1,0,20,0,0
laliga,2008,20,2,11,4,5,11,4,5,13,3,4,15,3,2,15,3,2
laliga,2009,20,0,14,3,3,15,3,2,17,3,0,20,0,0,20,0,0
laliga,2010,20,1,10,5,5,12,5,3,12,5,3,15,4,1,15,4,1
laliga,2011,20,0,15,3,2,17,2,1,18,2,0,20,0,0,20,0,0
laliga,2012,20,0,13,4,3,15,3,2,17,1,2,18,0,2,19,0,1
laliga,2013,20,2,11,5,4,13,3,4,13,3,4,16,1,3,17,1,2
laliga,2014,20,0,14,3,3,15,2,3,19,0,1,19,0,1,20,0,0
laliga,2015,20,0,12,4,4,15,2,3,17,1,2,17,1,2,19,0,1
laliga,2016,20,0,16,2,2,19,1,0,19,1,0,20,0,0,20,0,0
laliga,2017,20,0,17,2,1,18,1,1,19,1,0,20,0,0,20,0,0
laliga,2018,20,0,13,4,3,17,2,1,20,0,0,20,0,0,20,0,0
laliga,2021,20,0,14,2,4,15,2,3,17,1,2,20,0,0,20,0,0
laliga,2022,20,1,13,5,2,16,3,1,18,1,1,19,0,1,19,0,1
laliga,2023,20,1,11,4,5,13,3,4,15,3,2,17,2,1,18,2,0
laliga,2024,20,0,13,3,4,14,3,3,17,2,1,17,2,1,19,1,0
laliga,all_seasons,380,9,245,69,66,281,52,47,315,37,28,344,20,16,355,15,10
laliga2,2007,22,0,11,6,5,17,3,2,19,2,1,21,0,1,22,0,0
laliga2,2008,22,0,15,4,3,18,2,2,19,2,1,22,0,0,22,0,0
laliga2,2009,22,0,12,5,5,16,2,4,17,1,4,19,1,2,21,1,0
laliga2,2010,22,1,13,4,5,14,3,5,17,1,4,19,1,2,20,1,1
laliga2,2011,22,1,12,5,5,16,4,2,18,4,0,18,4,0,21,1,0
laliga2,2012,22,3,7,7,8,9,6,7,16,4,2,16,4,2,19,3,0
laliga2,2013,22,0,15,3,4,16,2,4,19,1,2,20,1,1,21,1,0
laliga2,2014,22,3,13,4,5,14,4,4,14,4,4,16,2,4,18,1,3
laliga2,2015,22,0,14,5,3,19,1,2,21,0,1,22,0,0,22,0,0
laliga2,2016,22,2,12,5,5,12,5,5,15,4,3,17,3,2,20,1,1
laliga2,2017,22,0,19,2,1,19,2,1,20,1,1,21,1,0,21,1,0
laliga2,2018,22,1,14,4,4,18,3,1,19,3,0,19,3,0,21,1,0
laliga2,2021,22,0,15,3,4,16,3,3,17,2,3,20,0,2,21,0,1
laliga2,2022,22,0,15,3,4,19,2,1,21,1,0,21,1,0,22,0,0
laliga2,2023,22,1,14,4,4,16,4,2,17,4,1,19,2,1,21,0,1
laliga2,2024,22,0,16,4,2,18,3,1,20,1,1,21,0,1,21,0,1
laliga2,all_seasons,352,12,217,68,67,257,49,46,289,35,28,311,23,18,333,11,8
ligaportugal,1996,18,1,9,5,4,12,3,3,14,1,3,15,1,2,15,1,2
ligaportugal,1997,18,2,10,5,3,11,4,3,15,2,1,16,1,1,16,1,1
ligaportugal,1998,18,3,11,3,4,11,3,4,14,1,3,14,1,3,15,1,2
ligaportugal,1999,18,1,8,5,5,10,4,4,14,2,2,14,2,2,15,1,2
ligaportugal,2000,18,1,12,3,3,13,2,3,13,2,3,15,2,1,17,1,0
ligaportugal,2001,18,1,9,5,4,9,5,4,11,5,2,12,4,2,13,3,2
ligaportugal,2004,18,0,11,3,4,15,1,2,17,1,0,18,0,0,18,0,0
ligaportugal,2005,18,0,9,4,5,12,4,2,16,2,0,17,1,0,18,0,0
ligaportugal,2006,16,0,10,2,4,13,1,2,14,0,2,14,0,2,15,0,1
ligaportugal,2007,16,0,12,2,2,12,2,2,13,2,1,14,1,1,14,1,1
ligaportugal,2008,16,0,10,3,3,10,3,3,12,2,2,14,1,1,14,1,1
ligaportugal,2009,16,1,9,4,3,12,2,2,14,0,2,15,0,1,15,0,1
ligaportugal,2010,16,0,13,2,1,13,2,1,15,1,0,15,1,0,15,1,0
ligaportugal,2011,16,2,7,3,6,10,3,3,12,3,1,13,3,0,13,3,0
ligaportugal,2012,16,0,9,3,4,11,2,3,13,1,2,14,1,1,16,0,0
ligaportugal,2013,16,0,12,2,2,13,1,2,13,1,2,14,1,1,16,0,0
ligaportugal,2014,18,0,12,4,2,13,4,1,13,4,1,14,3,1,17,0,1
ligaportugal,2015,18,1,13,2,3,13,2,3,14,1,3,15,1,2,16,0,2
ligaportugal,2016,18,3,10,4,4,10,4,4,13,2,3,13,2,3,14,2,2
ligaportugal,2017,18,0,10,4,4,11,3,4,14,2,2,15,2,1,16,1,1
ligaportugal,2018,18,2,15,2,1,15,2,1,15,2,1,16,1,1,16,1,1
ligaportugal,2021,18,0,11,4,3,12,3,3,14,2,2,15,2,1,16,2,0
ligaportugal,2022,18,0,14,2,2,16,1,1,16,1,1,16,1,1,18,0,0
ligaportugal,2023,18,0,7,5,6,9,5,4,12,3,3,13,3,2,16,1,1
ligaportugal,2024,18,1,10,5,3,13,3,2,17,0,1,17,0,1,17,0,1
ligaportugal,all_seasons,434,19,263,86,85,299,69,66,348,43,43,368,35,31,391,21,22
ligaportugal2,2007,16,0,8,3,5,10,3,3,11,3,2,11,3,2,13,1,2
ligaportugal2,2008,16,0,8,4,4,10,4,2,13,2,1,15,1,0,16,0,0
ligaportugal2,2009,16,1,11,2,3,13,1,2,14,1,1,14,1,1,14,1,1
ligaportugal2,2010,16,2,7,4,5,10,2,4,11,2,3,12,2,2,13,2,1
ligaportugal2,2011,16,1,7,5,4,8,4,4,8,4,4,9,3,4,13,1,2
ligaportugal2,2012,22,2,10,5,7,12,5,5,15,3,4,17,2,3,19,1,2
ligaportugal2,2013,22,1,15,4,3,21,0,1,21,0,1,21,0,1,21,0,1
ligaportugal2,2014,24,1,18,3,3,21,1,2,23,0,1,23,0,1,23,0,1
ligaportugal2,2015,24,0,18,3,3,20,2,2,21,2,1,23,1,0,23,1,0
ligaportugal2,2016,22,0,15,4,3,17,4,1,19,2,1,19,2,1,21,1,0
ligaportugal2,2017,20,0,13,4,3,15,2,3,19,1,0,19,1,0,20,0,0
ligaportugal2,2018,18,0,14,1,3,16,1,1,18,0,0,18,0,0,18,0,0
ligaportugal2,2021,18,0,11,4,3,13,3,2,15,2,1,17,0,1,17,0,1
ligaportugal2,2022,18,0,8,6,4,9,5,4,12,3,3,14,1,3,16,0,2
ligaportugal2,2023,18,2,10,4,4,11,4,3,13,4,1,14,3,1,16,2,0
ligaportugal2,2024,18,0,8,6,4,12,3,3,14,2,2,16,0,2,18,0,0
ligaportugal2,all_seasons,304,10,181,62,61,218,44,42,247,31,26,262,20,22,281,10,13
ligue1,1990,20,1,13,4,3,13,4,3,15,2,3,15,2,3,15,2,3
ligue1,1991,20,2,12,4,4,13,4,3,14,3,3,15,2,3,17,1,2
ligue1,1992,20,3,8,5,7,12,4,4,13,3,4,14,3,3,15,3,2
ligue1,1993,20,0,14,3,3,16,2,2,18,0,2,18,0,2,19,0,1
ligue1,1994,20,1,12,4,4,14,4,2,17,1,2,17,1,2,19,0,1
ligue1,1995,20,2,10,5,5,13,3,4,14,2,4,16,1,3,18,0,2
ligue1,1996,20,0,11,5,4,15,2,3,17,2,1,18,1,1,19,0,1
ligue1,1997,18,2,10,4,4,12,2,4,12,2,4,12,2,4,15,1,2
ligue1,1998,18,2,10,5,3,11,4,3,12,3,3,14,2,2,14,2,2
ligue1,1999,18,3,12,3,3,13,3,2,13,3,2,13,3,2,13,3,2
ligue1,2000,18,0,11,3,4,16,2,0,16,2,0,17,1,0,18,0,0
ligue1,2001,18,0,9,5,4,15,3,0,16,2,0,18,0,0,18,0,0
ligue1,2002,20,1,9,5,6,13,4,3,15,2,3,17,2,1,19,0,1
ligue1,2003,20,0,15,2,3,16,2,2,16,2,2,17,2,1,18,2,0
ligue1,2004,20,0,14,3,3,14,3,3,17,1,2,18,1,1,18,1,1
ligue1,2005,20,3,9,6,5,12,4,4,15,1,4,15,1,4,17,0,3
ligue1,2006,20,0,16,1,3,17,1,2,18,1,1,18,1,1,19,0,1
ligue1,2007,20,0,13,4,3,15,4,1,17,3,0,18,2,0,19,1,0
ligue1,2008,20,0,14,4,2,16,2,2,18,1,1,19,0,1,20,0,0
ligue1,2009,20,0,9,5,6,10,5,5,15,3,2,18,2,0,18,2,0
ligue1,2010,20,0,12,4,4,14,3,3,15,2,3,19,1,0,20,0,0
ligue1,2011,20,0,17,0,3,17,0,3,18,0,2,19,0,1,20,0,0
ligue1,2012,20,2,14,2,4,14,2,4,15,2,3,17,2,1,17,2,1
ligue1,2013,20,2,10,5,5,14,4,2,15,3,2,17,2,1,17,2,1
ligue1,2014,20,0,18,2,0,18,2,0,20,0,0,20,0,0,20,0,0
ligue1,2015,20,1,12,4,4,16,1,3,17,0,3,17,0,3,19,0,1
ligue1,2016,20,0,13,4,3,13,4,3,14,3,3,20,0,0,20,0,0
ligue1,2017,20,1,12,3,5,15,3,2,17,2,1,18,2,0,18,2,0
ligue1,2018,20,1,10,5,5,13,4,3,13,4,3,16,2,2,17,2,1
ligue1,2021,20,0,17,2,1,18,1,1,19,1,0,20,0,0,20,0,0
ligue1,2022,20,1,13,3,4,15,2,3,17,2,1,18,1,1,18,1,1
ligue1,2023,18,0,10,5,3,11,5,2,15,2,1,16,1,1,17,1,0
ligue1,2024,18,1,11,4,3,14,2,2,16,1,1,17,0,1,17,0,1
ligue1,all_seasons,646,29,400,123,123,468,95,83,519,61,66,561,40,45,588,28,30
ligue2,1994,22,0,14,5,3,19,1,2,21,0,1,22,0,0,22,0,0
ligue2,1995,22,0,12,6,4,19,2,1,21,1,0,22,0,0,22,0,0
ligue2,1996,22,4,12,5,5,15,3,4,18,1,3,18,1,3,18,1,3
ligue2,1997,22,3,13,5,4,14,4,4,16,4,2,17,4,1,19,2,1
ligue2,1998,20,1,11,4,5,12,3,5,17,2,1,18,1,1,18,1,1
ligue2,1999,20,0,12,4,4,15,2,3,16,2,2,18,0,2,18,0,2
ligue2,2000,20,1,12,3,5,13,3,4,15,3,2,18,2,0,19,1,0
ligue2,2001,20,1,14,3,3,17,2,1,18,1,1,18,1,1,18,1,1
ligue2,2002,20,2,13,3,4,14,3,3,15,2,3,16,2,2,17,1,2
ligue2,2003,20,1,10,4,6,12,3,5,15,1,4,18,1,1,19,1,0
ligue2,2004,20,1,7,6,7,11,5,4,13,4,3,14,3,3,18,0,2
ligue2,2005,20,1,9,4,7,12,3,5,15,3,2,17,1,2,18,1,1
ligue2,2006,20,0,14,1,5,17,1,2,18,1,1,18,1,1,19,1,0
ligue2,2007,20,1,7,7,6,12,4,4,17,2,1,18,1,1,19,0,1
ligue2,2008,20,1,13,2,5,16,2,2,18,1,1,18,1,1,18,1,1
ligue2,2009,20,0,15,2,3,18,0,2,18,0,2,19,0,1,19,0,1
ligue2,2010,20,0,8,5,7,12,4,4,13,3,4,17,2,1,19,1,0
ligue2,2011,20,1,13,4,3,14,3,3,18,0,2,18,0,2,19,0,1
ligue2,2012,20,2,15,3,2,15,3,2,15,3,2,16,2,2,17,2,1
ligue2,2013,20,1,11,5,4,12,5,3,15,2,3,17,0,3,19,0,1
