position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Borussia Dortmund,34,25,6,3,80:25,55,81,https://www.transfermarkt.com.br/borussia-dortmund/spielplan/verein/16/saison_id/2011
2,FC Bayern Munique,34,23,4,7,77:22,55,73,https://www.transfermarkt.com.br/fc-bayern-munchen/spielplan/verein/27/saison_id/2011
3,Schalke 04,34,20,4,10,74:44,30,64,https://www.transfermarkt.com.br/fc-schalke-04/spielplan/verein/33/saison_id/2011
4,Borussia Mönchengladbach,34,17,9,8,49:24,25,60,https://www.transfermarkt.com.br/borussia-monchengladbach/spielplan/verein/18/saison_id/2011
5,Bayer 04 Leverkusen,34,15,9,10,52:44,8,54,https://www.transfermarkt.com.br/bayer-04-leverkusen/spielplan/verein/15/saison_id/2011
6,VfB Stuttgart,34,15,8,11,63:46,17,53,https://www.transfermarkt.com.br/vfb-stuttgart/spielplan/verein/79/saison_id/2011
7,Hannover 96,34,12,12,10,41:45,-4,48,https://www.transfermarkt.com.br/hannover-96/spielplan/verein/42/saison_id/2011
8,VfL Wolfsburg,34,13,5,16,47:60,-13,44,https://www.transfermarkt.com.br/vfl-wolfsburg/spielplan/verein/82/saison_id/2011
9,Werder Bremen,34,11,9,14,49:58,-9,42,https://www.transfermarkt.com.br/sv-werder-bremen/spielplan/verein/86/saison_id/2011
10,1.FC Nuremberg,34,12,6,16,38:49,-11,42,https://www.transfermarkt.com.br/1-fc-nurnberg/spielplan/verein/4/saison_id/2011
11,TSG 1899 Hoffenheim,34,10,11,13,41:47,-6,41,https://www.transfermarkt.com.br/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/2011
12,SC Freiburg,34,10,10,14,45:61,-16,40,https://www.transfermarkt.com.br/sc-freiburg/spielplan/verein/60/saison_id/2011
13,1.FSV Mainz 05,34,9,12,13,47:51,-4,39,https://www.transfermarkt.com.br/1-fsv-mainz-05/spielplan/verein/39/saison_id/2011
14,FC Augsburg,34,8,14,12,36:49,-13,38,https://www.transfermarkt.com.br/fc-augsburg/spielplan/verein/167/saison_id/2011
15,Hamburger SV,34,8,12,14,35:57,-22,36,https://www.transfermarkt.com.br/hamburger-sv/spielplan/verein/41/saison_id/2011
16,Hertha Berlim,34,7,10,17,38:64,-26,31,https://www.transfermarkt.com.br/hertha-bsc/spielplan/verein/44/saison_id/2011
17,1.FC Colônia,34,8,6,20,39:75,-36,30,https://www.transfermarkt.com.br/1-fc-koln/spielplan/verein/3/saison_id/2011
18,1.FC Kaiserslautern,34,4,11,19,24:54,-30,23,https://www.transfermarkt.com.br/1-fc-kaiserslautern/spielplan/verein/2/saison_id/2011
