comparison,threshold_label,n_season_league_combinations,mean_n_test,mean_n_control,mean_delta,median_delta,std_delta,min_delta,max_delta,n_positive_delta,pct_positive_delta,n_negative_delta,pct_negative_delta,effect_size_interpretation,n_negligible_effect,n_small_effect,n_medium_effect,n_large_effect
G- vs G0,p<0.1,223,1.4887892376681615,16.928251121076233,-0.07007878092266581,-0.047619047619047616,0.5472725517843309,-1.0,1.0,101,45.2914798206278,115,51.5695067264574,negligible,51,47,34,91
G+ vs G0,p<0.1,220,1.509090909090909,17.15909090909091,0.021482634112163355,0.0,0.5429669425817181,-1.0,1.0,105,47.72727272727273,102,46.36363636363637,negligible,42,40,33,105
