position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Besiktas JK,40,26,6,8,89:44,45,84,https://www.transfermarkt.com.br/besiktas-istanbul/spielplan/verein/114/saison_id/2020
2,Galatasaray,40,26,6,8,80:36,44,84,https://www.transfermarkt.com.br/galatasaray-istanbul/spielplan/verein/141/saison_id/2020
3,Fenerbahce,40,25,7,8,72:41,31,82,https://www.transfermarkt.com.br/fenerbahce-istanbul/spielplan/verein/36/saison_id/2020
4,Trabzonspor,40,19,14,7,50:37,13,71,https://www.transfermarkt.com.br/trabzonspor/spielplan/verein/449/saison_id/2020
5,Sivasspor,40,16,17,7,54:43,11,65,https://www.transfermarkt.com.br/sivasspor/spielplan/verein/2381/saison_id/2020
6,Hatayspor,40,17,10,13,62:53,9,61,https://www.transfermarkt.com.br/hatayspor/spielplan/verein/7775/saison_id/2020
7,Alanyaspor,40,17,9,14,58:45,13,60,https://www.transfermarkt.com.br/alanyaspor/spielplan/verein/11282/saison_id/2020
8,Fatih Karagümrük,40,16,12,12,64:52,12,60,https://www.transfermarkt.com.br/fatih-karagumruk/spielplan/verein/6646/saison_id/2020
9,Gaziantep FK,40,15,13,12,59:51,8,58,https://www.transfermarkt.com.br/gaziantep-fk/spielplan/verein/2832/saison_id/2020
10,Göztepe,40,13,12,15,59:59,0,51,https://www.transfermarkt.com.br/goztepe/spielplan/verein/1467/saison_id/2020
11,Konyaspor,40,12,14,14,49:48,1,50,https://www.transfermarkt.com.br/konyaspor/spielplan/verein/2293/saison_id/2020
12,Basaksehir FK,40,12,12,16,43:55,-12,48,https://www.transfermarkt.com.br/istanbul-basaksehir-fk/spielplan/verein/6890/saison_id/2020
13,Caykur Rizespor,40,12,12,16,53:69,-16,48,https://www.transfermarkt.com.br/caykur-rizespor/spielplan/verein/126/saison_id/2020
14,Kasimpasa,40,12,10,18,47:57,-10,46,https://www.transfermarkt.com.br/kasimpasa/spielplan/verein/10484/saison_id/2020
15,Yeni Malatyaspor,40,10,15,15,49:53,-4,45,https://www.transfermarkt.com.br/yeni-malatyaspor/spielplan/verein/19789/saison_id/2020
16,Antalyaspor,40,9,17,14,41:55,-14,44,https://www.transfermarkt.com.br/antalyaspor/spielplan/verein/589/saison_id/2020
17,Kayserispor,40,9,14,17,35:52,-17,41,https://www.transfermarkt.com.br/kayserispor/spielplan/verein/3205/saison_id/2020
18,Büyüksehir Belediye Erzurumspor,40,10,10,20,44:68,-24,40,https://www.transfermarkt.com.br/buyuksehir-belediye-erzurumspor/spielplan/verein/39722/saison_id/2020
19,MKE Ankaragücü,40,10,8,22,46:65,-19,38,https://www.transfermarkt.com.br/mke-ankaragucu/spielplan/verein/868/saison_id/2020
20,Genclerbirligi Ankara,40,10,8,22,44:76,-32,38,https://www.transfermarkt.com.br/genclerbirligi-ankara/spielplan/verein/820/saison_id/2020
21,Denizlispor,40,6,10,24,38:77,-39,28,https://www.transfermarkt.com.br/denizlispor/spielplan/verein/833/saison_id/2020
