league_name,cliffs_delta,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,n_pairs
saudiproleague,-0.5301204819277109,327.0,0.0008410734726472426,3.075166064402421,18,74,166
superlig,-0.39072847682119205,251.5,0.05188893403393121,1.2849252510228741,10,81,151
jupilerproleague,-0.37910447761194027,1423.5,0.0016484916802397577,2.7829132403528463,28,162,335
challengerproleague,0.1590909090909091,1685.0,0.4639503269273484,0.3335285149109784,21,146,264
j1league,-0.13840155945419103,4130.5,0.13477538193481325,0.8703894287670181,41,236,513
ligue2,-0.1329479768786127,7225.5,0.12121535847010527,0.9164423498377585,44,383,692
campeonatobrasileiroserieb,-0.13020833333333334,2465.0,0.3193839985549407,0.4956868462231248,27,207,384
bundesliga,-0.12656467315716272,11144.5,0.11425421859969213,0.9421277555404428,56,457,719
campeonatobrasileiroseriea,0.09883720930232558,3051.5,0.4532682176128435,0.343644731855212,22,253,344
championship,-0.09734513274336283,6162.0,0.4660874094321963,0.33153262864427585,34,392,678
premierleague,0.09605662285136501,17876.0,0.20868107282175363,0.6805169392518957,65,502,989
ligaportugal2,0.07428571428571429,3279.5,0.8588855090659067,0.06606472452128864,26,247,350
serieb,-0.07142857142857142,6803.5,0.6655526741947658,0.17681756722634084,38,374,616
j2league,-0.048723897911832945,3090.5,0.8044124019523862,0.09452124232944027,26,245,431
2bundesliga,0.045989304812834225,16173.0,0.7107703951046649,0.14827066965463923,75,420,935
laliga2,-0.04219409282700422,3893.5,0.7424691367264897,0.12932159457366116,28,289,474
laliga,0.038461538461538464,4460.5,0.9206910385025792,0.03588608401026183,28,315,416
seriea,0.02360248447204969,12225.5,0.6951209438506976,0.15793962609004678,56,423,805
ligaportugal,-0.018998272884283247,7214.0,0.7015544965889814,0.15393858743161873,43,348,579
ligue1,0.004073319755600814,17177.0,0.9694312367100714,0.013482990686855722,66,519,982
